timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
59466, 0, 0.80, 0.50, -1.37, -0.09, 73.80, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59490, 0, 0.80, 0.50, -1.20, -0.09, 63.40, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59496, 0, 0.80, 0.50, -1.04, -0.10, 41.85, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59506, 0, 0.80, 0.50, -0.92, -0.11, 19.72, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59516, 0, 0.80, 0.50, -0.83, -0.12, 8.38, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59526, 0, 0.80, 0.50, -0.76, -0.12, 4.13, 1.32, 52.80, 0.01, 0.79, 0.11, 0.02, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59536, 0, 0.80, 0.50, -0.71, -0.12, 2.41, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59546, 0, 0.80, 0.50, -0.67, -0.13, 1.56, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59556, 0, 0.80, 0.50, -0.64, -0.13, 1.10, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59566, 0, 0.80, 0.50, -0.63, -0.13, 0.83, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59576, 0, 0.80, 0.50, -0.62, -0.13, 0.64, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59586, 0, 0.80, 0.50, -0.60, -0.13, 0.49, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59596, 0, 0.80, 0.50, -0.60, -0.14, 0.38, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59606, 0, 0.80, 0.50, -0.59, -0.14, 0.30, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59616, 0, 0.80, 0.50, -0.58, -0.14, 0.23, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59626, 0, 0.80, 0.50, -0.58, -0.14, 0.18, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.00, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59636, 0, 0.80, 0.50, -0.58, -0.14, 0.13, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.13, 0.04, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59646, 0, 0.80, 0.50, -0.57, -0.14, 0.10, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.10, 1.37, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59656, 0, 0.80, 0.50, -0.56, -0.13, 0.08, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.17, 3.09, 0.65, 0.08, 0.00, 0.92, 0.11, 0.00
59666, 0, 0.80, 0.50, -0.59, -0.12, 0.24, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.54, 2.33, 0.65, 0.08, 0.00, 0.92, 0.11, 0.53
59676, 0, 0.80, 0.50, -0.55, -0.13, 0.39, 1.32, 52.80, 0.01, 0.79, 0.11, 0.00, 1.03, 0.87, 1.16, 0.65, 0.08, 0.00, 0.92, 0.08, 2.05
