timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
1477, 2, 2.00, 2.00, -0.41, 0.21, -0.05, 1.00, 10.00, 0.01, 128.00, 0.00, 1.82, 172.00, 0.00, 2.54, 128.00, 0.00, 1.65, 172.00, 0.00, 1.18
1499, 2, 2.00, 2.00, -0.32, 6.27, -0.05, 1.00, 10.00, 0.01, 128.00, 100.00, 1.11, 172.00, 80.00, 1.96, 128.00, 40.00, 1.84, 172.00, 56.00, 1.86
1508, 2, 2.00, 2.00, -0.23, 5.51, -0.05, 1.00, 10.00, 0.01, 128.00, 112.00, 0.47, 172.00, 128.00, 1.23, 128.00, 52.00, 1.56, 172.00, 128.00, 1.30
1525, 2, 2.00, 2.00, -0.32, 3.59, -0.11, 1.00, 10.00, 0.01, 128.00, 108.00, 0.46, 172.00, 160.00, 0.54, 128.00, 72.00, 1.37, 172.00, 132.00, 0.89
1534, 2, 2.00, 2.00, -0.22, 5.13, -0.18, 1.00, 10.00, 0.01, 128.00, 104.00, 0.77, 172.00, 140.00, 0.89, 128.00, 68.00, 1.33, 172.00, 120.00, 1.07
1542, 2, 2.00, 2.00, 0.33, 3.40, -0.08, 1.00, 10.00, 0.01, 128.00, 84.00, 1.02, 172.00, 120.00, 1.18, 128.00, 76.00, 1.25, 172.00, 100.00, 1.35
1559, 2, 2.00, 2.00, -0.97, 3.13, 0.08, 1.00, 10.00, 0.01, 128.00, 88.00, 1.00, 172.00, 120.00, 1.49, 128.00, 96.00, 1.12, 172.00, 120.00, 1.47
1567, 2, 2.00, 2.00, -0.18, 3.68, -0.25, 1.00, 10.00, 0.01, 128.00, 104.00, 0.91, 172.00, 136.00, 1.26, 128.00, 104.00, 1.11, 172.00, 140.00, 1.21
1577, 2, 2.00, 2.00, 0.12, 3.37, -0.19, 1.00, 10.00, 0.01, 128.00, 116.00, 0.70, 172.00, 152.00, 0.98, 128.00, 108.00, 0.96, 172.00, 148.00, 0.95
1587, 2, 2.00, 2.00, -0.25, 2.56, 0.01, 1.00, 10.00, 0.01, 128.00, 120.00, 0.51, 172.00, 148.00, 1.00, 128.00, 116.00, 0.86, 172.00, 152.00, 0.91
1605, 2, 2.00, 2.00, -0.08, 1.85, 0.07, 1.00, 10.00, 0.01, 128.00, 132.00, 0.35, 172.00, 140.00, 1.33, 128.00, 132.00, 0.56, 172.00, 152.00, 0.93
1613, 2, 2.00, 2.00, 0.08, 2.06, 0.14, 1.00, 10.00, 0.01, 128.00, 136.00, 0.21, 172.00, 152.00, 1.16, 128.00, 136.00, 0.42, 172.00, 152.00, 1.00
1622, 2, 2.00, 2.00, -0.39, 1.02, 0.16, 1.00, 10.00, 0.01, 128.00, 136.00, 0.16, 172.00, 152.00, 1.05, 128.00, 136.00, 0.37, 172.00, 160.00, 0.93
1640, 2, 2.00, 2.00, -0.19, 1.12, 0.32, 1.00, 10.00, 0.01, 128.00, 144.00, 0.05, 172.00, 152.00, 1.02, 128.00, 144.00, 0.21, 172.00, 156.00, 0.86
1649, 2, 2.00, 2.00, -0.70, 0.83, 0.34, 1.00, 10.00, 0.01, 128.00, 140.00, 0.05, 172.00, 160.00, 1.04, 128.00, 148.00, 0.16, 172.00, 160.00, 0.95
1657, 2, 2.00, 2.00, -0.67, 0.44, 0.19, 1.00, 10.00, 0.01, 128.00, 140.00, 0.05, 172.00, 164.00, 0.91, 128.00, 148.00, 0.11, 172.00, 164.00, 0.86
