timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
1486, 2, 2.00, 2.00, -0.39, 0.27, -0.05, 1.00, 10.00, 0.01, 172.00, 0.00, 2.51, 204.00, 0.00, 3.00, 116.00, 0.00, 1.49, 164.00, 0.00, 1.12
1558, 2, 2.00, 2.00, 0.04, 2.90, -0.15, 1.00, 10.00, 0.01, 172.00, 104.00, 1.56, 204.00, 148.00, 1.25, 116.00, 88.00, 1.02, 164.00, 92.00, 1.47
1567, 2, 2.00, 2.00, -0.34, 3.12, -0.09, 1.00, 10.00, 0.01, 172.00, 120.00, 1.42, 204.00, 164.00, 1.18, 116.00, 92.00, 0.93, 164.00, 104.00, 1.63
1576, 2, 2.00, 2.00, -0.56, 3.96, -0.10, 1.00, 10.00, 0.01, 172.00, 136.00, 1.23, 204.00, 176.00, 0.91, 116.00, 104.00, 0.79, 164.00, 120.00, 1.40
1593, 2, 2.00, 2.00, -0.24, 3.25, -0.14, 1.00, 10.00, 0.01, 172.00, 140.00, 1.21, 204.00, 192.00, 0.72, 116.00, 124.00, 0.39, 164.00, 132.00, 1.32
1602, 2, 2.00, 2.00, -0.46, 2.52, -0.14, 1.00, 10.00, 0.01, 172.00, 144.00, 1.19, 204.00, 184.00, 0.77, 116.00, 128.00, 0.26, 164.00, 140.00, 1.14
1611, 2, 2.00, 2.00, 0.02, 2.23, -0.13, 1.00, 10.00, 0.01, 172.00, 152.00, 1.07, 204.00, 180.00, 0.86, 116.00, 132.00, 0.19, 164.00, 144.00, 1.12
1628, 2, 2.00, 2.00, -0.32, 2.07, -0.05, 1.00, 10.00, 0.01, 172.00, 156.00, 1.09, 204.00, 180.00, 0.91, 116.00, 132.00, 0.11, 164.00, 156.00, 0.91
1637, 2, 2.00, 2.00, -0.79, 1.85, -0.07, 1.00, 10.00, 0.01, 172.00, 164.00, 0.93, 204.00, 184.00, 0.89, 116.00, 128.00, 0.12, 164.00, 160.00, 0.91
1646, 2, 2.00, 2.00, -0.36, 1.57, -0.22, 1.00, 10.00, 0.01, 172.00, 168.00, 0.82, 204.00, 184.00, 0.98, 116.00, 124.00, 0.19, 164.00, 164.00, 0.81
1656, 2, 2.00, 2.00, -0.34, 1.42, -0.27, 1.00, 10.00, 0.01, 172.00, 168.00, 0.77, 204.00, 184.00, 0.93, 116.00, 120.00, 0.25, 164.00, 172.00, 0.72
1672, 2, 2.00, 2.00, -0.34, 1.18, -0.26, 1.00, 10.00, 0.01, 172.00, 180.00, 0.67, 204.00, 188.00, 0.93, 116.00, 120.00, 0.23, 164.00, 176.00, 0.63
1681, 2, 2.00, 2.00, -0.13, 0.76, -0.27, 1.00, 10.00, 0.01, 172.00, 184.00, 0.54, 204.00, 196.00, 0.93, 116.00, 124.00, 0.18, 164.00, 180.00, 0.46
1690, 2, 2.00, 2.00, -0.03, 0.89, -0.24, 1.00, 10.00, 0.01, 172.00, 184.00, 0.53, 204.00, 200.00, 0.79, 116.00, 124.00, 0.16, 164.00, 184.00, 0.40
1708, 2, 2.00, 2.00, -0.03, 0.22, -0.13, 1.00, 10.00, 0.01, 172.00, 188.00, 0.37, 204.00, 192.00, 0.88, 116.00, 124.00, 0.14, 164.00, 184.00, 0.30
