timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
42750, 0, 3.00, 2.00, 0.00, -0.87, -0.11, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42780, 0, 3.00, 2.00, -0.13, -0.91, -0.05, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42784, 0, 3.00, 2.00, -0.13, -0.91, -0.05, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42797, 0, 3.00, 2.00, -0.18, -0.92, -0.06, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42802, 0, 3.00, 2.00, -0.15, -0.96, -0.08, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42810, 0, 3.00, 2.00, -0.11, -0.97, -0.10, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42820, 0, 3.00, 2.00, -0.08, -0.93, -0.12, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42834, 0, 3.00, 2.00, 0.01, -0.92, -0.14, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42840, 0, 3.00, 2.00, 0.05, -0.90, -0.14, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42850, 0, 3.00, 2.00, 0.06, -0.88, -0.12, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42864, 0, 3.00, 2.00, 0.02, -0.90, -0.09, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42870, 0, 3.00, 2.00, -0.05, -0.91, -0.08, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42880, 0, 3.00, 2.00, -0.15, -0.95, -0.07, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42890, 0, 3.00, 2.00, -0.20, -0.97, -0.06, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
42903, 0, 3.00, 2.00, -0.18, -0.94, -0.05, 1.00, 10.00, 0.01, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00, 3.00, 0.00, 0.00
