timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
35041, 0, 2.00, 2.00, -10.02, 0.18, -0.04, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35051, 0, 2.00, 2.00, -10.02, 0.10, -0.04, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35061, 0, 2.00, 2.00, -10.05, 0.16, -0.04, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35071, 0, 2.00, 2.00, -10.00, 0.17, -0.06, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35081, 0, 2.00, 2.00, -9.97, 0.09, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35091, 0, 2.00, 2.00, -10.08, 0.16, -0.03, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35101, 0, 2.00, 2.00, -10.11, 0.19, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35111, 0, 2.00, 2.00, -10.02, 0.15, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35121, 0, 2.00, 2.00, -10.04, 0.14, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35131, 0, 2.00, 2.00, -10.12, 0.15, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35141, 0, 2.00, 2.00, -10.09, 0.14, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35196, 0, 2.00, 2.00, -10.07, 0.19, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35201, 0, 2.00, 2.00, -10.07, 0.19, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35211, 0, 2.00, 2.00, -10.03, 0.15, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35221, 0, 2.00, 2.00, -10.07, 0.15, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35231, 0, 2.00, 2.00, -10.05, 0.16, -0.05, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35241, 0, 2.00, 2.00, -10.02, 0.18, -0.04, 1.00, 10.00, 0.01, 2.00, 2.20, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
