timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
56766, 0, 1.50, 0.50, -0.59, -0.30, -0.34, -0.00, 1.32, 52.80, 0.01, 1.46, 0.06, 0.00, 1.49, 0.01, 0.00, 1.46, 0.03, 0.00, 1.49, 0.08, 0.00, 0.00, 1.50, 12.03, 1.50, 0.90, 0.90
56805, 0, 1.50, 0.50, -0.57, -0.48, -0.29, -0.01, 1.32, 52.80, 0.01, 1.46, 0.06, 0.00, 1.51, 0.01, 0.00, 1.45, 0.03, 0.00, 1.51, 0.08, 0.00, 120.32, 1.51, 15.64, 1.50, 0.90, 0.90
56822, 0, 1.50, 0.50, -0.57, -0.54, -0.34, -0.02, 1.32, 52.80, 0.01, 1.45, 0.06, 0.00, 1.51, 0.01, 0.00, 1.45, 0.03, 0.00, 1.51, 0.08, 0.00, 156.42, 1.52, 16.72, 1.50, 0.90, 0.90
56833, 0, 1.50, 0.50, -0.57, -0.37, -0.33, -0.02, 1.32, 52.80, 0.01, 1.45, 0.06, 0.00, 1.51, 0.01, 0.00, 1.45, 0.03, 0.00, 1.51, 0.08, 0.00, 167.25, 1.52, 17.05, 1.50, 0.90, 0.90
56849, 0, 1.50, 0.50, -0.58, -0.36, -0.30, -0.03, 1.32, 52.80, 0.01, 1.45, 0.06, 0.00, 1.51, 0.01, 0.00, 1.45, 0.03, 0.00, 1.51, 0.08, 0.00, 170.50, 1.53, 17.15, 1.50, 0.90, 0.90
56859, 0, 1.50, 0.50, -0.58, -0.41, -0.29, -0.03, 1.32, 52.80, 0.01, 1.45, 0.06, 0.00, 1.51, 0.01, 0.00, 1.45, 0.03, 0.00, 1.51, 0.08, 0.00, 171.47, 1.53, 17.18, 1.50, 0.90, 0.90
56873, 0, 1.50, 0.50, -0.58, -0.34, -0.29, -0.04, 1.32, 52.80, 0.01, 1.45, 0.06, 0.00, 1.51, 0.01, 0.39, 1.45, 0.03, 0.00, 1.51, 0.08, 0.00, 171.76, 1.54, 17.18, 1.50, 0.90, 0.90
56890, 0, 1.50, 0.50, -0.56, -0.27, -0.26, -0.04, 1.32, 52.80, 0.01, 1.45, 0.04, 1.40, 1.51, 0.06, 3.04, 1.45, 0.03, 2.68, 1.51, 0.07, 2.51, 171.85, 1.54, 17.19, 1.50, 0.90, 0.90
56899, 0, 1.50, 0.50, -0.53, -0.06, 0.02, -0.04, 1.32, 52.80, 0.01, 1.45, 0.14, 2.60, 1.51, 0.39, 2.39, 1.45, 0.21, 1.95, 1.51, 0.17, 3.49, 171.88, 1.54, 17.21, 1.50, 0.90, 0.90
56913, 0, 1.50, 0.50, -0.48, 0.94, 1.12, -0.03, 1.32, 52.80, 0.01, 1.45, 0.72, 1.63, 1.51, 0.93, 2.37, 1.45, 0.66, 1.81, 1.51, 0.63, 2.67, 171.88, 1.53, 18.19, 1.50, 0.90, 0.90
56930, 0, 1.50, 0.50, -0.41, 0.26, 2.92, -0.03, 1.32, 52.80, 0.01, 1.45, 1.24, 2.04, 1.51, 1.39, 1.98, 1.45, 1.01, 1.98, 1.51, 1.18, 2.21, 171.87, 1.53, 19.69, 1.50, 0.88, 0.90
56939, 0, 1.50, 0.50, -0.50, 1.08, 5.21, -0.01, 1.32, 52.80, 0.01, 1.45, 2.10, 0.95, 1.52, 2.41, 1.11, 1.45, 1.11, 1.61, 1.51, 1.42, 1.26, 171.10, 1.51, 21.26, 1.50, 0.82, 0.90
56953, 0, 1.50, 0.50, -0.05, -0.12, 8.03, -0.01, 1.32, 52.80, 0.01, 1.45, 1.25, 0.84, 1.52, 1.32, 0.82, 1.45, 1.27, 1.18, 1.51, 1.38, 0.98, 169.61, 1.51, 22.38, 1.50, 0.70, 0.90
56969, 0, 1.50, 0.50, -0.18, 0.03, 11.20, -0.01, 1.32, 52.80, 0.01, 1.45, 1.41, 0.89, 1.52, 1.38, 0.74, 1.45, 1.35, 1.23, 1.51, 1.44, 0.79, 167.56, 1.51, 21.92, 1.50, 0.48, 0.90
56979, 0, 1.50, 0.50, -0.07, 0.39, 14.48, -0.01, 1.32, 52.80, 0.01, 1.45, 1.49, 0.88, 1.51, 1.44, 0.61, 1.45, 1.45, 0.98, 1.51, 1.45, 0.82, 164.97, 1.51, 18.49, 1.50, 0.16, 0.90
56993, 0, 1.50, 0.50, -0.16, 0.48, 18.26, -0.00, 1.32, 52.80, 0.01, 1.46, 1.32, 0.74, 1.49, 1.44, 0.96, 1.46, 1.68, 0.81, 1.49, 1.55, 0.81, 161.97, 1.50, 10.77, 1.50, -0.28, 0.90
57009, 0, 1.50, 0.50, -0.54, 0.49, 21.70, 0.01, 1.32, 52.80, 0.01, 1.48, 1.38, 0.63, 1.48, 1.54, 0.91, 1.48, 1.41, 0.82, 1.48, 1.56, 0.89, 158.78, 1.49, 3.29, 1.50, -0.87, 0.90
57019, 0, 1.50, 0.50, -0.14, 0.37, 24.85, 0.01, 1.32, 52.80, 0.01, 1.46, 1.39, 0.67, 1.49, 1.61, 0.86, 1.46, 1.61, 0.47, 1.49, 1.58, 0.53, 155.17, 1.49, 9.69, 1.50, -1.00, 0.90
57033, 0, 1.50, 0.50, -0.67, 0.71, 28.34, 0.02, 1.32, 52.80, 0.01, 1.46, 1.38, 0.67, 1.51, 1.49, 0.47, 1.46, 1.35, 0.79, 1.49, 1.39, 0.86, 151.68, 1.48, 13.49, 1.50, -1.00, 0.90
57051, 0, 1.50, 0.50, -0.19, 0.78, 31.53, 0.03, 1.32, 52.80, 0.01, 1.45, 1.31, 0.77, 1.51, 1.59, 0.89, 1.45, 1.52, 1.33, 1.51, 1.13, 1.09, 148.43, 1.47, 17.03, 1.50, -1.00, 0.90
57059, 0, 1.50, 0.50, -0.22, 0.96, 34.66, 0.04, 1.32, 52.80, 0.01, 1.45, 1.45, 0.70, 1.51, 1.65, 1.09, 1.45, 1.54, 1.11, 1.51, 1.44, 1.33, 145.01, 1.46, 20.48, 1.50, -1.00, 0.90
57073, 0, 1.50, 0.50, -0.07, 1.51, 38.86, 0.06, 1.32, 52.80, 0.01, 1.45, 1.28, 0.75, 1.52, 1.56, 0.65, 1.44, 1.35, 0.74, 1.52, 1.11, 1.09, 141.76, 1.44, 25.00, 1.50, -1.00, 0.90
57109, 0, 1.50, 0.50, -0.00, 1.28, 44.05, 0.08, 1.32, 52.80, 0.01, 1.44, 1.42, 0.86, 1.54, 1.62, 0.58, 1.44, 1.61, 0.79, 1.52, 2.00, 1.11, 138.59, 1.42, 30.58, 1.50, -1.00, 0.90
