timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
44668, 0, 1.50, 0.50, -0.55, -0.24, -0.28, -0.00, 1.32, 52.80, 0.01, 1.46, 0.10, 0.00, 1.49, 0.08, 0.00, 1.46, 0.06, 0.00, 1.49, 0.11, 0.00, 0.00, 1.50, 12.03, 1.50, 0.90, 0.90
44721, 0, 1.50, 0.50, -0.47, -0.26, -0.24, -0.01, 1.32, 52.80, 0.01, 1.46, 0.10, 0.00, 1.51, 0.08, 0.00, 1.45, 0.04, 0.00, 1.51, 0.11, 0.00, 120.32, 1.51, 15.64, 1.50, 0.90, 0.90
44734, 0, 1.50, 0.50, -0.47, -0.19, -0.44, -0.01, 1.32, 52.80, 0.01, 1.45, 0.10, 0.00, 1.51, 0.08, 0.00, 1.45, 0.04, 0.00, 1.51, 0.11, 0.00, 156.42, 1.51, 16.72, 1.50, 0.90, 0.90
44751, 0, 1.50, 0.50, -0.45, -0.12, -0.39, -0.01, 1.32, 52.80, 0.01, 1.45, 0.10, 0.00, 1.51, 0.08, 0.00, 1.45, 0.04, 0.00, 1.51, 0.11, 0.00, 167.25, 1.51, 17.05, 1.50, 0.90, 0.90
44761, 0, 1.50, 0.50, -0.48, -0.19, -0.32, -0.01, 1.32, 52.80, 0.01, 1.45, 0.10, 0.00, 1.51, 0.08, 0.00, 1.45, 0.04, 0.00, 1.51, 0.11, 0.00, 170.50, 1.51, 17.15, 1.50, 0.90, 0.90
44774, 0, 1.50, 0.50, -0.50, -0.28, -0.30, -0.02, 1.32, 52.80, 0.01, 1.45, 0.10, 0.00, 1.51, 0.08, 0.00, 1.45, 0.04, 0.12, 1.51, 0.11, 0.00, 171.47, 1.52, 17.18, 1.50, 0.90, 0.90
44791, 0, 1.50, 0.50, -0.41, -0.12, -0.28, -0.02, 1.32, 52.80, 0.01, 1.45, 0.10, 1.14, 1.51, 0.08, 2.04, 1.45, 0.11, 2.54, 1.51, 0.11, 1.93, 171.76, 1.52, 17.18, 1.50, 0.90, 0.90
44801, 0, 1.50, 0.50, -0.69, 0.39, 0.10, -0.01, 1.32, 52.80, 0.01, 1.45, 0.07, 2.84, 1.51, 0.11, 3.42, 1.45, 0.48, 1.84, 1.51, 0.21, 3.37, 171.85, 1.51, 17.28, 1.50, 0.90, 0.90
44814, 0, 1.50, 0.50, -1.04, 0.80, 0.51, -0.00, 1.32, 52.80, 0.01, 1.45, 0.38, 1.88, 1.51, 0.83, 2.30, 1.45, 0.89, 1.95, 1.51, 0.76, 2.39, 171.88, 1.50, 17.64, 1.50, 0.90, 0.90
44833, 0, 1.50, 0.50, -0.79, 1.43, 1.82, 0.02, 1.32, 52.80, 0.01, 1.45, 0.77, 1.96, 1.51, 1.42, 1.42, 1.45, 1.34, 1.42, 1.51, 1.04, 1.98, 171.81, 1.48, 18.78, 1.50, 0.90, 0.90
44842, 0, 1.50, 0.50, -0.99, 0.74, 3.76, 0.03, 1.32, 52.80, 0.01, 1.45, 0.93, 1.54, 1.51, 1.66, 0.75, 1.45, 1.69, 0.93, 1.51, 1.37, 1.11, 171.51, 1.47, 20.31, 1.50, 0.87, 0.90
