timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
100454, 0, 0.20, 0.50, -1.82, -0.92, 86.21, -1.56, 1.32, 52.80, 0.01, 2.08, 0.03, 0.00, 1.75, 0.03, 0.00, 1.41, 0.04, 0.00, 2.15, 0.10, 0.00, -41.54, 1.76, 23.44, 0.20, -0.18, 0.00
100473, 0, 0.20, 0.50, -1.44, -0.67, 54.53, -1.57, 1.32, 52.80, 0.01, 0.63, 0.03, 0.00, 1.97, 0.01, 0.00, 2.54, 0.04, 0.00, 1.62, 0.10, 0.00, -75.91, 1.77, 29.14, 0.20, -0.39, 0.00
100481, 0, 0.20, 0.50, -1.08, -0.50, 21.58, -1.57, 1.32, 52.80, 0.01, 0.11, 0.03, 0.00, 1.76, 0.01, 0.00, 0.44, 0.04, 0.12, 2.93, 0.10, 0.00, -63.30, 1.77, 17.93, 0.20, -0.45, 0.00
100494, 0, 0.20, 0.50, -0.93, -0.48, 7.73, -1.58, 1.32, 52.80, 0.01, 1.04, 0.03, 0.00, 0.87, 0.01, 0.00, 2.51, 0.04, 0.00, 2.89, 0.10, 0.07, -31.62, 1.78, 11.73, 0.20, -0.47, 0.00
100508, 0, 0.20, 0.50, -0.83, -0.43, 3.46, -1.58, 1.32, 52.80, 0.01, 2.61, 0.03, 0.30, 1.85, 0.01, 0.00, 0.83, 0.04, 0.05, 0.54, 0.10, 0.58, 1.34, 1.78, 9.72, 0.20, -0.47, 0.00
100521, 0, 0.20, 0.50, -0.81, -0.29, 1.96, -1.59, 1.32, 52.80, 0.01, 1.87, 0.03, 0.30, 0.90, 0.01, 0.32, 0.23, 0.04, 0.00, 3.28, 0.07, 0.07, 15.19, 1.79, 8.99, 0.20, -0.46, 0.00
100534, 0, 0.20, 0.50, -0.70, 0.00, 1.59, -1.59, 1.32, 52.80, 0.01, 1.66, 0.03, 0.00, 0.63, 0.01, 0.00, 0.06, 0.04, 0.00, 3.04, 0.13, 2.91, 19.46, 1.79, 8.79, 0.20, -0.46, 0.00
100548, 0, 0.20, 0.50, -0.58, 0.09, 1.26, -1.59, 1.32, 52.80, 0.01, 1.48, 0.03, 0.00, 0.39, 0.01, 0.00, 3.51, 0.04, 0.00, 2.83, 0.42, 2.26, 20.96, 1.79, 8.60, 0.20, -0.46, 0.00
100561, 0, 0.20, 0.50, -0.59, -0.01, 1.63, -1.59, 1.32, 52.80, 0.01, 1.62, 0.03, 0.00, 0.58, 0.01, 0.00, 0.03, 0.03, 2.56, 3.00, 0.77, 2.23, 21.33, 1.79, 8.74, 0.20, -0.46, 0.00
100574, 0, 0.20, 0.50, -0.49, 0.29, 2.15, -1.58, 1.32, 52.80, 0.01, 1.83, 0.03, 2.35, 0.85, 0.01, 0.00, 0.20, 0.15, 0.19, 3.24, 1.04, 2.37, 21.66, 1.78, 8.95, 0.20, -0.46, 0.00
