timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
21315, 0, 0.50, 0.50, -0.58, -0.30, -0.34, -0.00, 1.32, 52.80, 0.01, 0.46, 1.00, 0.00, 0.52, 1.00, 0.00, 0.45, 1.00, 0.00, 0.51, 1.00, 0.00, 0.00, 0.50, 20.00, 0.50, 0.40, 1.00
21350, 0, 0.50, 0.50, -0.72, 2.62, 2.67, 0.02, 1.32, 52.80, 0.01, 0.46, 0.46, 1.37, 0.52, 0.59, 1.44, 0.45, 0.52, 1.61, 0.51, 0.55, 2.05, 57.30, 0.48, 20.00, 0.50, 0.40, 1.00
21367, 0, 0.50, 0.50, -0.69, 2.78, 5.67, 0.05, 1.32, 52.80, 0.01, 0.46, 0.65, 0.33, 0.52, 0.80, 0.23, 0.45, 0.62, 0.60, 0.51, 0.72, 0.40, 57.30, 0.45, 20.00, 0.50, 0.25, 1.00
21375, 0, 0.50, 0.50, -0.42, 2.12, 8.30, 0.07, 1.32, 52.80, 0.01, 0.46, 0.59, 0.49, 0.52, 0.63, 0.39, 0.45, 0.59, 0.28, 0.51, 0.62, 0.72, 54.62, 0.43, 20.00, 0.50, -0.00, 1.00
21385, 0, 0.50, 0.50, -0.35, 3.04, 11.28, 0.10, 1.32, 52.80, 0.01, 0.46, 0.52, 0.82, 0.52, 0.52, 0.79, 0.45, 0.58, 0.33, 0.51, 0.49, 1.30, 51.62, 0.40, 20.00, 0.50, -0.30, 1.00
21402, 0, 0.50, 0.50, -0.43, 2.49, 16.14, 0.13, 1.32, 52.80, 0.01, 0.46, 0.46, 0.96, 0.52, 0.46, 1.53, 0.45, 0.37, 1.09, 0.51, 0.52, 1.44, 48.99, 0.37, 20.00, 0.50, -0.78, 1.00
21411, 0, 0.50, 0.50, -0.43, 2.54, 20.96, 0.15, 1.32, 52.80, 0.01, 0.46, 0.48, 0.89, 0.55, 0.59, 1.02, 0.44, 0.35, 1.32, 0.52, 0.54, 1.25, 46.01, 0.35, 29.43, 0.50, -1.80, 1.00
21447, 0, 0.50, 0.50, -0.50, 2.60, 28.46, 0.18, 1.32, 52.80, 0.01, 0.55, 0.45, 1.00, 0.73, 0.56, 0.96, 0.35, 0.46, 0.82, 0.61, 0.55, 1.12, 41.16, 0.32, 82.95, 0.50, -3.17, 1.00
21455, 0, 0.50, 0.50, -0.60, 2.63, 35.63, 0.21, 1.32, 52.80, 0.01, 1.03, 0.48, 1.05, 1.28, 0.59, 1.16, 0.18, 0.46, 0.40, 0.77, 0.61, 1.42, 36.33, 0.29, 202.37, 0.50, -5.84, 1.00
21465, 0, 0.50, 0.50, -0.73, 2.62, 41.32, 0.23, 1.32, 52.80, 0.01, 1.15, 0.61, 1.93, 1.41, 0.75, 2.35, 0.14, 0.42, 0.19, 0.82, 0.65, 1.72, 28.84, 0.27, 230.00, 0.50, -8.81, 1.00
21504, 0, 0.50, 0.50, -0.68, 2.46, 52.23, 0.26, 1.32, 52.80, 0.01, 1.15, 1.30, 1.21, 1.41, 1.55, 1.98, 0.14, 0.31, 0.21, 0.82, 0.85, 1.30, 21.66, 0.24, 230.00, 0.50, -11.78, 1.00
21513, 0, 0.50, 0.50, -0.65, 2.33, 62.88, 0.28, 1.32, 52.80, 0.01, 1.15, 1.72, 0.72, 1.41, 1.85, 0.93, 0.14, 0.31, 0.19, 0.82, 0.97, 0.84, 15.97, 0.22, 230.00, 0.50, -18.64, 1.00
21521, 0, 0.50, 0.50, -0.77, 2.31, 71.59, 0.30, 1.32, 52.80, 0.01, 1.15, 1.44, 0.37, 1.41, 1.51, 0.37, 0.14, 0.31, 0.19, 0.82, 0.79, 0.63, 5.07, 0.20, 230.00, 0.50, -26.26, 1.00
21540, 0, 0.50, 0.50, -0.99, 2.30, 78.62, 0.33, 1.32, 52.80, 0.01, 1.15, 0.96, 1.65, 1.41, 1.45, 1.00, 0.14, 0.31, 0.21, 0.82, 0.83, 1.09, -5.59, 0.17, 230.00, 0.50, -33.11, 1.00
