timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
13202, 2, 100.00, 2.00, -0.59, -0.28, -0.10, 1.32, 52.80, 0.01, 284.00, 0.00, 1.32, 364.00, 0.00, 1.51, 232.00, 0.00, 1.25, 328.00, 0.00, 1.51
13622, 2, 100.00, 2.00, -1.92, 1.15, 13.74, 1.32, 52.80, 0.01, 284.00, 352.00, 0.67, 364.00, 396.00, 0.56, 232.00, 284.00, 0.89, 328.00, 368.00, 0.58
13833, 2, 100.00, 2.00, -1.28, 1.35, 35.96, 1.32, 52.80, 0.01, 284.00, 288.00, 0.44, 364.00, 588.00, 0.23, 232.00, 224.00, 0.12, 328.00, 552.00, 0.44
13842, 2, 100.00, 2.00, -1.23, 0.77, 44.69, 1.32, 52.80, 0.01, 284.00, 280.00, 0.19, 364.00, 540.00, 0.40, 232.00, 224.00, 0.11, 328.00, 516.00, 0.21
13852, 2, 100.00, 2.00, -1.59, 1.34, 46.70, 1.32, 52.80, 0.01, 284.00, 284.00, 0.21, 364.00, 492.00, 0.49, 232.00, 224.00, 0.25, 328.00, 468.00, 0.33
13862, 2, 100.00, 2.00, -2.48, 0.68, 47.24, 1.32, 52.80, 0.01, 284.00, 276.00, 0.09, 364.00, 452.00, 0.54, 232.00, 228.00, 0.11, 328.00, 424.00, 0.56
14003, 2, 100.00, 2.00, -3.01, 0.01, 43.08, 1.32, 52.80, 0.01, 284.00, 276.00, 0.67, 364.00, 356.00, 0.33, 232.00, 224.00, 0.40, 328.00, 320.00, 0.12
14012, 2, 100.00, 2.00, -3.50, -0.11, 39.57, 1.32, 52.80, 0.01, 284.00, 276.00, 0.68, 364.00, 352.00, 0.16, 232.00, 228.00, 0.51, 328.00, 324.00, 0.14
14022, 2, 100.00, 2.00, -4.74, 0.03, 37.34, 1.32, 52.80, 0.01, 284.00, 288.00, 0.61, 364.00, 360.00, 0.37, 232.00, 228.00, 0.44, 328.00, 320.00, 0.14
14144, 2, 100.00, 2.00, -3.70, 0.00, 33.24, 1.32, 52.80, 0.01, 284.00, 280.00, 0.88, 364.00, 360.00, 0.61, 232.00, 236.00, 0.26, 328.00, 328.00, 0.19
14152, 2, 100.00, 2.00, -3.70, 0.22, 30.77, 1.32, 52.80, 0.01, 284.00, 288.00, 0.65, 364.00, 360.00, 0.70, 232.00, 232.00, 0.26, 328.00, 324.00, 0.23
14162, 2, 100.00, 2.00, -3.70, 0.22, 29.53, 1.32, 52.80, 0.01, 284.00, 276.00, 0.72, 364.00, 360.00, 0.51, 232.00, 224.00, 0.42, 328.00, 328.00, 0.21
14172, 2, 100.00, 2.00, -3.47, 0.18, 28.94, 1.32, 52.80, 0.01, 284.00, 284.00, 0.79, 364.00, 364.00, 0.70, 232.00, 232.00, 0.33, 328.00, 324.00, 0.28
