timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
52354, 2, 100.00, 2.00, -0.38, -0.28, -0.05, 1.32, 52.80, 0.01, 104.00, 0.00, 1.25, 316.00, 0.00, 2.00, 104.00, 0.00, 1.33, 316.00, 0.00, 1.77
52383, 2, 100.00, 2.00, -0.29, 3.46, -0.10, 1.32, 52.80, 0.01, 104.00, 148.00, 0.79, 316.00, 276.00, 2.70, 104.00, 120.00, 1.54, 316.00, 156.00, 2.65
52398, 2, 100.00, 2.00, -0.39, 3.40, -0.14, 1.32, 52.80, 0.01, 104.00, 136.00, 0.21, 316.00, 392.00, 2.11, 104.00, 132.00, 0.82, 316.00, 264.00, 2.56
52404, 2, 100.00, 2.00, -0.45, 3.39, -0.17, 1.32, 52.80, 0.01, 104.00, 124.00, 0.23, 316.00, 420.00, 1.82, 104.00, 124.00, 0.84, 316.00, 280.00, 2.42
52414, 2, 100.00, 2.00, -0.36, 4.12, -0.17, 1.32, 52.80, 0.01, 104.00, 108.00, 0.67, 316.00, 432.00, 0.96, 104.00, 112.00, 1.19, 316.00, 316.00, 2.49
52424, 2, 100.00, 2.00, -0.28, 3.57, -0.16, 1.32, 52.80, 0.01, 104.00, 84.00, 0.93, 316.00, 424.00, 0.53, 104.00, 92.00, 1.21, 316.00, 364.00, 2.19
52439, 2, 100.00, 2.00, -0.33, 3.23, -0.09, 1.32, 52.80, 0.01, 104.00, 96.00, 1.04, 316.00, 384.00, 0.25, 104.00, 96.00, 1.42, 316.00, 424.00, 1.93
52444, 2, 100.00, 2.00, -0.37, 3.06, -0.04, 1.32, 52.80, 0.01, 104.00, 104.00, 0.77, 316.00, 364.00, 0.35, 104.00, 104.00, 1.18, 316.00, 428.00, 1.84
52454, 2, 100.00, 2.00, -0.37, 3.72, -0.02, 1.32, 52.80, 0.01, 104.00, 112.00, 0.61, 316.00, 340.00, 0.72, 104.00, 108.00, 1.12, 316.00, 428.00, 1.84
52468, 2, 100.00, 2.00, -0.30, 2.87, 0.03, 1.32, 52.80, 0.01, 104.00, 112.00, 0.49, 316.00, 328.00, 0.86, 104.00, 116.00, 0.81, 316.00, 464.00, 0.93
52474, 2, 100.00, 2.00, -0.24, 2.30, 0.08, 1.32, 52.80, 0.01, 104.00, 116.00, 0.32, 316.00, 320.00, 0.77, 104.00, 124.00, 0.60, 316.00, 452.00, 0.53
52484, 2, 100.00, 2.00, -0.24, 2.06, 0.11, 1.32, 52.80, 0.01, 104.00, 124.00, 0.09, 316.00, 312.00, 0.93, 104.00, 128.00, 0.33, 316.00, 420.00, 0.47
52494, 2, 100.00, 2.00, -0.11, 1.83, 0.14, 1.32, 52.80, 0.01, 104.00, 124.00, 0.05, 316.00, 300.00, 0.91, 104.00, 128.00, 0.16, 316.00, 372.00, 0.51
52508, 2, 100.00, 2.00, -0.08, 1.64, 0.23, 1.32, 52.80, 0.01, 104.00, 120.00, 0.19, 316.00, 304.00, 1.21, 104.00, 128.00, 0.05, 316.00, 340.00, 0.70
52514, 2, 100.00, 2.00, -0.05, 1.52, 0.32, 1.32, 52.80, 0.01, 104.00, 120.00, 0.28, 316.00, 308.00, 1.09, 104.00, 128.00, 0.09, 316.00, 340.00, 0.77
52524, 2, 100.00, 2.00, -0.14, 1.14, 0.42, 1.32, 52.80, 0.01, 104.00, 120.00, 0.32, 316.00, 316.00, 1.05, 104.00, 124.00, 0.14, 316.00, 320.00, 0.70
