timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
29420, 2, 100.00, 2.00, -0.33, -0.28, -0.04, 1.32, 52.80, 0.01, 80.00, 0.00, 0.39, 476.00, 0.00, 0.89, 80.00, 0.00, 0.42, 476.00, 0.00, 0.95
29488, 2, 100.00, 2.00, 0.02, 0.76, -0.02, 1.32, 52.80, 0.01, 80.00, 100.00, 0.32, 476.00, 420.00, 2.11, 80.00, 84.00, 0.95, 476.00, 300.00, 2.47
29494, 2, 100.00, 2.00, 0.15, 1.24, -0.01, 1.32, 52.80, 0.01, 80.00, 88.00, 0.33, 476.00, 448.00, 1.93, 80.00, 84.00, 0.95, 476.00, 320.00, 2.53
29507, 2, 100.00, 2.00, 0.06, 2.12, 0.17, 1.32, 52.80, 0.01, 80.00, 80.00, 0.42, 476.00, 504.00, 1.58, 80.00, 92.00, 0.86, 476.00, 356.00, 2.30
29513, 2, 100.00, 2.00, 0.00, 2.66, 0.28, 1.32, 52.80, 0.01, 80.00, 88.00, 0.26, 476.00, 516.00, 1.54, 80.00, 96.00, 0.63, 476.00, 376.00, 2.32
29520, 2, 100.00, 2.00, -0.06, 2.52, 0.38, 1.32, 52.80, 0.01, 80.00, 100.00, 0.09, 476.00, 544.00, 1.54, 80.00, 96.00, 0.46, 476.00, 396.00, 2.19
29533, 2, 100.00, 2.00, -0.06, 2.34, 0.41, 1.32, 52.80, 0.01, 80.00, 100.00, 0.18, 476.00, 560.00, 1.37, 80.00, 104.00, 0.12, 476.00, 412.00, 2.05
29540, 2, 100.00, 2.00, 0.05, 2.25, 0.44, 1.32, 52.80, 0.01, 80.00, 100.00, 0.16, 476.00, 576.00, 1.37, 80.00, 108.00, 0.04, 476.00, 416.00, 2.05
29550, 2, 100.00, 2.00, 0.12, 2.00, 0.54, 1.32, 52.80, 0.01, 80.00, 96.00, 0.21, 476.00, 600.00, 1.33, 80.00, 108.00, 0.09, 476.00, 416.00, 1.96
29560, 2, 100.00, 2.00, 0.09, 1.89, 0.69, 1.32, 52.80, 0.01, 80.00, 104.00, 0.23, 476.00, 624.00, 1.16, 80.00, 104.00, 0.14, 476.00, 428.00, 1.93
29574, 2, 100.00, 2.00, 0.28, 1.37, 0.88, 1.32, 52.80, 0.01, 80.00, 112.00, 0.28, 476.00, 636.00, 1.07, 80.00, 92.00, 0.11, 476.00, 456.00, 1.86
29580, 2, 100.00, 2.00, 0.51, 1.04, 1.11, 1.32, 52.80, 0.01, 80.00, 112.00, 0.28, 476.00, 640.00, 1.00, 80.00, 92.00, 0.16, 476.00, 460.00, 1.75
29590, 2, 100.00, 2.00, 0.54, 1.02, 1.40, 1.32, 52.80, 0.01, 80.00, 112.00, 0.28, 476.00, 648.00, 0.93, 80.00, 92.00, 0.16, 476.00, 484.00, 1.75
29604, 2, 100.00, 2.00, 0.42, 0.79, 1.75, 1.32, 52.80, 0.01, 80.00, 108.00, 0.23, 476.00, 652.00, 0.91, 80.00, 96.00, 0.16, 476.00, 516.00, 1.63
29610, 2, 100.00, 2.00, 0.54, 0.78, 2.10, 1.32, 52.80, 0.01, 80.00, 108.00, 0.25, 476.00, 644.00, 0.81, 80.00, 96.00, 0.14, 476.00, 512.00, 1.46
29620, 2, 100.00, 2.00, 0.31, 0.90, 2.47, 1.32, 52.80, 0.01, 80.00, 108.00, 0.23, 476.00, 608.00, 0.61, 80.00, 96.00, 0.18, 476.00, 496.00, 1.70
29630, 2, 100.00, 2.00, 0.37, 1.04, 2.88, 1.32, 52.80, 0.01, 80.00, 108.00, 0.28, 476.00, 568.00, 0.54, 80.00, 96.00, 0.16, 476.00, 512.00, 1.60
29643, 2, 100.00, 2.00, 0.42, 0.74, 3.31, 1.32, 52.80, 0.01, 80.00, 112.00, 0.30, 476.00, 528.00, 0.60, 80.00, 96.00, 0.16, 476.00, 528.00, 1.49
29650, 2, 100.00, 2.00, 0.27, 0.97, 3.70, 1.32, 52.80, 0.01, 80.00, 108.00, 0.23, 476.00, 516.00, 0.63, 80.00, 96.00, 0.16, 476.00, 532.00, 1.47
29660, 2, 100.00, 2.00, 0.13, 1.05, 4.07, 1.32, 52.80, 0.01, 80.00, 108.00, 0.25, 476.00, 488.00, 0.82, 80.00, 96.00, 0.18, 476.00, 540.00, 1.40
29673, 2, 100.00, 2.00, 0.04, 0.89, 4.44, 1.32, 52.80, 0.01, 80.00, 112.00, 0.26, 476.00, 472.00, 1.37, 80.00, 100.00, 0.16, 476.00, 528.00, 1.49
29680, 2, 100.00, 2.00, -0.12, 1.04, 4.80, 1.32, 52.80, 0.01, 80.00, 112.00, 0.26, 476.00, 468.00, 1.12, 80.00, 100.00, 0.19, 476.00, 520.00, 1.47
29690, 2, 100.00, 2.00, -0.22, 1.14, 5.13, 1.32, 52.80, 0.01, 80.00, 112.00, 0.28, 476.00, 468.00, 1.14, 80.00, 100.00, 0.18, 476.00, 544.00, 1.40
29700, 2, 100.00, 2.00, -0.08, 0.86, 5.41, 1.32, 52.80, 0.01, 80.00, 112.00, 0.28, 476.00, 472.00, 1.16, 80.00, 100.00, 0.18, 476.00, 568.00, 1.40
29714, 2, 100.00, 2.00, 0.03, 0.49, 5.66, 1.32, 52.80, 0.01, 80.00, 112.00, 0.25, 476.00, 460.00, 1.19, 80.00, 104.00, 0.19, 476.00, 568.00, 1.32
29720, 2, 100.00, 2.00, -0.21, 1.06, 5.89, 1.32, 52.80, 0.01, 80.00, 116.00, 0.25, 476.00, 460.00, 1.40, 80.00, 104.00, 0.19, 476.00, 572.00, 1.32
29730, 2, 100.00, 2.00, -0.31, 0.71, 6.10, 1.32, 52.80, 0.01, 80.00, 116.00, 0.28, 476.00, 456.00, 1.58, 80.00, 104.00, 0.19, 476.00, 568.00, 1.37
29744, 2, 100.00, 2.00, -0.31, 0.90, 6.29, 1.32, 52.80, 0.01, 80.00, 116.00, 0.28, 476.00, 468.00, 1.32, 80.00, 104.00, 0.21, 476.00, 584.00, 1.33
29750, 2, 100.00, 2.00, -0.26, 0.84, 6.47, 1.32, 52.80, 0.01, 80.00, 116.00, 0.30, 476.00, 468.00, 1.51, 80.00, 104.00, 0.18, 476.00, 584.00, 1.28
29760, 2, 100.00, 2.00, -0.26, 0.90, 6.64, 1.32, 52.80, 0.01, 80.00, 116.00, 0.26, 476.00, 464.00, 1.67, 80.00, 100.00, 0.19, 476.00, 576.00, 1.35
29789, 2, 100.00, 2.00, -0.21, 0.89, 6.90, 1.32, 52.80, 0.01, 80.00, 120.00, 0.32, 476.00, 484.00, 1.37, 80.00, 104.00, 0.18, 476.00, 576.00, 1.32
29794, 2, 100.00, 2.00, -0.17, 0.89, 7.13, 1.32, 52.80, 0.01, 80.00, 124.00, 0.33, 476.00, 480.00, 1.33, 80.00, 100.00, 0.19, 476.00, 572.00, 1.35
29800, 2, 100.00, 2.00, -0.09, 0.74, 7.36, 1.32, 52.80, 0.01, 80.00, 128.00, 0.33, 476.00, 492.00, 1.28, 80.00, 100.00, 0.21, 476.00, 576.00, 1.35
29810, 2, 100.00, 2.00, -0.10, 0.73, 7.58, 1.32, 52.80, 0.01, 80.00, 128.00, 0.30, 476.00, 492.00, 1.11, 80.00, 100.00, 0.16, 476.00, 588.00, 1.30
29835, 2, 100.00, 2.00, -0.33, 0.83, 7.84, 1.32, 52.80, 0.01, 80.00, 132.00, 0.33, 476.00, 480.00, 1.25, 80.00, 100.00, 0.19, 476.00, 572.00, 1.23
29840, 2, 100.00, 2.00, -0.61, 0.92, 8.06, 1.32, 52.80, 0.01, 80.00, 132.00, 0.33, 476.00, 468.00, 1.19, 80.00, 100.00, 0.19, 476.00, 576.00, 1.30
29850, 2, 100.00, 2.00, -0.43, 0.89, 8.27, 1.32, 52.80, 0.01, 80.00, 128.00, 0.32, 476.00, 484.00, 1.47, 80.00, 100.00, 0.19, 476.00, 604.00, 1.19
29864, 2, 100.00, 2.00, -0.22, 0.69, 8.47, 1.32, 52.80, 0.01, 80.00, 132.00, 0.30, 476.00, 480.00, 1.07, 80.00, 96.00, 0.18, 476.00, 584.00, 1.23
29870, 2, 100.00, 2.00, -0.39, 0.97, 8.64, 1.32, 52.80, 0.01, 80.00, 132.00, 0.28, 476.00, 472.00, 1.19, 80.00, 96.00, 0.16, 476.00, 576.00, 1.30
29880, 2, 100.00, 2.00, -0.29, 0.91, 8.83, 1.32, 52.80, 0.01, 80.00, 136.00, 0.39, 476.00, 456.00, 1.28, 80.00, 96.00, 0.19, 476.00, 556.00, 1.40
29890, 2, 100.00, 2.00, -0.46, 1.07, 9.05, 1.32, 52.80, 0.01, 80.00, 140.00, 0.35, 476.00, 480.00, 1.30, 80.00, 96.00, 0.16, 476.00, 536.00, 1.44
29904, 2, 100.00, 2.00, -0.45, 1.11, 9.27, 1.32, 52.80, 0.01, 80.00, 136.00, 0.33, 476.00, 488.00, 0.68, 80.00, 92.00, 0.14, 476.00, 552.00, 1.12
29910, 2, 100.00, 2.00, -0.10, 0.86, 9.47, 1.32, 52.80, 0.01, 80.00, 140.00, 0.33, 476.00, 492.00, 0.81, 80.00, 92.00, 0.12, 476.00, 536.00, 0.91
29920, 2, 100.00, 2.00, -0.22, 0.81, 9.68, 1.32, 52.80, 0.01, 80.00, 144.00, 0.37, 476.00, 476.00, 0.93, 80.00, 84.00, 0.16, 476.00, 496.00, 1.21
29933, 2, 100.00, 2.00, -0.53, 1.03, 9.89, 1.32, 52.80, 0.01, 80.00, 148.00, 0.37, 476.00, 476.00, 0.95, 80.00, 80.00, 0.14, 476.00, 504.00, 1.25
29940, 2, 100.00, 2.00, -0.45, 0.79, 10.10, 1.32, 52.80, 0.01, 80.00, 148.00, 0.37, 476.00, 460.00, 1.04, 80.00, 76.00, 0.11, 476.00, 492.00, 1.00
29950, 2, 100.00, 2.00, -0.72, 0.91, 10.28, 1.32, 52.80, 0.01, 80.00, 152.00, 0.37, 476.00, 472.00, 1.23, 80.00, 76.00, 0.14, 476.00, 480.00, 1.40
29960, 2, 100.00, 2.00, -0.64, 0.67, 10.44, 1.32, 52.80, 0.01, 80.00, 160.00, 0.42, 476.00, 484.00, 1.09, 80.00, 76.00, 0.12, 476.00, 488.00, 1.30
29973, 2, 100.00, 2.00, -0.72, 0.75, 10.56, 1.32, 52.80, 0.01, 80.00, 148.00, 0.37, 476.00, 472.00, 1.23, 80.00, 76.00, 0.12, 476.00, 484.00, 1.23
29980, 2, 100.00, 2.00, -0.84, 0.89, 10.66, 1.32, 52.80, 0.01, 80.00, 148.00, 0.35, 476.00, 460.00, 1.12, 80.00, 76.00, 0.12, 476.00, 472.00, 1.18
29990, 2, 100.00, 2.00, -0.83, 0.73, 10.76, 1.32, 52.80, 0.01, 80.00, 152.00, 0.35, 476.00, 464.00, 1.21, 80.00, 76.00, 0.12, 476.00, 464.00, 1.44
30002, 2, 100.00, 2.00, -1.00, 0.88, 10.87, 1.32, 52.80, 0.01, 80.00, 156.00, 0.40, 476.00, 472.00, 1.14, 80.00, 76.00, 0.14, 476.00, 468.00, 1.40
30010, 2, 100.00, 2.00, -0.99, 0.93, 10.96, 1.32, 52.80, 0.01, 80.00, 156.00, 0.40, 476.00, 476.00, 1.16, 80.00, 76.00, 0.12, 476.00, 464.00, 1.56
30020, 2, 100.00, 2.00, -0.96, 0.87, 11.04, 1.32, 52.80, 0.01, 80.00, 160.00, 0.40, 476.00, 484.00, 0.91, 80.00, 76.00, 0.12, 476.00, 468.00, 1.47
