timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
101757, 2, 100.00, 2.00, -0.63, 0.04, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.07, 104.00, 0.00, 0.00, 316.00, 28.00, 0.05
101788, 2, 100.00, 2.00, -0.64, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101797, 2, 100.00, 2.00, -0.64, 0.05, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101810, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101817, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101827, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101840, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101847, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101857, 2, 100.00, 2.00, -0.63, 0.05, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101867, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101881, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101887, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101897, 2, 100.00, 2.00, -0.63, 0.05, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 0.00, 104.00, 0.00, 0.00, 316.00, 28.00, 0.00
101911, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 12.00, 1.51, 104.00, 0.00, 0.00, 316.00, 28.00, 0.05
101917, 2, 100.00, 2.00, -0.63, 0.06, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 16.00, 2.37, 104.00, 0.00, 0.00, 316.00, 28.00, 0.51
101927, 2, 100.00, 2.00, -0.63, 0.11, -0.04, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 60.00, 3.14, 104.00, 0.00, 0.00, 316.00, 20.00, 2.56
101937, 2, 100.00, 2.00, -0.64, 0.25, -0.01, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 180.00, 2.37, 104.00, 0.00, 0.00, 316.00, 36.00, 3.14
101950, 2, 100.00, 2.00, -0.62, 0.41, 0.06, 1.32, 52.80, 0.01, 104.00, 8.00, 0.00, 316.00, 276.00, 2.28, 104.00, 0.00, 0.00, 316.00, 136.00, 2.49
