timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
234382, 2, 100.00, 2.00, -0.35, -0.13, 7.04, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234402, 2, 100.00, 2.00, -0.35, -0.14, 6.92, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234412, 2, 100.00, 2.00, -0.35, -0.15, 6.68, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234422, 2, 100.00, 2.00, -0.35, -0.16, 6.25, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234432, 2, 100.00, 2.00, -0.35, -0.17, 5.56, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234442, 2, 100.00, 2.00, -0.35, -0.18, 4.58, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234452, 2, 100.00, 2.00, -0.36, -0.18, 3.48, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234462, 2, 100.00, 2.00, -0.36, -0.18, 2.48, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234472, 2, 100.00, 2.00, -0.36, -0.19, 1.72, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234482, 2, 100.00, 2.00, -0.36, -0.20, 1.21, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234492, 2, 100.00, 2.00, -0.36, -0.20, 0.88, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234502, 2, 100.00, 2.00, -0.36, -0.20, 0.66, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234512, 2, 100.00, 2.00, -0.36, -0.20, 0.51, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234522, 2, 100.00, 2.00, -0.36, -0.21, 0.40, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234532, 2, 100.00, 2.00, -0.36, -0.21, 0.33, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234542, 2, 100.00, 2.00, -0.36, -0.21, 0.27, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
234552, 2, 100.00, 2.00, -0.36, -0.21, 0.23, 1.32, 52.80, 0.01, 100.00, 4.00, 0.00, 100.00, 28.00, 0.00, 100.00, 12.00, 0.00, 100.00, 8.00, 0.00
