timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
153560, 2, 100.00, 2.00, -0.76, -0.44, 0.36, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153583, 2, 100.00, 2.00, -0.72, -0.25, 0.32, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153590, 2, 100.00, 2.00, -0.70, -0.16, 0.29, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153600, 2, 100.00, 2.00, -0.68, -0.12, 0.26, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153610, 2, 100.00, 2.00, -0.67, -0.10, 0.24, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153620, 2, 100.00, 2.00, -0.66, -0.08, 0.21, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153630, 2, 100.00, 2.00, -0.65, -0.07, 0.19, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153640, 2, 100.00, 2.00, -0.64, -0.06, 0.18, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153650, 2, 100.00, 2.00, -0.64, -0.06, 0.16, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153660, 2, 100.00, 2.00, -0.64, -0.05, 0.15, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153670, 2, 100.00, 2.00, -0.63, -0.05, 0.13, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153680, 2, 100.00, 2.00, -0.63, -0.05, 0.12, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153690, 2, 100.00, 2.00, -0.63, -0.04, 0.11, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153700, 2, 100.00, 2.00, -0.63, -0.04, 0.10, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153710, 2, 100.00, 2.00, -0.63, -0.04, 0.10, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153720, 2, 100.00, 2.00, -0.62, -0.04, 0.09, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153730, 2, 100.00, 2.00, -0.62, -0.04, 0.08, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153740, 2, 100.00, 2.00, -0.62, -0.04, 0.07, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153750, 2, 100.00, 2.00, -0.62, -0.03, 0.07, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153760, 2, 100.00, 2.00, -0.62, -0.03, 0.06, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153770, 2, 100.00, 2.00, -0.62, -0.03, 0.06, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153780, 2, 100.00, 2.00, -0.62, -0.03, 0.05, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153790, 2, 100.00, 2.00, -0.62, -0.03, 0.05, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.00, 0.00, 4.00, 0.00, 200.00, 4.00, 0.00
153800, 2, 100.00, 2.00, -0.62, -0.03, 0.05, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 0.91, 0.00, 4.00, 0.00, 200.00, 4.00, 0.49
153810, 2, 100.00, 2.00, -0.62, -0.02, 0.04, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 0.00, 2.19, 0.00, 4.00, 0.00, 200.00, 0.00, 1.74
153820, 2, 100.00, 2.00, -0.60, 0.06, 0.05, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 60.00, 3.04, 0.00, 4.00, 0.00, 200.00, 8.00, 2.79
153830, 2, 100.00, 2.00, -0.59, 0.25, 0.07, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 164.00, 1.96, 0.00, 4.00, 0.00, 200.00, 52.00, 2.58
153840, 2, 100.00, 2.00, -0.59, 0.48, 0.11, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 200.00, 208.00, 0.70, 0.00, 4.00, 0.00, 200.00, 128.00, 2.40
153850, 2, 100.00, 2.00, -0.58, 0.60, 0.15, 1.32, 52.80, 0.01, 0.00, 0.00, 0.02, 200.00, 200.00, 0.84, 0.00, 4.00, 0.00, 200.00, 180.00, 2.32
153860, 2, 100.00, 2.00, -0.56, 0.71, 0.20, 1.32, 52.80, 0.01, 0.00, 0.00, 0.04, 200.00, 204.00, 0.93, 0.00, 4.00, 0.00, 200.00, 204.00, 1.84
153870, 2, 100.00, 2.00, -0.53, 0.87, 0.25, 1.32, 52.80, 0.01, 0.00, 4.00, 0.04, 200.00, 208.00, 0.67, 0.00, 0.00, 0.00, 200.00, 212.00, 1.68
153880, 2, 100.00, 2.00, -0.48, 0.93, 0.30, 1.32, 52.80, 0.01, 0.00, 4.00, 0.05, 200.00, 204.00, 0.68, 0.00, 0.00, 0.00, 200.00, 212.00, 1.70
153890, 2, 100.00, 2.00, -0.44, 0.96, 0.36, 1.32, 52.80, 0.01, 0.00, 8.00, 0.05, 200.00, 208.00, 0.67, 0.00, 0.00, 0.00, 200.00, 208.00, 1.67
153900, 2, 100.00, 2.00, -0.39, 0.98, 0.42, 1.32, 52.80, 0.01, 0.00, 8.00, 0.07, 200.00, 200.00, 0.63, 0.00, 0.00, 0.02, 200.00, 212.00, 1.51
153910, 2, 100.00, 2.00, -0.38, 0.99, 0.48, 1.32, 52.80, 0.01, 0.00, 12.00, 0.09, 200.00, 192.00, 0.84, 0.00, 0.00, 0.02, 200.00, 204.00, 1.46
153920, 2, 100.00, 2.00, -0.39, 1.00, 0.55, 1.32, 52.80, 0.01, 0.00, 12.00, 0.09, 200.00, 196.00, 0.81, 0.00, 0.00, 0.04, 200.00, 208.00, 1.58
153930, 2, 100.00, 2.00, -0.38, 1.00, 0.64, 1.32, 52.80, 0.01, 0.00, 20.00, 0.09, 200.00, 192.00, 0.81, 0.00, 0.00, 0.04, 200.00, 212.00, 1.26
153940, 2, 100.00, 2.00, -0.40, 1.03, 0.74, 1.32, 52.80, 0.01, 0.00, 28.00, 0.11, 200.00, 192.00, 0.95, 0.00, 4.00, 0.04, 200.00, 200.00, 1.39
153950, 2, 100.00, 2.00, -0.42, 1.02, 0.85, 1.32, 52.80, 0.01, 0.00, 36.00, 0.11, 200.00, 196.00, 0.91, 0.00, 4.00, 0.04, 200.00, 196.00, 1.53
153960, 2, 100.00, 2.00, -0.43, 1.02, 0.97, 1.32, 52.80, 0.01, 0.00, 36.00, 0.14, 200.00, 196.00, 0.86, 0.00, 4.00, 0.05, 200.00, 200.00, 1.46
153970, 2, 100.00, 2.00, -0.43, 1.00, 1.09, 1.32, 52.80, 0.01, 0.00, 36.00, 0.11, 200.00, 196.00, 0.88, 0.00, 8.00, 0.04, 200.00, 200.00, 1.39
153980, 2, 100.00, 2.00, -0.44, 0.98, 1.22, 1.32, 52.80, 0.01, 0.00, 40.00, 0.14, 200.00, 196.00, 0.86, 0.00, 8.00, 0.05, 200.00, 200.00, 1.35
153990, 2, 100.00, 2.00, -0.47, 0.99, 1.36, 1.32, 52.80, 0.01, 0.00, 44.00, 0.12, 200.00, 192.00, 1.00, 0.00, 12.00, 0.05, 200.00, 196.00, 1.53
154000, 2, 100.00, 2.00, -0.49, 0.98, 1.51, 1.32, 52.80, 0.01, 0.00, 44.00, 0.16, 200.00, 188.00, 1.19, 0.00, 12.00, 0.05, 200.00, 200.00, 1.46
154010, 2, 100.00, 2.00, -0.50, 0.97, 1.66, 1.32, 52.80, 0.01, 0.00, 48.00, 0.14, 200.00, 204.00, 1.00, 0.00, 20.00, 0.04, 200.00, 200.00, 1.39
154020, 2, 100.00, 2.00, -0.52, 0.96, 1.80, 1.32, 52.80, 0.01, 0.00, 48.00, 0.16, 200.00, 204.00, 0.81, 0.00, 24.00, 0.07, 200.00, 204.00, 1.33
154030, 2, 100.00, 2.00, -0.51, 0.92, 1.92, 1.32, 52.80, 0.01, 0.00, 48.00, 0.14, 200.00, 192.00, 1.00, 0.00, 24.00, 0.07, 200.00, 204.00, 1.30
