timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
13026, 2, 100.00, 2.00, -0.62, -0.05, -0.04, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 300.00, 0.00, 0.00, 0.00, 0.00, 0.00, 300.00, 0.00, 0.00
13080, 2, 100.00, 2.00, -0.46, 0.61, 0.59, 1.32, 52.80, 0.01, 0.00, 0.00, 0.04, 300.00, 332.00, 2.12, 0.00, 0.00, 0.00, 300.00, 136.00, 2.26
13086, 2, 100.00, 2.00, -0.38, 0.89, 0.82, 1.32, 52.80, 0.01, 0.00, 0.00, 0.04, 300.00, 380.00, 2.28, 0.00, 0.00, 0.00, 300.00, 144.00, 2.28
13096, 2, 100.00, 2.00, -0.33, 0.97, 0.94, 1.32, 52.80, 0.01, 0.00, 0.00, 0.05, 300.00, 428.00, 1.96, 0.00, 0.00, 0.00, 300.00, 176.00, 2.40
13106, 2, 100.00, 2.00, -0.31, 1.04, 1.03, 1.32, 52.80, 0.01, 0.00, 0.00, 0.04, 300.00, 448.00, 0.75, 0.00, 0.00, 0.04, 300.00, 196.00, 2.28
13164, 2, 100.00, 2.00, -0.29, 0.99, 1.26, 1.32, 52.80, 0.01, 0.00, 16.00, 0.09, 300.00, 312.00, 0.61, 0.00, 8.00, 0.05, 300.00, 392.00, 2.07
13169, 2, 100.00, 2.00, -0.34, 1.00, 1.44, 1.32, 52.80, 0.01, 0.00, 20.00, 0.07, 300.00, 296.00, 0.67, 0.00, 8.00, 0.04, 300.00, 404.00, 2.07
13176, 2, 100.00, 2.00, -0.39, 1.05, 1.63, 1.32, 52.80, 0.01, 0.00, 20.00, 0.09, 300.00, 284.00, 0.96, 0.00, 8.00, 0.05, 300.00, 408.00, 2.09
13189, 2, 100.00, 2.00, -0.33, 1.06, 1.84, 1.32, 52.80, 0.01, 0.00, 28.00, 0.12, 300.00, 304.00, 0.61, 0.00, 12.00, 0.04, 300.00, 436.00, 1.89
13196, 2, 100.00, 2.00, -0.27, 1.02, 2.02, 1.32, 52.80, 0.01, 0.00, 32.00, 0.11, 300.00, 300.00, 0.77, 0.00, 12.00, 0.05, 300.00, 456.00, 1.86
13206, 2, 100.00, 2.00, -0.31, 1.01, 2.18, 1.32, 52.80, 0.01, 0.00, 32.00, 0.14, 300.00, 300.00, 0.74, 0.00, 16.00, 0.04, 300.00, 460.00, 1.95
13216, 2, 100.00, 2.00, -0.33, 1.07, 2.38, 1.32, 52.80, 0.01, 0.00, 36.00, 0.14, 300.00, 288.00, 0.95, 0.00, 16.00, 0.05, 300.00, 452.00, 1.84
13229, 2, 100.00, 2.00, -0.32, 1.11, 2.59, 1.32, 52.80, 0.01, 0.00, 40.00, 0.12, 300.00, 300.00, 0.70, 0.00, 20.00, 0.05, 300.00, 464.00, 1.42
13236, 2, 100.00, 2.00, -0.33, 1.09, 2.79, 1.32, 52.80, 0.01, 0.00, 40.00, 0.11, 300.00, 296.00, 0.81, 0.00, 20.00, 0.05, 300.00, 452.00, 1.12
13246, 2, 100.00, 2.00, -0.36, 1.10, 3.00, 1.32, 52.80, 0.01, 0.00, 44.00, 0.14, 300.00, 300.00, 0.84, 0.00, 20.00, 0.04, 300.00, 400.00, 0.98
13272, 2, 100.00, 2.00, -0.32, 1.06, 3.26, 1.32, 52.80, 0.01, 0.00, 52.00, 0.16, 300.00, 300.00, 0.70, 0.00, 20.00, 0.05, 300.00, 336.00, 0.93
13277, 2, 100.00, 2.00, -0.34, 1.02, 3.48, 1.32, 52.80, 0.01, 0.00, 56.00, 0.14, 300.00, 296.00, 0.84, 0.00, 20.00, 0.04, 300.00, 316.00, 1.07
13286, 2, 100.00, 2.00, -0.38, 1.03, 3.69, 1.32, 52.80, 0.01, 0.00, 56.00, 0.18, 300.00, 296.00, 0.86, 0.00, 20.00, 0.05, 300.00, 300.00, 1.47
13296, 2, 100.00, 2.00, -0.42, 1.05, 3.90, 1.32, 52.80, 0.01, 0.00, 60.00, 0.19, 300.00, 284.00, 1.02, 0.00, 20.00, 0.04, 300.00, 292.00, 1.68
13310, 2, 100.00, 2.00, -0.45, 1.03, 4.07, 1.32, 52.80, 0.01, 0.00, 64.00, 0.19, 300.00, 296.00, 0.81, 0.00, 24.00, 0.07, 300.00, 308.00, 1.25
13316, 2, 100.00, 2.00, -0.47, 1.00, 4.21, 1.32, 52.80, 0.01, 0.00, 64.00, 0.21, 300.00, 292.00, 0.91, 0.00, 24.00, 0.05, 300.00, 304.00, 1.23
13326, 2, 100.00, 2.00, -0.53, 1.01, 4.35, 1.32, 52.80, 0.01, 0.00, 64.00, 0.19, 300.00, 292.00, 1.07, 0.00, 24.00, 0.07, 300.00, 300.00, 1.40
13339, 2, 100.00, 2.00, -0.55, 0.99, 4.49, 1.32, 52.80, 0.01, 0.00, 64.00, 0.19, 300.00, 288.00, 1.25, 0.00, 24.00, 0.07, 300.00, 296.00, 1.46
