timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
24615, 2, 100.00, 2.00, -0.55, -0.02, -0.04, 1.32, 52.80, 0.01, 500.00, 0.00, 0.82, 500.00, 0.00, 0.86, 500.00, 0.00, 0.84, 500.00, 0.00, 0.86
24646, 2, 100.00, 2.00, -0.55, 0.01, 0.94, 1.32, 52.80, 0.01, 500.00, 76.00, 2.12, 500.00, 152.00, 2.65, 500.00, 104.00, 1.88, 500.00, 124.00, 2.39
24655, 2, 100.00, 2.00, -0.57, -0.01, 2.06, 1.32, 52.80, 0.01, 500.00, 112.00, 2.11, 500.00, 204.00, 2.54, 500.00, 136.00, 1.72, 500.00, 168.00, 2.46
24668, 2, 100.00, 2.00, -0.51, -0.14, 3.59, 1.32, 52.80, 0.01, 500.00, 160.00, 2.00, 500.00, 284.00, 2.54, 500.00, 164.00, 1.77, 500.00, 248.00, 2.33
24675, 2, 100.00, 2.00, -0.46, -0.23, 4.60, 1.32, 52.80, 0.01, 500.00, 176.00, 1.91, 500.00, 316.00, 2.42, 500.00, 180.00, 1.81, 500.00, 284.00, 2.44
24685, 2, 100.00, 2.00, -0.46, -0.17, 5.58, 1.32, 52.80, 0.01, 500.00, 188.00, 1.93, 500.00, 328.00, 2.42, 500.00, 196.00, 1.75, 500.00, 324.00, 2.25
24698, 2, 100.00, 2.00, -0.44, -0.08, 7.05, 1.32, 52.80, 0.01, 500.00, 220.00, 1.81, 500.00, 364.00, 2.26, 500.00, 196.00, 1.74, 500.00, 360.00, 2.35
24705, 2, 100.00, 2.00, -0.43, -0.01, 8.12, 1.32, 52.80, 0.01, 500.00, 236.00, 1.79, 500.00, 384.00, 2.21, 500.00, 196.00, 1.75, 500.00, 396.00, 2.30
24715, 2, 100.00, 2.00, -0.41, -0.06, 9.12, 1.32, 52.80, 0.01, 500.00, 252.00, 1.70, 500.00, 396.00, 2.16, 500.00, 208.00, 1.72, 500.00, 428.00, 1.91
24730, 2, 100.00, 2.00, -0.45, -0.01, 10.42, 1.32, 52.80, 0.01, 500.00, 280.00, 1.67, 500.00, 412.00, 1.96, 500.00, 200.00, 1.79, 500.00, 444.00, 1.89
24735, 2, 100.00, 2.00, -0.49, 0.03, 11.33, 1.32, 52.80, 0.01, 500.00, 284.00, 1.65, 500.00, 420.00, 1.96, 500.00, 196.00, 1.81, 500.00, 448.00, 1.84
