fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.72130996,0.36663872,0,0,0.0
29,1,10,0.7215549,0.36611512,0,0.0005780462,0.016763339
29,2,10,0.72101635,0.3654699,0,0.0008404294,0.024372453
29,3,10,0.7195143,0.36578792,0,0.0015353346,0.044524703
29,4,10,0.71917087,0.36710033,0,0.0013565982,0.03934135
29,5,10,0.72096336,0.36757082,0,0.0018532086,0.05374305
29,6,10,0.7199051,0.3666239,0,0.0014200686,0.04118199
29,7,10,0.72034883,0.3679135,0,0.0013638196,0.039550766
29,8,10,0.7203146,0.36916468,0,0.0012516287,0.036297232
29,9,10,0.72110075,0.36838937,0,0.0011041265,0.032019667
29,10,10,0.72089314,0.36678353,0,0.0016192023,0.046956867
29,11,10,0.71969706,0.36680192,0,0.0011962277,0.034690604
29,12,10,0.7225646,0.36757636,0,0.0029702578,0.08613747
29,13,10,0.72086173,0.36878455,0,0.0020879165,0.06054958
29,14,10,0.7215814,0.3667539,0,0.002154396,0.06247748
29,15,10,0.7215706,0.36686772,0,0.00011432524,0.003315432
29,16,10,0.7209969,0.36778203,0,0.0010793887,0.03130227
29,17,10,0.7219108,0.36743665,0,0.0009769462,0.02833144
29,18,10,0.7202385,0.36667463,0,0.0018377018,0.05329335
29,19,10,0.72101927,0.36821106,0,0.0017234274,0.049979396
29,20,10,0.7213882,0.3679981,0,0.00042600615,0.012354178
29,21,10,0.720705,0.36669147,0,0.0014744803,0.04275993
29,22,10,0.7216158,0.36768195,0,0.0013456008,0.039022423
29,23,10,0.7209618,0.36678043,0,0.0011137465,0.03229865
29,24,10,0.7221777,0.36909026,0,0.0026102993,0.07569868
29,25,10,0.72051716,0.36634004,0,0.0032126382,0.09316651
29,26,10,0.72099465,0.36698073,0,0.0007990516,0.023172496
29,27,10,0.72043294,0.36689892,0,0.00056764006,0.016461562
29,28,10,0.7213272,0.36802214,0,0.0014357239,0.04163599
