fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.45448834,0.24642025,0,0,0.0
29,1,10,0.45368737,0.24791358,0,0.0016945788,0.049142785
29,2,10,0.45425594,0.24782662,0,0.0005751808,0.016680244
29,3,10,0.45636883,0.24710461,0,0.00223285,0.06475265
29,4,10,0.4547628,0.24683489,0,0.0016285391,0.047227632
29,5,10,0.45380324,0.24758558,0,0.0012183037,0.035330806
29,6,10,0.4557418,0.2470779,0,0.0020039272,0.05811389
29,7,10,0.45487136,0.24759251,0,0.0010111799,0.029324217
29,8,10,0.455683,0.24843098,0,0.0011669582,0.03384179
29,9,10,0.45410708,0.24808377,0,0.0016137133,0.046797685
29,10,10,0.45413002,0.24778889,0,0.00029577065,0.008577349
29,11,10,0.45468196,0.2468843,0,0.001059679,0.03073069
29,12,10,0.455427,0.24485664,0,0.0021602025,0.062645875
29,13,10,0.45353243,0.24731348,0,0.0031024914,0.08997225
29,14,10,0.4561927,0.24489255,0,0.0035969394,0.10431124
29,15,10,0.45532173,0.2478253,0,0.0030593416,0.0887209
29,16,10,0.4538834,0.24848714,0,0.0015832905,0.045915425
29,17,10,0.45401388,0.24706215,0,0.0014309589,0.041497808
29,18,10,0.45553836,0.24718231,0,0.0015292066,0.044346992
29,19,10,0.4543835,0.24740562,0,0.0011762615,0.03411158
29,20,10,0.45432678,0.24711747,0,0.00029367206,0.0085164895
29,21,10,0.45414132,0.2474998,0,0.00042492733,0.012322892
29,22,10,0.45577052,0.24779189,0,0.0016551805,0.048000235
29,23,10,0.4559896,0.24579608,0,0.0020077897,0.0582259
29,24,10,0.45667934,0.24812989,0,0.0024335969,0.07057431
29,25,10,0.4566292,0.24590307,0,0.0022273795,0.06459401
29,26,10,0.45645848,0.24567221,0,0.0002871222,0.008326544
29,27,10,0.4567717,0.24541423,0,0.00040578804,0.011767853
29,28,10,0.45650995,0.24561481,0,0.00032977146,0.0095633725
29,29,10,0.45347664,0.24743411,0,0.003537063,0.102574825
29,30,10,0.45563903,0.24680509,0,0.002252028,0.06530882
29,31,10,0.4561297,0.24670489,0,0.00050079107,0.014522941
29,32,10,0.45591143,0.24662435,0,0.00023265762,0.006747071
29,33,10,0.45580605,0.24668692,0,0.00012255675,0.0035541458
29,34,10,0.45586884,0.24677213,0,0.0001058437,0.0030694671
29,35,10,0.45626864,0.24537474,0,0.0014534533,0.042150147
29,36,10,0.45526946,0.24825794,0,0.0030514235,0.08849128
29,37,10,0.45512077,0.24817386,0,0.00017080699,0.0049534026
29,38,10,0.45588788,0.24772267,0,0.00088996347,0.025808942
29,39,10,0.4558806,0.24806865,0,0.00034605156,0.010035495
29,40,10,0.45506194,0.24836409,0,0.00087034947,0.025240134
29,41,10,0.4550083,0.24811856,0,0.0002513184,0.0072882334
29,42,10,0.45408416,0.24939226,0,0.0015736345,0.0456354
29,43,10,0.45375308,0.24685265,0,0.002561094,0.07427172
29,44,10,0.45455575,0.24734694,0,0.0009426514,0.027336892
