fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,1,10,1.1426365,0.3846223,0,0,0.0
29,2,10,1.1411042,0.38660502,0,0.0025058265,0.07266897
29,3,10,1.1430535,0.38457695,0,0.0028129895,0.0815767
29,4,10,1.1415794,0.38499933,0,0.0015334623,0.044470407
29,5,10,1.1426787,0.38561904,0,0.0012619849,0.036597565
29,6,10,1.1421094,0.38561383,0,0.00056936743,0.016511656
29,7,10,1.1430004,0.38614258,0,0.0010360538,0.03004556
29,8,10,1.1419795,0.38547868,0,0.0012177953,0.035316065
29,9,10,1.1418767,0.3863216,0,0.0008491692,0.024625907
29,10,10,1.1426182,0.38559067,0,0.0010411803,0.03019423
29,11,10,1.1430442,0.38533658,0,0.00049607066,0.0143860495
29,12,10,1.1421534,0.38772118,0,0.002545574,0.07382165
29,13,10,1.1427305,0.38757885,0,0.00059438613,0.017237198
29,14,10,1.1416492,0.38647848,0,0.0015426761,0.044737607
29,15,10,1.1419324,0.38629165,0,0.00033921062,0.009837108
29,16,10,1.1425104,0.3868028,0,0.0007716221,0.022377042
29,17,10,1.1426201,0.3862666,0,0.0005473044,0.015871828
29,18,10,1.1423899,0.3868009,0,0.0005817741,0.016871449
29,19,10,1.1416842,0.38519648,0,0.0017527591,0.050830014
29,20,10,1.1420535,0.38620123,0,0.0010704782,0.031043869
29,21,10,1.141486,0.38688943,0,0.00089196215,0.025866902
29,22,10,1.1415985,0.385592,0,0.0013022752,0.037765983
29,23,10,1.1407357,0.38727084,0,0.0018875203,0.05473809
29,24,10,1.1407468,0.3868288,0,0.00044216705,0.012822844
29,25,10,1.1421583,0.38499507,0,0.002314033,0.067106955
29,26,10,1.1422775,0.38529307,0,0.00032095317,0.0093076425
29,27,10,1.143058,0.38536477,0,0.0007837502,0.022728756
29,28,10,1.1423211,0.38620928,0,0.0011207662,0.03250222
29,29,10,1.1420391,0.38518277,0,0.0010645548,0.03087209
29,30,10,1.1419681,0.38658,0,0.0013990215,0.040571623
29,31,10,1.1424026,0.3861726,0,0.00059563306,0.017273359
29,32,10,1.1419096,0.3880997,0,0.0019891812,0.057686254
29,33,10,1.1426033,0.38652113,0,0.0017242598,0.050003536
29,34,10,1.1406664,0.38877374,0,0.0029708373,0.08615428
29,35,10,1.141307,0.3889144,0,0.0006558925,0.019020882
29,36,10,1.1433978,0.38426292,0,0.0050997864,0.1478938
29,37,10,1.1420206,0.38739353,0,0.0034201604,0.099184655
29,38,10,1.142829,0.38550073,0,0.002058192,0.059687566
29,39,10,1.1425974,0.38537878,0,0.0002616608,0.0075881635
29,40,10,1.1420645,0.38672388,0,0.0014468454,0.041958515
29,41,10,1.1420573,0.3877263,0,0.0010024564,0.029071236
29,42,10,1.1423298,0.38609862,0,0.0016503384,0.047859814
29,43,10,1.1409892,0.38795742,0,0.0022918163,0.06646267
29,44,10,1.1402731,0.388579,0,0.0009482382,0.027498908
29,45,10,1.1402696,0.38721356,0,0.0013654573,0.039598264
29,46,10,1.1424721,0.38657063,0,0.0022944296,0.06653846
29,47,10,1.1427298,0.38433167,0,0.0022537305,0.065358184
29,48,10,1.1419189,0.3856635,0,0.0015592574,0.045218464
29,49,10,1.1418339,0.3853915,0,0.00028497633,0.008264313
29,50,10,1.1428783,0.38615373,0,0.0012929584,0.037495792
29,51,10,1.1427138,0.3858755,0,0.0003232299,0.009373668
29,52,10,1.1427248,0.38544706,0,0.00042857853,0.012428777
29,53,10,1.1413366,0.38608256,0,0.0015267429,0.044275545
29,54,10,1.1412055,0.38638353,0,0.00032825145,0.009519292
29,55,10,1.1414346,0.3862558,0,0.00026221582,0.0076042586
29,56,10,1.142076,0.38637716,0,0.0006528435,0.018932462
29,57,10,1.1417682,0.3885054,0,0.0021503859,0.062361192
29,58,10,1.1411456,0.38684413,0,0.0017741164,0.051449377
29,59,10,1.1412886,0.38614267,0,0.0007158952,0.02076096
29,60,10,1.1408964,0.38726667,0,0.0011904552,0.0345232
29,61,10,1.1422331,0.3859799,0,0.0018554082,0.053806838
29,62,10,1.1418893,0.3874641,0,0.0015235133,0.044181887
29,63,10,1.1425118,0.386501,0,0.0011467631,0.03325613
29,64,10,1.1415371,0.38749197,0,0.0013900291,0.040310845
29,65,10,1.1424026,0.3861726,0,0.0015779691,0.045761105
29,66,10,1.141303,0.3873356,0,0.0016006046,0.046417534
29,67,10,1.1412313,0.3872101,0,0.0001445082,0.004190738
29,68,10,1.1416582,0.3865174,0,0.0008136711,0.023596462
29,69,10,1.1427962,0.38557217,0,0.0014793442,0.042900983
29,70,10,1.1417397,0.38611135,0,0.001186073,0.034396116
29,71,10,1.1421919,0.3860656,0,0.00045446912,0.013179605
29,72,10,1.1426983,0.38540947,0,0.00082882197,0.024035838
29,73,10,1.1419084,0.38638097,0,0.0012520847,0.036310457
29,74,10,1.1413496,0.38861513,0,0.002302996,0.066786885
29,75,10,1.1418021,0.38690603,0,0.0017679955,0.05127187
29,76,10,1.141889,0.38530788,0,0.0016005106,0.046414807
29,77,10,1.1426612,0.3850332,0,0.0008196369,0.02376947
29,78,10,1.1422572,0.38538957,0,0.0005387209,0.015622906
29,79,10,1.1412697,0.38751608,0,0.002344628,0.067994215
29,80,10,1.1422106,0.38677973,0,0.0011948005,0.034649216
29,81,10,1.1427068,0.38680515,0,0.0004967999,0.014407197
29,82,10,1.1426319,0.38674,0,9.924102e-05,0.0028779896
29,83,10,1.144224,0.3861967,0,0.0016823026,0.048786774
29,84,10,1.1421964,0.38758183,0,0.0024555756,0.071211696
29,85,10,1.1424042,0.38672197,0,0.00088460534,0.025653554
29,86,10,1.1418401,0.3881815,0,0.0015647559,0.04537792
29,87,10,1.1411695,0.38633087,0,0.0019683721,0.05708279
29,88,10,1.1417731,0.3858344,0,0.0007815177,0.022664014
29,89,10,1.1428237,0.3857018,0,0.0010589252,0.03070883
29,90,10,1.1428561,0.38450834,0,0.0011939042,0.03462322
29,91,10,1.1427953,0.3862398,0,0.0017325224,0.05024315
29,92,10,1.1422796,0.3873592,0,0.0012324826,0.035741996
29,93,10,1.1426427,0.38715392,0,0.0004171201,0.012096483
29,94,10,1.1423401,0.38533992,0,0.0018390854,0.053333476
29,95,10,1.1424896,0.38855022,0,0.003213785,0.09319976
29,96,10,1.1433073,0.38526616,0,0.003384354,0.09814627
29,97,10,1.1428931,0.38657883,0,0.0013764867,0.039918117
29,98,10,1.1423428,0.38557684,0,0.0011431399,0.033151057
29,99,10,1.1434355,0.38658372,0,0.0014858408,0.043089382
29,100,10,1.1431075,0.38659433,0,0.00032811632,0.009515373
29,101,10,1.1413466,0.38584718,0,0.0019129044,0.05547423
29,102,10,1.1415062,0.38612023,0,0.0003162825,0.009172193
29,103,10,1.1415118,0.38955465,0,0.0034344243,0.0995983
29,104,10,1.1435257,0.38604817,0,0.004043673,0.11726652
29,105,10,1.142847,0.38785896,0,0.0019338294,0.056081053
29,106,10,1.1431099,0.38647074,0,0.0014129105,0.040974405
29,107,10,1.1423532,0.38790792,0,0.0016242424,0.04710303
29,108,10,1.1420747,0.38707164,0,0.0008814286,0.02556143
29,109,10,1.1426215,0.3876143,0,0.0007703868,0.022341216
29,110,10,1.1420791,0.38935098,0,0.0018194024,0.052762672
29,111,10,1.1419733,0.38690808,0,0.0024451888,0.070910476
29,112,10,1.1429129,0.38488644,0,0.0022293257,0.064650446
29,113,10,1.1414216,0.386647,0,0.0023072732,0.06691092
29,114,10,1.1417087,0.38606104,0,0.000652533,0.018923458
29,115,10,1.1400602,0.38490096,0,0.0020158123,0.05845856
29,116,10,1.1378062,0.3849229,0,0.0022541159,0.06536936
29,117,10,1.135265,0.38462606,0,0.0025584619,0.07419539
29,118,10,1.1285408,0.38690227,0,0.007099051,0.20587248
29,119,10,1.1204821,0.38752434,0,0.008082641,0.23439659
29,120,10,1.1091748,0.38840324,0,0.0113413455,0.32889903
29,121,10,1.094453,0.38990876,0,0.014798651,0.4291609
29,122,10,1.0760181,0.39247438,0,0.018612558,0.53976417
29,123,10,1.0579507,0.3942364,0,0.018153075,0.5264392
29,124,10,1.0381851,0.39888543,0,0.020305004,0.58884513
29,125,10,1.0187167,0.40509936,0,0.020436062,0.59264576
29,126,10,1.0003303,0.40920585,0,0.018839365,0.5463416
29,127,10,0.9837332,0.4132049,0,0.017072137,0.49509197
29,128,10,0.9659463,0.42144305,0,0.019602023,0.5684587
29,129,10,0.9503767,0.42609474,0,0.016249664,0.47124025
29,130,10,0.9332773,0.43704972,0,0.020307641,0.5889216
29,131,10,0.91912365,0.44190598,0,0.0149636,0.4339444
29,132,10,0.904655,0.45037848,0,0.016766803,0.4862373
29,133,10,0.88858163,0.4598872,0,0.018675342,0.5415849
29,134,10,0.87297064,0.47091138,0,0.019111138,0.554223
29,135,10,0.857784,0.48208097,0,0.018851908,0.5467053
29,136,10,0.8434697,0.48981252,0,0.016268866,0.4717971
29,137,10,0.8301974,0.5027251,0,0.018517258,0.5370005
29,138,10,0.8164521,0.5137096,0,0.017595235,0.51026183
29,139,10,0.804797,0.5252615,0,0.016409995,0.47588986
29,140,10,0.7946604,0.5366484,0,0.015245051,0.4421065
29,141,10,0.7810407,0.54924464,0,0.018551568,0.53799546
29,142,10,0.7640973,0.55972594,0,0.019923309,0.57777596
29,143,10,0.7542044,0.576339,0,0.01933554,0.56073064
29,144,10,0.74228704,0.58879656,0,0.017239891,0.49995685
29,145,10,0.7303071,0.60320663,0,0.01873951,0.5434458
29,146,10,0.7213641,0.6166531,0,0.016148828,0.46831602
29,147,10,0.71178836,0.63055295,0,0.016879002,0.48949105
29,148,10,0.70474774,0.64667356,0,0.017591035,0.51014
29,149,10,0.69861007,0.6595775,0,0.014289239,0.41438794
29,150,10,0.68979996,0.6760444,0,0.018675579,0.54159176
29,151,10,0.68345165,0.6934273,0,0.018505862,0.53667
29,152,10,0.6758036,0.71136415,0,0.019499293,0.5654795
29,153,10,0.66936386,0.7281308,0,0.017960832,0.5208641
29,154,10,0.6640804,0.74353725,0,0.01628721,0.47232908
29,155,10,0.6596865,0.7590416,0,0.01611494,0.4673333
29,156,10,0.6566207,0.77399343,0,0.015262908,0.44262433
29,157,10,0.65275806,0.7913564,0,0.01778741,0.51583487
29,158,10,0.6505654,0.80713135,0,0.015926626,0.46187213
29,159,10,0.64780086,0.82522845,0,0.01830704,0.5309042
29,160,10,0.6451442,0.8303257,0,0.0057480335,0.16669297
29,161,10,0.64370674,0.8625312,0,0.032237526,0.93488824
29,162,10,0.64450556,0.87830764,0,0.015796665,0.4581033
29,163,10,0.6443407,0.89728093,0,0.018974008,0.55024624
29,164,10,0.6443368,0.91421086,0,0.016929926,0.49096787
29,165,10,0.64756584,0.9277729,0,0.013941129,0.40429273
29,166,10,0.6469967,0.94521046,0,0.017446864,0.5059591
29,167,10,0.65007055,0.96123016,0,0.016311944,0.47304636
29,168,10,0.65295756,0.97927225,0,0.01827161,0.5298767
29,169,10,0.65791595,0.99482226,0,0.016321417,0.47332108
29,170,10,0.6623826,1.0129831,0,0.018702041,0.5423592
29,171,10,0.6651094,1.0282748,0,0.015532907,0.4504543
29,172,10,0.67069656,1.0471258,0,0.01966159,0.57018614
29,173,10,0.6750279,1.0605831,0,0.014137167,0.40997782
29,174,10,0.6794765,1.0772928,0,0.01729172,0.50145984
29,175,10,0.68594146,1.0910193,0,0.01517273,0.44000918
29,176,10,0.6923013,1.1046685,0,0.015058174,0.43668705
29,177,10,0.6897329,1.1112874,0,0.007099702,0.20589136
29,178,10,0.68985504,1.1112409,0,0.00013067972,0.003789712
29,179,10,0.7200453,1.1592367,0,0.056701418,1.6443411
29,180,10,0.73138595,1.1730809,0,0.017896172,0.51898897
29,181,10,0.7411158,1.1817205,0,0.0130120125,0.37734836
29,182,10,0.749355,1.193076,0,0.0140296975,0.40686122
29,183,10,0.7579416,1.206296,0,0.015763775,0.45714948
29,184,10,0.76906914,1.2171973,0,0.01557758,0.45174983
29,185,10,0.7797189,1.2298187,0,0.01651414,0.47891003
29,186,10,0.791036,1.2408645,0,0.015814155,0.4586105
29,187,10,0.7991517,1.2552022,0,0.01647523,0.47778168
29,188,10,0.813531,1.2658813,0,0.017911084,0.51942146
29,189,10,0.82726127,1.2769845,0,0.017657882,0.5120786
29,190,10,0.84064555,1.2883583,0,0.017564286,0.5093643
29,191,10,0.8520128,1.3001755,0,0.016396988,0.47551265
29,192,10,0.8634224,1.3096431,0,0.014826126,0.42995766
29,193,10,0.8771652,1.3175237,0,0.01584197,0.45941713
29,194,10,0.89079905,1.3246056,0,0.015363418,0.44553912
29,195,10,0.90694195,1.3344026,0,0.01888317,0.54761195
29,196,10,0.92553425,1.3443397,0,0.021081291,0.61135745
29,197,10,0.943438,1.3517078,0,0.0193606,0.5614574
29,198,10,0.9588577,1.3585436,0,0.016867016,0.48914346
29,199,10,0.9747134,1.3643702,0,0.01689235,0.48987812
29,200,10,0.98821646,1.3690356,0,0.014286313,0.4143031
29,201,10,1.0039264,1.3732868,0,0.016274987,0.4719746
29,202,10,1.0198873,1.3769958,0,0.016386205,0.47519997
29,203,10,1.0368385,1.3812685,0,0.017481398,0.5069605
29,204,10,1.0555824,1.3847176,0,0.019058567,0.55269843
29,205,10,1.0725698,1.3878901,0,0.017281149,0.5011533
29,206,10,1.089991,1.3897636,0,0.017521575,0.50812566
29,207,10,1.1057082,1.392074,0,0.015886173,0.46069902
29,208,10,1.1225197,1.3920298,0,0.016811548,0.48753488
29,209,10,1.1365501,1.3936522,0,0.014123834,0.40959117
29,210,10,1.1513559,1.3928789,0,0.0148259755,0.42995328
29,211,10,1.1692384,1.3940076,0,0.01791817,0.5196269
29,212,10,1.1878889,1.391375,0,0.0188353,0.5462237
29,213,10,1.2050802,1.3886423,0,0.01740712,0.50480646
29,214,10,1.2229788,1.386052,0,0.018085143,0.52446914
29,215,10,1.2399931,1.3826108,0,0.017358778,0.50340456
29,216,10,1.2570366,1.3794448,0,0.01733503,0.5027158
29,217,10,1.2700964,1.3759888,0,0.013509393,0.3917724
29,218,10,1.2855029,1.3723197,0,0.015837377,0.45928392
29,219,10,1.3010044,1.3672898,0,0.016297134,0.47261688
29,220,10,1.3180147,1.3611253,0,0.01809286,0.52469295
29,221,10,1.3353004,1.3536493,0,0.01883315,0.54616135
29,222,10,1.3526784,1.3484645,0,0.018134931,0.525913
29,223,10,1.3679183,1.3403466,0,0.01726711,0.5007462
29,224,10,1.3832573,1.3307369,0,0.0181006,0.5249174
29,225,10,1.3976704,1.3235053,0,0.016125567,0.46764144
29,226,10,1.4106776,1.3152508,0,0.015405309,0.44675398
29,227,10,1.4245001,1.3067616,0,0.016221233,0.47041574
29,228,10,1.4357741,1.29702,0,0.014899753,0.43209285
29,229,10,1.4507697,1.2868195,0,0.018136082,0.5259464
29,230,10,1.4678504,1.2805058,0,0.01821032,0.5280993
29,231,10,1.4823414,1.2677878,0,0.019280419,0.55913216
29,232,10,1.4950836,1.255331,0,0.017819481,0.51676494
29,233,10,1.507878,1.2443529,0,0.01685867,0.48890147
29,234,10,1.5180753,1.2336255,0,0.014800818,0.42922372
29,235,10,1.5283203,1.2218484,0,0.015609641,0.45267957
29,236,10,1.5382181,1.2094897,0,0.015833622,0.45917502
29,237,10,1.548617,1.1952804,0,0.017607946,0.5106304
29,238,10,1.5581493,1.1799997,0,0.01801016,0.52229464
29,239,10,1.5693668,1.1640794,0,0.019475294,0.5647835
29,240,10,1.5782639,1.14981,0,0.016815932,0.48766205
29,241,10,1.58636,1.1352192,0,0.016686417,0.4839061
29,242,10,1.5947553,1.1209655,0,0.016542379,0.479729
29,243,10,1.6017874,1.1059349,0,0.016594302,0.48123476
29,244,10,1.6088959,1.0920254,0,0.015620599,0.45299736
29,245,10,1.61527,1.0772314,0,0.016108744,0.46715358
29,246,10,1.6212461,1.0609722,0,0.01732267,0.5023574
29,247,10,1.6256357,1.0441786,0,0.01735783,0.5033771
