fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.6953915,0.19125100000000006,0.0,0.0,0.0
29,1,10,0.696041,0.1919499,0.0,0.0009541281,0.027669715
29,2,10,0.6956936,0.1910286000000001,0.0,0.0009846776,0.02855565
29,3,10,0.69776225,0.18916489999999997,0.0,0.002784369,0.0807467
29,4,10,0.6962028,0.19211920000000005,0.0,0.0033406748,0.09687957
29,5,10,0.696604,0.19297690000000012,0.0,0.00094690465,0.027460234
29,6,10,0.69555295,0.19295820000000008,0.0,0.0010512349,0.030485813
29,7,10,0.6959729,0.1921923000000001,0.0,0.0008735052,0.02533165
29,8,10,0.6955831,0.19178460000000008,0.0,0.0005640666,0.01635793
29,9,10,0.69674546,0.19368540000000012,0.0,0.002228019,0.06461255
29,10,10,0.6957528,0.1914819000000001,0.0,0.0024167378,0.0700854
29,11,10,0.69457626,0.1915582,0.0,0.0011790072,0.03419121
29,12,10,0.69651455,0.19167650000000003,0.0,0.0019418875,0.05631474
29,13,10,0.69822043,0.19319790000000014,0.0,0.002285806,0.066288374
29,14,10,0.69525456,0.19216579999999994,0.0,0.003140323,0.09106937
29,15,10,0.69556457,0.19183290000000008,0.0,0.00045492753,0.013192899
29,16,10,0.6974737,0.19302260000000016,0.0,0.0022494912,0.06523524
29,17,10,0.69520503,0.19196570000000013,0.0,0.0025027846,0.072580755
29,18,10,0.69561005,0.19081780000000004,0.0,0.0012172235,0.03529948
29,19,10,0.69813293,0.19358050000000016,0.0,0.0037413002,0.10849771
29,20,10,0.6978606,0.1923551000000001,0.0,0.0012552505,0.036402266
29,21,10,0.6950108,0.1914397000000001,0.0,0.0029932307,0.08680369
29,22,10,0.6967259,0.191789,0.0,0.001750328,0.050759513
29,23,10,0.6972292,0.19346870000000016,0.0,0.0017534442,0.05084988
29,24,10,0.69606465,0.19126310000000002,0.0,0.0024941745,0.07233106
29,25,10,0.697528,0.1921191,0.0,0.0016953499,0.04916515
29,26,10,0.6969522,0.19202249999999998,0.0,0.0005838213,0.016930819
29,27,10,0.6954298,0.19124610000000009,0.0,0.0017089708,0.049560152
29,28,10,0.6954203,0.1916458000000001,0.0,0.0003998211,0.011594811
29,29,10,0.69719696,0.1918864,0.0,0.0017928485,0.051992606
29,30,10,0.69510573,0.19461220000000012,0.0,0.0034356136,0.09963279
29,31,10,0.6961356,0.1919900000000001,0.0,0.0028172268,0.08169958
29,32,10,0.697536,0.19223140000000005,0.0,0.0014210646,0.041210875
29,33,10,0.69686157,0.19350960000000006,0.0,0.0014451814,0.04191026
29,34,10,0.6973897,0.19216610000000012,0.0,0.0014435758,0.0418637
29,35,10,0.6959996,0.19196420000000014,0.0,0.0014046739,0.040735543
29,36,10,0.6958599,0.19187379999999998,0.0,0.00016645242,0.0048271203
29,37,10,0.6966574,0.19205260000000002,0.0,0.00081731076,0.023702012
29,38,10,0.6958633,0.19182359999999998,0.0,0.0008264723,0.023967696
29,39,10,0.69810635,0.19289040000000002,0.0,0.0024838091,0.07203046
29,40,10,0.69637895,0.19226849999999995,0.0,0.0018359456,0.053242423
29,41,10,0.69507086,0.19223469999999998,0.0,0.0013085185,0.037947036
29,42,10,0.69503546,0.19258470000000005,0.0,0.00035178466,0.010201755
29,43,10,0.6958912,0.19314010000000015,0.0,0.0010201776,0.029585151
29,44,10,0.6976163,0.19299409999999995,0.0,0.0017312475,0.050206177
29,45,10,0.69504344,0.19283610000000007,0.0,0.0025776785,0.07475268
29,46,10,0.6951878,0.19202560000000002,0.0,0.00082326005,0.023874542
29,47,10,0.6965234,0.1933026,0.0,0.0018478461,0.053587537
29,48,10,0.6950608,0.1923041000000001,0.0,0.0017709623,0.051357906
29,49,10,0.6955327,0.1922393,0.0,0.00047632513,0.013813429
29,50,10,0.6955849,0.1922739,0.0,6.268697e-05,0.0018179222
29,51,10,0.697189,0.19158600000000003,0.0,0.0017453819,0.050616074
29,52,10,0.69763666,0.19202950000000008,0.0,0.0006301446,0.018274194
29,53,10,0.6960652,0.1925057000000001,0.0,0.0016420548,0.04761959
29,54,10,0.6971407,0.19298649999999995,0.0,0.0011780723,0.034164097
29,55,10,0.69658595,0.192971,0.0,0.00055495685,0.016093748
29,56,10,0.69517,0.19205450000000002,0.0,0.0016866839,0.048913833
29,57,10,0.6961234,0.1918063000000001,0.0,0.0009852108,0.028571112
29,58,10,0.6959472,0.1920558000000001,0.0,0.00030547858,0.008858879
29,59,10,0.6954362,0.19306200000000007,0.0,0.0011285573,0.03272816
29,60,10,0.6959514,0.1923412,0.0,0.0008860538,0.02569556
29,61,10,0.6958436,0.19218780000000013,0.0,0.00018752228,0.005438146
29,62,10,0.69713026,0.1924557,0.0,0.001314296,0.038114585
29,63,10,0.69684565,0.19194770000000005,0.0,0.0005823566,0.016888341
29,64,10,0.6966434,0.1915036000000001,0.0,0.00048793945,0.014150244
29,65,10,0.6962026,0.19169480000000005,0.0,0.00048051873,0.0139350435
29,66,10,0.6983112,0.19316460000000002,0.0,0.0025703008,0.07453872
29,67,10,0.69522136,0.1908322,0.0,0.0038712923,0.11226748
29,68,10,0.6985793,0.19241010000000003,0.0,0.0037101794,0.107595205
29,69,10,0.69896644,0.19232910000000003,0.0,0.0003955036,0.011469604
29,70,10,0.6974552,0.19207560000000012,0.0,0.0015323401,0.044437863
29,71,10,0.69748735,0.19014799999999998,0.0,0.0019278819,0.055908576
29,72,10,0.69982,0.19064729999999996,0.0,0.0023854813,0.069178954
29,73,10,0.7006011,0.18985399999999997,0.0,0.0011133425,0.03228693
29,74,10,0.6989608,0.18878490000000014,0.0,0.0019579472,0.05678047
29,75,10,0.7025899,0.1887721,0.0,0.0036291708,0.105245955
29,76,10,0.7013532,0.18538999999999994,0.0,0.003601115,0.10443234
29,77,10,0.70472986,0.18492160000000002,0.0,0.0034089917,0.09886076
29,78,10,0.70343703,0.18285560000000012,0.0,0.0024371743,0.070678055
29,79,10,0.707664,0.18257500000000015,0.0,0.0042362874,0.12285233
29,80,10,0.70753914,0.17876409999999998,0.0,0.003812928,0.11057491
29,81,10,0.7085796,0.1766987,0.0,0.0023126856,0.067067884
29,82,10,0.7131538,0.1743220000000001,0.0,0.005154775,0.14948848
29,83,10,0.7165909,0.17211569999999998,0.0,0.004084304,0.118444815
29,84,10,0.7190295,0.16947020000000013,0.0,0.003597975,0.104341276
29,85,10,0.7209083,0.16569049999999996,0.0,0.0042208573,0.12240486
29,86,10,0.7241615,0.1630393000000001,0.0,0.004196712,0.121704645
29,87,10,0.7294707,0.15908769999999994,0.0,0.0066183056,0.19193086
29,88,10,0.732697,0.15543020000000007,0.0,0.004877208,0.14143902
29,89,10,0.73871773,0.15158620000000012,0.0,0.007143223,0.20715347
29,90,10,0.74377996,0.14745640000000004,0.0,0.0065330756,0.18945919
29,91,10,0.74965394,0.1438828000000001,0.0,0.0068755937,0.19939221
29,92,10,0.75281346,0.1385183000000001,0.0,0.0062258206,0.1805488
29,93,10,0.757798,0.13135340000000006,0.0,0.008728253,0.25311932
29,94,10,0.7614305,0.12271509999999997,0.0,0.009370941,0.27175727
29,95,10,0.7697674,0.11810549999999997,0.0,0.009526394,0.27626544
29,96,10,0.7775964,0.11312420000000012,0.0,0.009279362,0.2691015
29,97,10,0.7851728,0.10813450000000002,0.0,0.009071905,0.26308525
29,98,10,0.79093957,0.10196120000000009,0.0,0.008447749,0.24498472
29,99,10,0.80209774,0.09633540000000007,0.0,0.012496193,0.3623896
29,100,10,0.81064385,0.09210070000000004,0.0,0.009537741,0.2765945
29,101,10,0.82105803,0.08661040000000009,0.0,0.011772793,0.341411
29,102,10,0.8290116,0.08014770000000015,0.0,0.010248215,0.29719824
29,103,10,0.83917737,0.0744456,0.0,0.011655766,0.3380172
29,104,10,0.85049886,0.06950999999999996,0.0,0.012350562,0.3581663
29,105,10,0.86355746,0.0659784000000001,0.0,0.013527717,0.3923038
29,106,10,0.87446237,0.059693100000000054,0.0,0.012586585,0.36501098
29,107,10,0.88735473,0.055434800000000006,0.0,0.013577407,0.3937448
29,108,10,0.9021298,0.0507607000000001,0.0,0.0154967895,0.4494069
29,109,10,0.9146239,0.04692980000000002,0.0,0.013068209,0.37897807
29,110,10,0.9292186,0.0430117000000001,0.0,0.0151114715,0.4382327
29,111,10,0.94338506,0.04012340000000014,0.0,0.0144578945,0.41927895
29,112,10,0.95793456,0.03573150000000003,0.0,0.015197916,0.44073957
29,113,10,0.971437,0.03304960000000001,0.0,0.0137662,0.3992198
29,114,10,0.9881951,0.0300952000000001,0.0,0.01701657,0.4934805
29,115,10,1.0026023,0.02973939999999997,0.0,0.0144116115,0.41793674
29,116,10,1.0185279,0.028437599999999952,0.0,0.015978642,0.4633806
29,117,10,1.0341341,0.027015200000000128,0.0,0.015670972,0.45445818
29,118,10,1.0532053,0.025913100000000133,0.0,0.01910292,0.5539847
29,119,10,1.0704913,0.026785300000000012,0.0,0.017308056,0.50193363
29,120,10,1.088366,0.02751910000000013,0.0,0.017889772,0.51880336
29,121,10,1.105899,0.02886030000000006,0.0,0.01758417,0.5099409
29,122,10,1.1234803,0.0326318000000001,0.0,0.017981328,0.5214585
29,123,10,1.1382884,0.03286959999999994,0.0,0.014809967,0.42948905
29,124,10,1.1592597,0.03578539999999997,0.0,0.02117304,0.61401814
29,125,10,1.174615,0.040532900000000094,0.0,0.01607251,0.46610278
29,126,10,1.1922181,0.04578300000000013,0.0,0.018369282,0.5327092
29,127,10,1.2092412,0.05160699999999996,0.0,0.01799178,0.5217616
29,128,10,1.2278348,0.05872450000000007,0.0,0.019909382,0.5773721
29,129,10,1.2432451,0.06377860000000002,0.0,0.01621794,0.47032025
29,130,10,1.2625978,0.07289849999999998,0.0,0.021393878,0.6204225
29,131,10,1.2774568,0.07977750000000006,0.0,0.016374035,0.47484702
29,132,10,1.2947173,0.09094270000000004,0.0,0.020556986,0.5961526
29,133,10,1.3108197,0.10113799999999995,0.0,0.019058635,0.55270046
