fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,1,10,1.0894746,0.0026912000000001157,0.0,0.0,0.0
29,2,10,1.0906203,0.002406200000000025,0.0,0.001180614,0.034237806
29,3,10,1.0889931,0.0017761000000000582,0.0,0.0017449581,0.050603785
29,4,10,1.0921462,0.0030928000000001177,0.0,0.0034169517,0.099091604
29,5,10,1.0913427,0.0024420000000000552,0.0,0.0010339527,0.029984629
29,6,10,1.0907527,0.0018089999999999495,0.0,0.0008653043,0.025093826
29,7,10,1.091296,0.0020246999999999904,0.0,0.0005844749,0.016949771
29,8,10,1.0910488,0.0011677000000001048,0.0,0.0008919137,0.025865497
29,9,10,1.0913973,0.0034965000000000135,0.0,0.002354796,0.068289086
29,10,10,1.0905486,0.0026980999999999256,0.0,0.0011652265,0.033791568
29,11,10,1.093016,0.004789500000000002,0.0,0.0032345045,0.093800634
29,12,10,1.0902301,0.0032863499999999934,0.0,0.0040248916,0.11672186
29,13,10,1.0913249,0.0017831999999999848,0.0,0.0010994972,0.03188542
29,14,10,1.0901448,0.0006313000000000013,0.0,0.0016491585,0.047825597
29,15,10,1.0902134,0.0012020999999999837,0.0,0.0005748894,0.016671794
29,16,10,1.0902761,0.0026068000000001312,0.0,0.0014060419,0.040775217
29,17,10,1.0906256,0.0018389000000000877,0.0,0.0008436372,0.024465479
29,18,10,1.0908213,0.0028137999999999774,0.0,0.0009943268,0.028835477
29,19,10,1.0908414,0.0022876000000000563,0.0,0.0005265753,0.015270684
29,20,10,1.0913155,0.0021719000000000044,0.0,0.0004880215,0.014152624
29,21,10,1.0906272,0.0027601999999999904,0.0,0.0009054673,0.026258552
29,22,10,1.0911163,0.00159470000000006,0.0,0.0012639802,0.036655426
29,23,10,1.091296,0.0016089999999999716,0.0,0.00018021704,0.0052262945
29,24,10,1.0904053,0.0024047000000000374,0.0,0.0011943049,0.034634843
29,25,10,1.090697,0.0019287999999999528,0.0,0.0005581729,0.016187014
29,26,10,1.09085,0.001368599999999942,0.0,0.00058066903,0.016839402
29,27,10,1.0909814,0.0014540000000000664,0.0,0.00015666205,0.004543199
29,28,10,1.0900464,0.0012905999999999196,0.0,0.0009491357,0.027524935
29,29,10,1.0900604,0.00133659999999991,0.0,4.8082147e-05,0.0013943823
29,30,10,1.088494,0.000180800000000092,0.0,0.0019466283,0.056452222
29,31,10,1.0884498,0.0022146000000000665,0.0,0.0020341887,0.058991473
29,32,10,1.0897981,0.002265699999999926,0.0,0.0013492266,0.03912757
29,33,10,1.0897592,0.001422199999999929,0.0,0.0008444197,0.024488172
29,34,10,1.0895677,0.0030506999999999618,0.0,0.001639747,0.04755266
29,35,10,1.0910518,0.00305500000000003,0.0,0.0014841618,0.043040693
29,36,10,1.0899546,0.001687500000000064,0.0,0.0017532175,0.05084331
29,37,10,1.0898637,0.0021793999999999425,0.0,0.0005001969,0.0145057095
29,38,10,1.0892628,0.0016353000000000062,0.0,0.00081055035,0.02350596
29,39,10,1.0909334,0.001317900000000094,0.0,0.0017004935,0.049314313
29,40,10,1.0896015,0.0007011000000001211,0.0,0.0014678058,0.04256637
29,41,10,1.0904028,0.0016410000000000036,0.0,0.0012351746,0.035820063
29,42,10,1.0913084,0.00221019999999994,0.0,0.0010695026,0.031015575
29,43,10,1.0919532,0.0015912000000000148,0.0,0.0008937847,0.025919756
29,44,10,1.0911413,0.00206940000000011,0.0,0.00094216235,0.027322708
29,45,10,1.0908186,0.0020265999999999895,0.0,0.00032552498,0.009440225
29,46,10,1.0910788,0.0017302999999999624,0.0,0.00039422692,0.011432581
29,47,10,1.0908803,0.002281900000000059,0.0,0.00058620615,0.016999979
29,48,10,1.0910734,0.0011484999999999967,0.0,0.0011497763,0.033343513
29,49,10,1.0911374,0.0029178000000000814,0.0,0.0017704619,0.051343396
29,50,10,1.0891007,0.0014799999999999258,0.0,0.0024930562,0.07229863
29,51,10,1.0903018,0.0023040000000000838,0.0,0.0014565082,0.04223874
