fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,1,10,0.8386764,0.5342803,0,0,0.0
29,2,10,0.8389643,0.5335151,0,0.0008175688,0.023709495
29,3,10,0.8387743,0.529721,0,0.0037988266,0.11016597
29,4,10,0.83950436,0.5346616,0,0.004994215,0.14483224
29,5,10,0.84000707,0.53558385,0,0.001050372,0.030460788
29,6,10,0.83810663,0.533867,0,0.0025610998,0.074271895
29,7,10,0.838501,0.5300767,0,0.0038107773,0.11051254
29,8,10,0.839078,0.5319136,0,0.0019253968,0.05583651
29,9,10,0.84081906,0.53395915,0,0.0026861916,0.07789955
29,10,10,0.83972263,0.532227,0,0.0020500165,0.05945048
29,11,10,0.8391539,0.53393775,0,0.0018028356,0.052282233
29,12,10,0.83981806,0.53420204,0,0.00071482547,0.020729939
29,13,10,0.8406897,0.5329379,0,0.0015355377,0.044530593
29,14,10,0.8387972,0.5324372,0,0.0019576165,0.05677088
29,15,10,0.839624,0.5344353,0,0.0021623669,0.06270864
29,16,10,0.8382491,0.53149796,0,0.0032431746,0.09405206
29,17,10,0.8398862,0.53359205,0,0.0026580656,0.0770839
29,18,10,0.8398768,0.53339785,0,0.00019442015,0.0056381845
29,19,10,0.8385389,0.53112143,0,0.00264046,0.076573335
29,20,10,0.8399923,0.5331373,0,0.0024851917,0.07207056
29,21,10,0.8384065,0.53411096,0,0.0018608283,0.05396402
29,22,10,0.83908296,0.5341083,0,0.0006764584,0.019617295
29,23,10,0.83862656,0.5347309,0,0.0007719862,0.0223876
29,24,10,0.83761436,0.5339561,0,0.0012747068,0.0369665
29,25,10,0.84095263,0.5337815,0,0.0033428394,0.09694234
29,26,10,0.84160805,0.5333311,0,0.0007952704,0.02306284
29,27,10,0.83937943,0.53424895,0,0.002410226,0.06989656
29,28,10,0.8397489,0.5307898,0,0.003478833,0.10088616
29,29,10,0.8380768,0.5336865,0,0.0033447128,0.09699667
29,30,10,0.83855444,0.5307315,0,0.0029933779,0.08680796
29,31,10,0.83907384,0.53105485,0,0.0006118248,0.017742919
29,32,10,0.83841205,0.53343034,0,0.002465946,0.07151243
29,33,10,0.83828837,0.5294646,0,0.0039676633,0.11506224
29,34,10,0.8397577,0.5308957,0,0.0020510857,0.059481487
29,35,10,0.8391795,0.5329018,0,0.0020877658,0.06054521
29,36,10,0.84036684,0.5300004,0,0.0031349743,0.09091426
29,37,10,0.84025604,0.5301746,0,0.00020647491,0.0059877727
29,38,10,0.8395524,0.5338553,0,0.0037473585,0.108673394
29,39,10,0.840143,0.5340651,0,0.00062678097,0.018176649
29,40,10,0.8391812,0.5335326,0,0.0010994094,0.031882875
29,41,10,0.8407488,0.5282131,0,0.005545704,0.16082542
29,42,10,0.8391696,0.53060067,0,0.0028625717,0.08301458
29,43,10,0.83721095,0.53460217,0,0.004455151,0.12919939
29,44,10,0.838517,0.53337055,0,0.0017951741,0.05206005
29,45,10,0.8389738,0.52995855,0,0.003442452,0.09983111
29,46,10,0.8404452,0.53487223,0,0.0051292637,0.14874865
29,47,10,0.8397457,0.53210634,0,0.0028529805,0.08273643
29,48,10,0.8391757,0.5333552,0,0.001372768,0.03981027
29,49,10,0.8397719,0.5299606,0,0.0034465662,0.09995042
29,50,10,0.83950603,0.5332294,0,0.0032796343,0.095109396
29,51,10,0.8395531,0.53244925,0,0.0007815849,0.02266596
29,52,10,0.8400417,0.53409004,0,0.001711994,0.049647823
29,53,10,0.838091,0.5306401,0,0.003963216,0.11493327
29,54,10,0.83896804,0.5299204,0,0.0011345372,0.032901578
29,55,10,0.83890206,0.53474164,0,0.004821692,0.13982907
