fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.7331805,0.5897686,0,0,0.0
29,1,10,0.73432076,0.58956105,0,0.0011589712,0.033610165
29,2,10,0.7337795,0.58605486,0,0.0035477171,0.10288379
29,3,10,0.7318774,0.5883023,0,0.0029443237,0.08538539
29,4,10,0.73495483,0.59021187,0,0.0036217507,0.105030775
29,5,10,0.734837,0.58836347,0,0.001852152,0.05371241
29,6,10,0.7332168,0.5882401,0,0.0016248646,0.047121074
29,7,10,0.7336128,0.58903134,0,0.0008847929,0.025658993
29,8,10,0.73316497,0.58844566,0,0.00073725777,0.021380475
29,9,10,0.73315537,0.58949846,0,0.0010528406,0.030532379
29,10,10,0.7333452,0.5843319,0,0.005170017,0.14993049
29,11,10,0.7336608,0.5891139,0,0.0047923652,0.13897859
29,12,10,0.7340036,0.5898802,0,0.0008395086,0.02434575
29,13,10,0.73311436,0.5902282,0,0.00095490064,0.027692119
29,14,10,0.73287976,0.58450294,0,0.0057300692,0.16617201
29,15,10,0.73314935,0.5865473,0,0.0020620786,0.05980028
29,16,10,0.7335883,0.58907187,0,0.0025624274,0.07431039
29,17,10,0.73425573,0.5891992,0,0.00067948696,0.019705122
29,18,10,0.73271275,0.5860003,0,0.003551552,0.10299501
29,19,10,0.73391736,0.58433217,0,0.0020576266,0.05967117
29,20,10,0.7332117,0.5897507,0,0.0054642954,0.15846457
29,21,10,0.73416436,0.58818585,0,0.0018320347,0.053129006
29,22,10,0.7326222,0.58668894,0,0.0021491796,0.062326208
29,23,10,0.7331569,0.58530515,0,0.0014834991,0.043021474
29,24,10,0.73321986,0.58471304,0,0.0005954486,0.01726801
29,25,10,0.7348208,0.5889988,0,0.004575,0.132675
29,26,10,0.73350346,0.58865184,0,0.0013622475,0.039505176
29,27,10,0.73375016,0.58795667,0,0.00073764665,0.021391753
29,28,10,0.7318237,0.58513093,0,0.0034199595,0.09917882
29,29,10,0.73275924,0.5897578,0,0.0047205077,0.13689472
29,30,10,0.7332482,0.5887822,0,0.0010912708,0.031646855
29,31,10,0.7336332,0.5888212,0,0.00038701418,0.011223411
29,32,10,0.7334916,0.5885973,0,0.00026490836,0.0076823425
29,33,10,0.73438513,0.5897567,0,0.0014637891,0.042449884
29,34,10,0.7339157,0.58943576,0,0.00056868454,0.01649185
29,35,10,0.7338543,0.589751,0,0.00032117128,0.009313967
29,36,10,0.7331542,0.5911315,0,0.0015478862,0.044888698
29,37,10,0.7336533,0.588135,0,0.00303779,0.08809591
29,38,10,0.734359,0.584222,0,0.0039761155,0.115307346
29,39,10,0.7323056,0.5862097,0,0.0028578923,0.08287888
29,40,10,0.73455185,0.58548814,0,0.0023593125,0.06842006
29,41,10,0.73479855,0.5879609,0,0.0024850345,0.072066
29,42,10,0.73504335,0.58892107,0,0.0009908854,0.028735677
29,43,10,0.7333776,0.58635765,0,0.0030571064,0.08865608
29,44,10,0.7326314,0.5852821,0,0.0013090615,0.037962783
29,45,10,0.7332258,0.5888932,0,0.0036596872,0.10613093
29,46,10,0.7333312,0.58871514,0,0.00020688903,0.005999782
29,47,10,0.73350245,0.5848426,0,0.0038762982,0.11241265
29,48,10,0.73447454,0.58472675,0,0.0009789736,0.028390234
29,49,10,0.7325816,0.58539313,0,0.0020067946,0.058197044
29,50,10,0.735165,0.58812535,0,0.0037601711,0.10904496
29,51,10,0.7341904,0.5881093,0,0.00097472745,0.028267097
29,52,10,0.73262733,0.589824,0,0.0023202184,0.067286335
29,53,10,0.72972107,0.5817194,0,0.0086099515,0.2496886
29,54,10,0.7328294,0.5892169,0,0.008116281,0.23537214
29,55,10,0.73307323,0.58720475,0,0.0020268548,0.05877879
29,56,10,0.7335293,0.5856078,0,0.0016607831,0.04816271
29,57,10,0.73411745,0.58654994,0,0.0011106111,0.032207724
29,58,10,0.7327032,0.586026,0,0.001508168,0.04373687
29,59,10,0.7321877,0.5862469,0,0.0005608529,0.016264733
29,60,10,0.7310999,0.58497316,0,0.0016750278,0.048575807
29,61,10,0.7335263,0.58541185,0,0.0024657245,0.07150601
29,62,10,0.73209006,0.58388525,0,0.0020960097,0.06078428
29,63,10,0.73414284,0.5886829,0,0.005218357,0.15133235
29,64,10,0.73468584,0.5883181,0,0.00065414974,0.018970342
29,65,10,0.73247576,0.58772606,0,0.0022880086,0.06635225
29,66,10,0.729535,0.581139,0,0.007213674,0.20919655
29,67,10,0.7305549,0.5855277,0,0.0045056394,0.13066354
29,68,10,0.7319938,0.5893322,0,0.004067522,0.117958136
29,69,10,0.73268175,0.58912396,0,0.000718788,0.020844853
29,70,10,0.73024035,0.59086126,0,0.002996442,0.086896814
29,71,10,0.72922295,0.5914469,0,0.0011738959,0.03404298
29,72,10,0.7240043,0.5911532,0,0.0052268817,0.15157957
29,73,10,0.7226483,0.59657574,0,0.0055895094,0.16209577
29,74,10,0.71751875,0.6013527,0,0.0070094108,0.20327291
29,75,10,0.71197313,0.61077034,0,0.0109291375,0.316945
29,76,10,0.70105064,0.61689997,0,0.012524899,0.36322206
29,77,10,0.6843121,0.62538385,0,0.01876579,0.54420793
29,78,10,0.67426014,0.63859695,0,0.016602047,0.48145935
29,79,10,0.6652268,0.65571856,0,0.019358475,0.56139576
29,80,10,0.6529009,0.67126054,0,0.019836374,0.57525486
29,81,10,0.64356,0.6874348,0,0.01867776,0.54165506
29,82,10,0.63400376,0.7078629,0,0.02255282,0.65403175
29,83,10,0.6255104,0.7259531,0,0.019984797,0.5795591
29,84,10,0.6173757,0.7427241,0,0.018639764,0.54055315
29,85,10,0.6069221,0.75716543,0,0.017827755,0.5170049
29,86,10,0.6018082,0.7767619,0,0.02025273,0.5873292
29,87,10,0.59441376,0.79202235,0,0.01695757,0.49176952
29,88,10,0.5873694,0.80823386,0,0.017675867,0.5126002
29,89,10,0.58317083,0.8253779,0,0.017650649,0.51186883
29,90,10,0.58064944,0.8475982,0,0.02236291,0.6485244
29,91,10,0.5747362,0.8667183,0,0.020013614,0.5803948
29,92,10,0.57224053,0.88487357,0,0.018326001,0.531454
29,93,10,0.5705559,0.90295,0,0.018154746,0.52648765
29,94,10,0.56754667,0.9198515,0,0.017167298,0.49785164
29,95,10,0.56535316,0.939945,0,0.020212874,0.58617336
29,96,10,0.56332827,0.9600616,0,0.020218281,0.5863302
