fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.11913,1.3396615,0,0,0.0
29,1,10,1.1198323,1.3393656,0,0.0007620468,0.022099357
29,2,10,1.1192416,1.3384926,0,0.001054031,0.030566897
29,3,10,1.1187449,1.3382456,0,0.0005547662,0.016088221
29,4,10,1.1197624,1.3392249,0,0.0014122629,0.040955625
29,5,10,1.1196402,1.3395873,0,0.00038244124,0.011090796
29,6,10,1.119582,1.3399551,0,0.00037233336,0.010797667
29,7,10,1.1209565,1.3398716,0,0.0013770139,0.039933402
29,8,10,1.120654,1.3385973,0,0.0013097707,0.03798335
29,9,10,1.1194931,1.3388932,0,0.0011979731,0.034741223
29,10,10,1.119492,1.3405417,0,0.0016485456,0.047807824
29,11,10,1.1196578,1.3386986,0,0.0018505284,0.053665325
29,12,10,1.1195859,1.3397181,0,0.001022009,0.029638259
29,13,10,1.1193563,1.3377761,0,0.0019555634,0.05671134
29,14,10,1.1204766,1.3400509,0,0.0025357788,0.07353759
29,15,10,1.1203357,1.3392203,0,0.00084251666,0.024432983
29,16,10,1.1194552,1.3390489,0,0.000897012,0.026013348
29,17,10,1.120262,1.3403016,0,0.0014900918,0.043212663
29,18,10,1.1189749,1.3407297,0,0.0013564241,0.039336298
29,19,10,1.1192986,1.339394,0,0.0013743918,0.039857365
29,20,10,1.1200747,1.3393273,0,0.000779027,0.022591783
29,21,10,1.1207192,1.3386197,0,0.00095710234,0.027755968
29,22,10,1.1210141,1.3400071,0,0.0014183586,0.0411324
29,23,10,1.1204762,1.3387963,0,0.0013249017,0.03842215
29,24,10,1.1200877,1.3392103,0,0.0005677518,0.016464803
29,25,10,1.1209471,1.3390781,0,0.00086948904,0.025215182
29,26,10,1.1204495,1.3393353,0,0.00056014716,0.016244268
29,27,10,1.1207564,1.3391514,0,0.0003577535,0.0103748515
29,28,10,1.1207571,1.3395673,0,0.00041592182,0.012061733
29,29,10,1.1200855,1.3387929,0,0.001025061,0.02972677
29,30,10,1.1205562,1.3395158,0,0.0008626561,0.025017027
29,31,10,1.1210892,1.33891,0,0.00080690306,0.02340019
29,32,10,1.1204658,1.33874,0,0.00064622407,0.018740498
29,33,10,1.1209357,1.3398309,0,0.0011877946,0.034446042
29,34,10,1.1201249,1.3402104,0,0.00089519314,0.025960602
29,35,10,1.1190262,1.3401312,0,0.001101608,0.031946633
29,36,10,1.120277,1.3398423,0,0.0012837793,0.037229598
29,37,10,1.1210192,1.3398353,0,0.00074223033,0.021524679
29,38,10,1.11904,1.3396734,0,0.0019858414,0.0575894
29,39,10,1.1213015,1.3384136,0,0.00258874,0.075073466
29,40,10,1.1199015,1.3399055,0,0.0020459134,0.059331488
29,41,10,1.1206025,1.3388964,0,0.0012286692,0.035631407
29,42,10,1.1201714,1.3389758,0,0.0004383112,0.012711025
29,43,10,1.1202108,1.3391681,0,0.00019626747,0.0056917565
29,44,10,1.1188481,1.3399091,0,0.0015511251,0.044982627
29,45,10,1.1198703,1.3399011,0,0.0010222509,0.029645275
29,46,10,1.1205181,1.3391428,0,0.00099731,0.028921992
29,47,10,1.120885,1.337693,0,0.0014955342,0.043370493
29,48,10,1.1205596,1.339,0,0.0013469183,0.03906063
29,49,10,1.119442,1.3392646,0,0.0011484936,0.033306316
29,50,10,1.1210225,1.3392154,0,0.0015812435,0.045856062
29,51,10,1.1202474,1.3389705,0,0.00081285456,0.023572782
29,52,10,1.1196239,1.338936,0,0.00062442233,0.018108247
29,53,10,1.1197771,1.3394451,0,0.00053168763,0.015418941
29,54,10,1.1195799,1.3389559,0,0.00052747293,0.015296715
29,55,10,1.1207116,1.3395355,0,0.0012714446,0.036871895
29,56,10,1.1191297,1.3395448,0,0.0015819345,0.0458761
29,57,10,1.1180437,1.3403192,0,0.0013338135,0.038680594
29,58,10,1.1195912,1.3396584,0,0.0016827402,0.048799466
29,59,10,1.1194298,1.3392452,0,0.00044358787,0.012864049
29,60,10,1.1199311,1.3385998,0,0.0008172005,0.023698814
29,61,10,1.119449,1.3400908,0,0.0015669515,0.045441594
29,62,10,1.1186697,1.3395381,0,0.0009553482,0.027705098
29,63,10,1.1193594,1.3396828,0,0.0007046471,0.020434765
29,64,10,1.1199285,1.3395765,0,0.000578954,0.016789665
29,65,10,1.1198919,1.3400244,0,0.00044936207,0.0130315
29,66,10,1.1194859,1.3401079,0,0.00041453712,0.012021577
29,67,10,1.1197393,1.3399752,0,0.00028606865,0.0082959905
29,68,10,1.1199955,1.3399143,0,0.00026332363,0.007636385
29,69,10,1.1200649,1.3392298,0,0.00068800687,0.019952198
29,70,10,1.1199815,1.3395666,0,0.00034692208,0.010060741
29,71,10,1.1201907,1.3386151,0,0.00097425684,0.02825345
29,72,10,1.1198298,1.3388971,0,0.0004580917,0.013284659
29,73,10,1.1195475,1.3390634,0,0.0003276293,0.0095012495
29,74,10,1.1191603,1.338743,0,0.0005025891,0.014575084
29,75,10,1.1204531,1.338535,0,0.0013094534,0.03797415
29,76,10,1.1199296,1.3392265,0,0.0008673757,0.025153896
29,77,10,1.1200752,1.3392203,0,0.00014580558,0.004228362
29,78,10,1.1196891,1.3397563,0,0.0006605651,0.019156387
29,79,10,1.1201712,1.3396975,0,0.00048565146,0.014083892
29,80,10,1.1199722,1.3386124,0,0.0011031334,0.03199087
29,81,10,1.1200966,1.3392719,0,0.0006710845,0.019461451
29,82,10,1.12049,1.3397485,0,0.00061798265,0.017921496
29,83,10,1.1201794,1.3394902,0,0.00040394036,0.01171427
29,84,10,1.1198101,1.3397406,0,0.00044622834,0.012940622
29,85,10,1.1187137,1.3397082,0,0.0010968472,0.03180857
29,86,10,1.1201003,1.3393455,0,0.0014331912,0.041562546
29,87,10,1.119602,1.3396113,0,0.00056477153,0.016378375
29,88,10,1.1203468,1.3400509,0,0.0008648948,0.02508195
29,89,10,1.1211054,1.3400769,0,0.0007590929,0.022013694
29,90,10,1.1204946,1.3386787,0,0.0015258082,0.04424844
29,91,10,1.1215909,1.3391347,0,0.0011872973,0.03443162
29,92,10,1.1196605,1.3404442,0,0.0023326168,0.067645885
29,93,10,1.1207378,1.3403921,0,0.0010785531,0.03127804
29,94,10,1.1204399,1.3391032,0,0.0013228705,0.038363244
29,95,10,1.1192732,1.33928,0,0.0011800193,0.03422056
29,96,10,1.1197422,1.3402318,0,0.0010610337,0.030769978
29,97,10,1.1202762,1.3405331,0,0.00061321777,0.017783316
29,98,10,1.1200382,1.3394977,0,0.0010624658,0.03081151
29,99,10,1.1204123,1.3392308,0,0.00045963557,0.013329431
29,100,10,1.1206056,1.3394516,0,0.00029339886,0.008508567
29,101,10,1.1204485,1.3384184,0,0.0010450652,0.030306892
29,102,10,1.120977,1.3397007,0,0.001387001,0.04022303
29,103,10,1.1204035,1.339649,0,0.0005758447,0.016699497
29,104,10,1.1197977,1.3402594,0,0.00086005486,0.024941592
29,105,10,1.1191729,1.3390672,0,0.0013459994,0.039033983
29,106,10,1.120776,1.338986,0,0.0016051807,0.04655024
29,107,10,1.1199638,1.3384904,0,0.00095158257,0.027595894
29,108,10,1.1191674,1.3405913,0,0.0022467955,0.06515707
29,109,10,1.119881,1.3385234,0,0.0021875817,0.06343987
29,110,10,1.1196169,1.340421,0,0.001915873,0.055560317
29,111,10,1.1199018,1.3382919,0,0.0021480564,0.062293638
29,112,10,1.1208985,1.340421,0,0.0023508298,0.068174064
29,113,10,1.1198958,1.3403071,0,0.0010091116,0.029264238
29,114,10,1.1196145,1.3385772,0,0.0017526918,0.050828062
29,115,10,1.1205132,1.3387398,0,0.0009133098,0.026485985
29,116,10,1.1209315,1.3391832,0,0.0006096186,0.01767894
29,117,10,1.1211085,1.3397347,0,0.00057917926,0.0167962
29,118,10,1.1211127,1.3388585,0,0.00087619823,0.025409749
29,119,10,1.1203951,1.3387978,0,0.00072020054,0.020885816
29,120,10,1.1207383,1.339425,0,0.00071492547,0.020732839
29,121,10,1.1198112,1.3395339,0,0.0009334713,0.027070668
29,122,10,1.1205193,1.3387425,0,0.0010619663,0.030797023
29,123,10,1.1199546,1.339657,0,0.0010747589,0.03116801
29,124,10,1.1205865,1.3394523,0,0.0006642502,0.019263256
29,125,10,1.120456,1.3399515,0,0.0005160312,0.014964906
29,126,10,1.1196238,1.3391179,0,0.0011779205,0.034159694
29,127,10,1.1217175,1.3398298,0,0.0022114008,0.06413062
29,128,10,1.1204338,1.3397928,0,0.0012841774,0.037241146
