fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.5163162,1.2701875,0,0,0.0
29,1,10,1.5151398,1.2767049,0,0.006622723,0.19205897
29,2,10,1.5148609,1.2764868,0,0.00035412383,0.010269591
29,3,10,1.515756,1.2711647,0,0.0053968523,0.15650871
29,4,10,1.5170368,1.2710617,0,0.0012849193,0.03726266
29,5,10,1.5162892,1.2767261,0,0.005713584,0.16569394
29,6,10,1.5170028,1.2749785,0,0.0018876812,0.054742754
29,7,10,1.5157106,1.2768675,0,0.0022886982,0.066372246
29,8,10,1.5149057,1.2768525,0,0.0008050413,0.023346197
29,9,10,1.5147278,1.2774051,0,0.00058056955,0.016836517
29,10,10,1.5147026,1.2774482,0,4.9906568e-05,0.0014472905
29,11,10,1.5163157,1.2774047,0,0.0016137268,0.04679808
29,12,10,1.5172086,1.2701864,0,0.0072732554,0.2109244
29,13,10,1.5162896,1.2772076,0,0.007081075,0.20535117
29,14,10,1.5148098,1.2769945,0,0.0014950172,0.0433555
29,15,10,1.5153792,1.27669,0,0.0006456379,0.018723499
29,16,10,1.5164987,1.2768394,0,0.0011294154,0.032753047
29,17,10,1.5152233,1.2773869,0,0.0013879783,0.04025137
29,18,10,1.5165858,1.2764376,0,0.0016606255,0.04815814
29,19,10,1.5131856,1.2755581,0,0.0035121178,0.10185142
29,20,10,1.5160755,1.2765343,0,0.0030503005,0.08845872
29,21,10,1.5155987,1.2771282,0,0.0007616375,0.022087488
29,22,10,1.5157108,1.276931,0,0.00022684864,0.0065786107
29,23,10,1.5152129,1.2768018,0,0.00051443174,0.01491852
29,24,10,1.5152129,1.2768018,0,0.0,0.0
29,25,10,1.5159168,1.2773794,0,0.0009105518,0.026406003
29,26,10,1.515783,1.2765431,0,0.00084690086,0.024560126
29,27,10,1.5168288,1.2770859,0,0.0011782759,0.03417
29,28,10,1.5164093,1.2774642,0,0.0005648469,0.01638056
29,29,10,1.5154955,1.2770059,0,0.0010222053,0.029643955
29,30,10,1.5172287,1.2698381,0,0.007374382,0.21385708
29,31,10,1.5187064,1.2705055,0,0.0016214638,0.04702245
29,32,10,1.5166576,1.2692388,0,0.002408809,0.06985546
29,33,10,1.5166105,1.277255,0,0.0080163665,0.23247463
29,34,10,1.5162874,1.2771214,0,0.0003496053,0.0101385545
29,35,10,1.5158634,1.2769004,0,0.0004781699,0.0138669275
29,36,10,1.5155094,1.2768794,0,0.0003546727,0.010285508
29,37,10,1.515833,1.2769406,0,0.00032938013,0.009552023
29,38,10,1.51534,1.277092,0,0.00051576993,0.014957328
29,39,10,1.5150656,1.2775474,0,0.0005316735,0.015418531
29,40,10,1.5158539,1.2762743,0,0.0014973598,0.043423437
29,41,10,1.5147086,1.2769781,0,0.0013442223,0.038982447
29,42,10,1.5166795,1.2761236,0,0.0021481512,0.062296383
29,43,10,1.5154315,1.2768351,0,0.0014365437,0.041659765
29,44,10,1.517657,1.2697482,0,0.007428102,0.21541497
29,45,10,1.5152856,1.2772187,0,0.00783785,0.22729763
29,46,10,1.515617,1.2761006,0,0.001166145,0.033818204
29,47,10,1.5151244,1.276542,0,0.00066135084,0.019179175
29,48,10,1.5158144,1.27767,0,0.00132236,0.03834844
29,49,10,1.5163203,1.2776117,0,0.00050927146,0.014768872
29,50,10,1.515201,1.2769268,0,0.0013123238,0.03805739
29,51,10,1.5159272,1.2774729,0,0.00090863777,0.026350494
