fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.4461392,0.43894356,0,0,0.0
29,1,10,1.4466685,0.43811107,0,0.000986509,0.028608762
29,2,10,1.4482828,0.4325112,0,0.0058279037,0.16900921
29,3,10,1.4481703,0.43571317,0,0.0032039385,0.092914216
29,4,10,1.4491395,0.43260399,0,0.003256737,0.09444538
29,5,10,1.4485329,0.4326429,0,0.0006077844,0.017625747
29,6,10,1.4508876,0.43199676,0,0.0024416689,0.070808396
29,7,10,1.4483951,0.43412507,0,0.0032774794,0.09504691
29,8,10,1.4494307,0.43343645,0,0.0012436216,0.036065027
29,9,10,1.4488232,0.43212005,0,0.0014498102,0.042044498
29,10,10,1.4509923,0.43124464,0,0.00233912,0.06783448
29,11,10,1.4516934,0.43348008,0,0.0023427978,0.06794114
29,12,10,1.4499944,0.43174556,0,0.0024279782,0.07041137
29,13,10,1.4471463,0.43815678,0,0.0070153936,0.20344642
29,14,10,1.4514978,0.43167323,0,0.0078084576,0.22644527
29,15,10,1.4495602,0.43386132,0,0.0029226912,0.08475804
29,16,10,1.447306,0.4374111,0,0.004205005,0.121945135
29,17,10,1.4499686,0.4306111,0,0.007302675,0.21177757
29,18,10,1.4480045,0.43413788,0,0.0040368075,0.11706742
29,19,10,1.4484174,0.4345179,0,0.00056118396,0.016274335
29,20,10,1.4475927,0.43728086,0,0.002883424,0.0836193
29,21,10,1.4466941,0.43879682,0,0.0017622713,0.051105868
29,22,10,1.44442,0.43984783,0,0.002505275,0.07265297
29,23,10,1.446565,0.43949994,0,0.0021730785,0.063019276
29,24,10,1.4464922,0.43821692,0,0.0012850856,0.03726748
29,25,10,1.4489149,0.43282565,0,0.0059106024,0.17140748
29,26,10,1.4495687,0.4328335,0,0.0006539099,0.018963387
29,27,10,1.4491314,0.4319851,0,0.00095449126,0.027680246
29,28,10,1.4506752,0.43116713,0,0.001747187,0.050668422
29,29,10,1.4487225,0.43431467,0,0.0037040955,0.10741877
29,30,10,1.4502501,0.4311763,0,0.0034904284,0.101222426
29,31,10,1.4474031,0.43761033,0,0.0070358007,0.20403822
29,32,10,1.4475138,0.4381577,0,0.00055846985,0.016195625
29,33,10,1.4490944,0.43296105,0,0.0054317187,0.15751985
29,34,10,1.4475063,0.43803203,0,0.0053138463,0.15410154
29,35,10,1.4467453,0.439415,0,0.0015785419,0.045777716
29,36,10,1.4486676,0.43275908,0,0.0069279815,0.20091146
29,37,10,1.4475222,0.4374685,0,0.00484673,0.14055516
29,38,10,1.4486424,0.43346515,0,0.0041571204,0.12055649
29,39,10,1.4463208,0.438894,0,0.0059044263,0.17122836
29,40,10,1.449379,0.4332667,0,0.0064046164,0.18573387
29,41,10,1.4505677,0.43119407,0,0.0023893395,0.06929085
29,42,10,1.4485538,0.43310195,0,0.0027741496,0.08045034
29,43,10,1.4491411,0.43293482,0,0.00061066035,0.01770915
29,44,10,1.4468969,0.4377758,0,0.0053358767,0.15474042
29,45,10,1.4479384,0.43468377,0,0.003262726,0.09461905
29,46,10,1.4476163,0.4378416,0,0.0031742093,0.09205207
29,47,10,1.4491054,0.4345908,0,0.0035756119,0.10369275
29,48,10,1.4468579,0.4386375,0,0.004628919,0.13423866
29,49,10,1.4496791,0.43335563,0,0.0059880977,0.17365484
29,50,10,1.449014,0.43442407,0,0.0012585886,0.036499072
29,51,10,1.4489114,0.43419287,0,0.00025291648,0.007334578
29,52,10,1.4491578,0.43547422,0,0.0013048279,0.03784001
29,53,10,1.4479766,0.4359354,0,0.0012680838,0.03677443
29,54,10,1.4485426,0.4322665,0,0.0037123067,0.107656896
29,55,10,1.4499547,0.43162262,0,0.0015520172,0.0450085
29,56,10,1.4481559,0.43321532,0,0.0024026248,0.06967612
29,57,10,1.4494052,0.43268764,0,0.0013561822,0.039329283
29,58,10,1.4498166,0.43095434,0,0.0017814551,0.0516622
29,59,10,1.44849,0.43350303,0,0.0028732575,0.08332447
29,60,10,1.4485681,0.43218175,0,0.0013235911,0.038384143
29,61,10,1.4462439,0.43699667,0,0.005346541,0.15504968
29,62,10,1.4488646,0.4321888,0,0.005475725,0.15879603
29,63,10,1.4497874,0.43221697,0,0.0009232288,0.026773635
29,64,10,1.4505234,0.43404785,0,0.0019732714,0.05722487
29,65,10,1.4499304,0.43330395,0,0.0009512976,0.02758763
29,66,10,1.4462448,0.4387326,0,0.006561536,0.19028454
29,67,10,1.4453831,0.43919364,0,0.0009773417,0.028342908
29,68,10,1.4462403,0.43805185,0,0.0014277699,0.041405328
29,69,10,1.4463993,0.43763623,0,0.00044500746,0.012905217
29,70,10,1.4506409,0.43001267,0,0.008724082,0.25299838
29,71,10,1.4513884,0.42909393,0,0.0011843834,0.03434712
29,72,10,1.4493263,0.43215662,0,0.0036921925,0.10707358
29,73,10,1.448541,0.43288833,0,0.0010733048,0.03112584
29,74,10,1.447497,0.4380434,0,0.0052597164,0.15253177
29,75,10,1.4463191,0.43923178,0,0.0016732463,0.04852414
29,76,10,1.4498719,0.43268737,0,0.0074465876,0.21595104
29,77,10,1.449805,0.43094397,0,0.0017446883,0.050595958
29,78,10,1.446499,0.43770373,0,0.0075249076,0.21822232
29,79,10,1.4474607,0.43932375,0,0.0018839511,0.054634582
29,80,10,1.4464287,0.4388592,0,0.0011317367,0.032820363
29,81,10,1.4464949,0.43469143,0,0.0041682925,0.120880485
29,82,10,1.447716,0.43281513,0,0.0022386315,0.06492031
29,83,10,1.4489671,0.43509975,0,0.0026047507,0.07553777
29,84,10,1.4482607,0.43364337,0,0.0016186697,0.046941422
29,85,10,1.4508585,0.43133116,0,0.003477778,0.10085557
29,86,10,1.4463924,0.43876642,0,0.008673453,0.25153014
29,87,10,1.4493498,0.43249136,0,0.006937019,0.20117356
29,88,10,1.4496119,0.43182808,0,0.00071320334,0.020682897
29,89,10,1.4487193,0.43402836,0,0.0023744511,0.068859085
29,90,10,1.4460213,0.43851864,0,0.0052384706,0.15191565
29,91,10,1.4499186,0.4322435,0,0.0073869135,0.2142205
29,92,10,1.4491508,0.43174797,0,0.0009138389,0.026501328
29,93,10,1.4465505,0.4386924,0,0.007415293,0.21504349
29,94,10,1.44572,0.43847433,0,0.00085868133,0.024901759
29,95,10,1.4499581,0.43207806,0,0.0076729343,0.22251509
29,96,10,1.4470549,0.43706605,0,0.0057713687,0.1673697
29,97,10,1.44584,0.42721778,0,0.009922915,0.28776455
29,98,10,1.4492477,0.43271616,0,0.0064687487,0.18759371
29,99,10,1.450238,0.43236676,0,0.0010501046,0.030453034
29,100,10,1.4504596,0.43164465,0,0.00075535045,0.021905163
29,101,10,1.4477763,0.4375104,0,0.006450353,0.18706024
29,102,10,1.445467,0.43830398,0,0.0024418707,0.07081425
29,103,10,1.446887,0.43905443,0,0.0016061253,0.046577632
29,104,10,1.4473237,0.43773097,0,0.0013936375,0.04041549
29,105,10,1.4507872,0.42944038,0,0.008984973,0.2605642
29,106,10,1.4496666,0.4314374,0,0.0022899292,0.06640795
29,107,10,1.4462495,0.43738502,0,0.0068593724,0.1989218
29,108,10,1.4456637,0.4375922,0,0.0006213542,0.018019272
29,109,10,1.4508756,0.43264243,0,0.0071878172,0.2084467
29,110,10,1.4461302,0.43849397,0,0.00753393,0.21848397
29,111,10,1.4469157,0.437666,0,0.0011413508,0.033099174
29,112,10,1.4486783,0.43210793,0,0.0058308337,0.16909418
29,113,10,1.4497461,0.43246752,0,0.001126796,0.032677084
29,114,10,1.4461935,0.43921912,0,0.007629257,0.22124846
29,115,10,1.449835,0.43262294,0,0.007534586,0.218503
29,116,10,1.446653,0.43818384,0,0.0064069,0.1858001
29,117,10,1.4467309,0.43762472,0,0.00056451425,0.016370913
29,118,10,1.4486506,0.43330508,0,0.004727018,0.13708353
29,119,10,1.4490604,0.43284503,0,0.00061613624,0.01786795
29,120,10,1.446096,0.43820012,0,0.006120885,0.17750566
29,121,10,1.4463141,0.4380213,0,0.00028207296,0.008180115
29,122,10,1.4462357,0.43826067,0,0.00025189653,0.0073049995
29,123,10,1.4466602,0.4377856,0,0.0006371058,0.018476067
29,124,10,1.4491041,0.43420166,0,0.004337892,0.12579887
29,125,10,1.4496619,0.43399093,0,0.00059626077,0.017291563
29,126,10,1.4500004,0.43391475,0,0.00034701824,0.010063529
29,127,10,1.4493439,0.43206838,0,0.0019596089,0.05682866
29,128,10,1.4487648,0.4335553,0,0.0015957227,0.04627596
29,129,10,1.4490366,0.4344207,0,0.00090707804,0.026305264
29,130,10,1.4475654,0.43791363,0,0.0037900948,0.109912746
29,131,10,1.4458966,0.43761975,0,0.0016944897,0.049140204
29,132,10,1.4493134,0.43403515,0,0.0049521383,0.14361201
