fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.7054292,0.8114772,0,0,0.0
29,1,10,1.7083429,0.8098496,0,0.003337468,0.09678657
29,2,10,1.7096899,0.80561626,0,0.004442477,0.12883183
29,3,10,1.706525,0.8117118,0,0.0068681864,0.1991774
29,4,10,1.7060176,0.8097238,0,0.0020517134,0.05949969
29,5,10,1.7073789,0.80921406,0,0.0014535603,0.04215325
29,6,10,1.7076404,0.8098527,0,0.000690143,0.020014146
29,7,10,1.7075863,0.809566,0,0.00029176194,0.008461096
29,8,10,1.705036,0.8090413,0,0.002603662,0.075506195
29,9,10,1.705947,0.80974776,0,0.0011528077,0.033431426
29,10,10,1.7072184,0.8079469,0,0.0022044005,0.06392761
29,11,10,1.7074285,0.8109275,0,0.0029879818,0.086651474
29,12,10,1.707254,0.81016755,0,0.0007797143,0.022611715
29,13,10,1.7077831,0.8101481,0,0.0005294075,0.015352818
29,14,10,1.7074023,0.81045663,0,0.00049005577,0.014211617
29,15,10,1.707846,0.8082065,0,0.0022934633,0.06651044
29,16,10,1.7071013,0.8083389,0,0.0007563754,0.021934886
29,17,10,1.708796,0.8097672,0,0.0022163023,0.06427277
29,18,10,1.7082742,0.809545,0,0.0005671234,0.01644658
29,19,10,1.7055085,0.8081648,0,0.0030910317,0.08963992
29,20,10,1.7065612,0.8108338,0,0.0028691483,0.0832053
29,21,10,1.7058355,0.8086145,0,0.0023349703,0.06771414
29,22,10,1.7078106,0.8115135,0,0.0035079168,0.10172959
29,23,10,1.7066547,0.8101181,0,0.0018120225,0.052548654
29,24,10,1.7080404,0.81104773,0,0.0016686489,0.048390817
29,25,10,1.707928,0.80853426,0,0.0025159807,0.07296344
29,26,10,1.7073065,0.8093105,0,0.0009943441,0.02883598
29,27,10,1.7087809,0.8093702,0,0.0014755897,0.0427921
29,28,10,1.707332,0.80832875,0,0.001784345,0.051746007
29,29,10,1.7075382,0.8094623,0,0.0011521686,0.03341289
29,30,10,1.7076293,0.80950207,0,9.9374956e-05,0.0028818736
29,31,10,1.7100487,0.80672514,0,0.0036830092,0.10680727
29,32,10,1.7102234,0.8063968,0,0.0003719717,0.010787179
29,33,10,1.7082294,0.8102042,0,0.004297974,0.12464125
29,34,10,1.7070749,0.8071418,0,0.0032728317,0.09491212
29,35,10,1.7098234,0.80396914,0,0.004197596,0.12173029
29,36,10,1.7081143,0.8095662,0,0.0058521843,0.16971335
29,37,10,1.7079123,0.81049585,0,0.0009513337,0.027588679
29,38,10,1.7071763,0.80948097,0,0.0012536711,0.036356464
29,39,10,1.7071176,0.808918,0,0.0005660252,0.016414732
29,40,10,1.7107121,0.8051784,0,0.0051870155,0.15042345
29,41,10,1.7076229,0.8097467,0,0.005514731,0.1599272
29,42,10,1.7069145,0.80940485,0,0.0007865096,0.022808779
29,43,10,1.7088184,0.80844635,0,0.0021315557,0.061815117
29,44,10,1.7089452,0.8098843,0,0.0014435347,0.041862506
29,45,10,1.7070471,0.80793774,0,0.0027187725,0.078844406
29,46,10,1.7085673,0.8091473,0,0.0019426541,0.05633697
29,47,10,1.7074898,0.80859053,0,0.0012127693,0.03517031
29,48,10,1.7055079,0.80941665,0,0.0021472527,0.06227033
29,49,10,1.7073848,0.8095931,0,0.001885224,0.054671496
29,50,10,1.7054956,0.8090352,0,0.0019698825,0.057126593
29,51,10,1.7066603,0.8084516,0,0.0013027062,0.037778478
29,52,10,1.7081167,0.80995387,0,0.002092337,0.060677774
29,53,10,1.7093058,0.8092917,0,0.0013610397,0.03947015
29,54,10,1.7104547,0.8052744,0,0.004178362,0.121172495
29,55,10,1.7084811,0.8089413,0,0.004164277,0.12076404
29,56,10,1.7079495,0.81032157,0,0.0014790811,0.042893354
29,57,10,1.7090678,0.8090879,0,0.0016651151,0.048288338
29,58,10,1.7092943,0.8108273,0,0.0017541269,0.05086968
29,59,10,1.7078328,0.80964845,0,0.0018776879,0.05445295
29,60,10,1.7101364,0.80767256,0,0.0030349186,0.088012636
29,61,10,1.7078543,0.80980724,0,0.003124906,0.090622276
