fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.5357043,1.3035853,0,0,0.0
29,1,10,1.538784,1.3080518,0,0.005425396,0.15733649
29,2,10,1.539591,1.3074986,0,0.0009783753,0.028372884
29,3,10,1.5392827,1.3150194,0,0.00752711,0.2182862
29,4,10,1.5375971,1.3035674,0,0.011575349,0.3356851
29,5,10,1.5386487,1.3146569,0,0.0111392,0.3230368
29,6,10,1.5411416,1.3069309,0,0.008118186,0.2354274
29,7,10,1.5389476,1.307834,0,0.0023726537,0.068806954
29,8,10,1.5423963,1.3068818,0,0.0035777744,0.10375546
29,9,10,1.539678,1.3076444,0,0.0028232688,0.081874795
29,10,10,1.5380731,1.3055109,0,0.0026697426,0.07742254
29,11,10,1.5397761,1.3104174,0,0.005193686,0.1506169
29,12,10,1.5403517,1.3120227,0,0.0017053696,0.049455717
29,13,10,1.5406352,1.3117265,0,0.00041001945,0.011890564
29,14,10,1.5418569,1.314,0,0.0025809917,0.07484876
29,15,10,1.5404934,1.3079784,0,0.0061740642,0.17904787
29,16,10,1.5394784,1.3069165,0,0.0014689403,0.04259927
29,17,10,1.5370556,1.3090376,0,0.0032200983,0.09338285
29,18,10,1.5367907,1.3152133,0,0.0061814343,0.1792616
29,19,10,1.5411103,1.305436,0,0.010688977,0.30998033
29,20,10,1.541011,1.3048838,0,0.00056103535,0.016270025
29,21,10,1.5388439,1.3126923,0,0.008103591,0.23500416
29,22,10,1.5405416,1.3069805,0,0.005958779,0.17280458
29,23,10,1.5384842,1.3141776,0,0.0074854447,0.2170779
29,24,10,1.5354136,1.3107889,0,0.0045729917,0.13261676
29,25,10,1.5382051,1.3022351,0,0.00899773,0.26093417
29,26,10,1.5394293,1.3129491,0,0.010783643,0.31272566
29,27,10,1.5391324,1.3116268,0,0.0013552033,0.039300896
29,28,10,1.5365406,1.3118489,0,0.0026012273,0.07543559
29,29,10,1.5377407,1.3034798,0,0.008454693,0.24518609
29,30,10,1.5382557,1.304118,0,0.000820102,0.023782957
29,31,10,1.5394467,1.3073416,0,0.0034365286,0.09965933
29,32,10,1.5396956,1.3073814,0,0.0002520734,0.007310129
29,33,10,1.5400478,1.3075935,0,0.00041107257,0.011921105
29,34,10,1.5385042,1.3141185,0,0.006705118,0.19444843
29,35,10,1.538013,1.313448,0,0.000831251,0.024106279
29,36,10,1.537814,1.3142706,0,0.0008463806,0.024545038
29,37,10,1.5416521,1.3076154,0,0.0076826187,0.22279595
29,38,10,1.5405263,1.3068821,0,0.001343547,0.038962863
29,39,10,1.537765,1.3138487,0,0.007493855,0.2173218
29,40,10,1.5397922,1.3119526,0,0.0027757362,0.08049635
29,41,10,1.5390149,1.313442,0,0.0016800071,0.048720207
29,42,10,1.539674,1.3146162,0,0.0013465497,0.039049942
29,43,10,1.5403278,1.3072801,0,0.0073652104,0.2135911
29,44,10,1.5403845,1.3154589,0,0.008179028,0.2371918
29,45,10,1.5400847,1.3079609,0,0.0075040176,0.21761651
29,46,10,1.5394168,1.3159906,0,0.008057431,0.23366551
29,47,10,1.5424428,1.3037885,0,0.01257164,0.36457756
29,48,10,1.5401624,1.3061349,0,0.0032719402,0.094886266
29,49,10,1.5375174,1.3148744,0,0.009130962,0.2647979
29,50,10,1.5388737,1.3137488,0,0.0017624741,0.051111747
29,51,10,1.5387433,1.312223,0,0.0015314419,0.044411816
29,52,10,1.5396268,1.3101863,0,0.002220095,0.064382754
29,53,10,1.5374894,1.304687,0,0.0059000216,0.17110063
29,54,10,1.5393596,1.3141356,0,0.009631831,0.2793231
29,55,10,1.5352651,1.3043122,0,0.010642483,0.30863202
29,56,10,1.536099,1.3106929,0,0.006434934,0.1866131
29,57,10,1.5383344,1.3052953,0,0.005842149,0.16942231
29,58,10,1.5375938,1.3034606,0,0.0019785576,0.05737817
29,59,10,1.5409594,1.3138007,0,0.010874017,0.3153465
29,60,10,1.5411283,1.3067424,0,0.007060284,0.20474823
