fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.35907036,0.89591736,0,0,0.0
29,1,10,0.36349893,0.8924044,0,0.0056527173,0.1639288
29,2,10,0.3737784,0.89999497,0,0.0127782915,0.37057045
29,3,10,0.36076662,0.89264715,0,0.014943126,0.43335065
29,4,10,0.3745703,0.9015155,0,0.016406989,0.47580266
29,5,10,0.37538448,0.9046201,0,0.0032096077,0.09307862
29,6,10,0.36357972,0.8863654,0,0.02173905,0.6304325
29,7,10,0.36628836,0.89560115,0,0.009624741,0.2791175
29,8,10,0.37337023,0.90127605,0,0.009075093,0.2631777
29,9,10,0.36548647,0.89444876,0,0.010429074,0.30244315
29,10,10,0.37189823,0.9007712,0,0.009004664,0.26113525
29,11,10,0.3717255,0.89753133,0,0.0032444715,0.09408967
29,12,10,0.36817905,0.89579046,0,0.003950686,0.1145699
29,13,10,0.37420273,0.9009163,0,0.007909406,0.22937277
29,14,10,0.3734771,0.90086645,0,0.00072733586,0.02109274
29,15,10,0.37321392,0.9023816,0,0.001537838,0.0445973
29,16,10,0.36686438,0.8919591,0,0.0122043295,0.35392556
29,17,10,0.37351772,0.9007309,0,0.011009634,0.31927937
29,18,10,0.37419155,0.9007156,0,0.0006740046,0.019546134
29,19,10,0.37262264,0.90103203,0,0.0016005075,0.046414718
29,20,10,0.37190464,0.90016556,0,0.0011252979,0.03263364
29,21,10,0.3736773,0.9032211,0,0.0035324956,0.10244237
29,22,10,0.37308395,0.9018752,0,0.0014708687,0.042655192
29,23,10,0.3680509,0.89482963,0,0.008658612,0.25109977
29,24,10,0.36201265,0.88999164,0,0.00773735,0.22438316
29,25,10,0.36815882,0.89464724,0,0.0077103777,0.22360095
29,26,10,0.37413102,0.8994154,0,0.0076421425,0.22162214
29,27,10,0.36806375,0.8939281,0,0.00818058,0.23723683
29,28,10,0.37350574,0.90047795,0,0.008515611,0.24695273
29,29,10,0.37352586,0.9089845,0,0.008506561,0.24669026
29,30,10,0.36696848,0.8897996,0,0.020274593,0.58796316
29,31,10,0.3733756,0.9086387,0,0.019898834,0.5770662
29,32,10,0.37502393,0.909575,0,0.0018956832,0.054974813
29,33,10,0.3664765,0.89246094,0,0.019129792,0.554764
29,34,10,0.36685303,0.8916864,0,0.00086122943,0.024975654
29,35,10,0.37455714,0.909659,0,0.019554269,0.56707376
29,36,10,0.37200427,0.89722866,0,0.012689808,0.36800444
29,37,10,0.3735932,0.90106755,0,0.0041547394,0.120487444
29,38,10,0.37309217,0.9008208,0,0.00055850676,0.016196696
29,39,10,0.37323284,0.90114653,0,0.00035481452,0.010289621
29,40,10,0.36652213,0.89755344,0,0.0076120878,0.22075054
29,41,10,0.37316254,0.9014213,0,0.0076847477,0.22285768
29,42,10,0.36623165,0.8938209,0,0.010286092,0.29829666
29,43,10,0.37417328,0.9054612,0,0.014091358,0.40864938
29,44,10,0.37547046,0.8998983,0,0.0057121394,0.16565204
29,45,10,0.37247002,0.90173346,0,0.0035171676,0.10199786
29,46,10,0.37251544,0.9020784,0,0.00034790946,0.010089374
29,47,10,0.3663223,0.8948753,0,0.00949945,0.27548406
29,48,10,0.36743045,0.89726806,0,0.0026369141,0.07647051
29,49,10,0.3682053,0.89549685,0,0.0019332871,0.05606533
29,50,10,0.373815,0.906056,0,0.01195676,0.34674603
29,51,10,0.3749306,0.9008878,0,0.0052872323,0.15332974
29,52,10,0.37267953,0.89905035,0,0.002905757,0.08426695
29,53,10,0.36691594,0.8968024,0,0.00618645,0.17940705
29,54,10,0.36832526,0.89640814,0,0.0014634375,0.042439688
29,55,10,0.37463668,0.910182,0,0.015151012,0.43937933
29,56,10,0.37628475,0.90926033,0,0.0018882793,0.054760102
29,57,10,0.37405944,0.9026099,0,0.007012878,0.20337346
29,58,10,0.36667234,0.892512,0,0.012511438,0.36283168
29,59,10,0.36824727,0.8950769,0,0.0030097938,0.08728402
29,60,10,0.37250116,0.9013546,0,0.007583247,0.21991417
29,61,10,0.36514843,0.8917283,0,0.012113174,0.35128206
29,62,10,0.37340787,0.9097838,0,0.019854961,0.57579386
29,63,10,0.37491843,0.90172756,0,0.008196617,0.23770188
29,64,10,0.37289092,0.9028621,0,0.002323344,0.06737697
29,65,10,0.37309054,0.9042896,0,0.0014414202,0.041801184
29,66,10,0.37453172,0.90386283,0,0.0015030416,0.043588206
29,67,10,0.3743178,0.9063755,0,0.002521783,0.07313171
29,68,10,0.37476665,0.91546226,0,0.009097807,0.2638364
29,69,10,0.37136763,0.9060621,0,0.009995786,0.28987777
29,70,10,0.37277412,0.91316015,0,0.007236027,0.20984478
29,71,10,0.37373164,0.91577923,0,0.002788631,0.0808703
29,72,10,0.36518815,0.9134243,0,0.008862104,0.257001
29,73,10,0.36735559,0.91477764,0,0.0025552402,0.07410196
29,74,10,0.36944258,0.9220126,0,0.007529983,0.2183695
29,75,10,0.37123904,0.9350312,0,0.013141912,0.38111547
29,76,10,0.36680794,0.92764986,0,0.008609211,0.24966712
29,77,10,0.37770054,0.94528496,0,0.020727897,0.601109
29,78,10,0.37031254,0.9393485,0,0.009477545,0.2748488
29,79,10,0.3794725,0.94519305,0,0.010865694,0.3151051
29,80,10,0.3804195,0.9466476,0,0.0017356469,0.05033376
29,81,10,0.38161868,0.9661524,0,0.019541675,0.56670856
29,82,10,0.3815366,0.9634465,0,0.0027071761,0.07850811
29,83,10,0.38640508,0.9776982,0,0.015060321,0.4367493
29,84,10,0.38754293,0.98615867,0,0.008536634,0.2475624
29,85,10,0.3882772,0.99349535,0,0.0073733283,0.21382652
29,86,10,0.38983792,0.99371326,0,0.0015758575,0.04569987
29,87,10,0.39155513,1.0039085,0,0.010338861,0.29982695
29,88,10,0.39356032,1.0104278,0,0.006820725,0.19780102
29,89,10,0.3945274,1.0190778,0,0.008703838,0.2524113
29,90,10,0.39747915,1.0278422,0,0.009248094,0.2681947
29,91,10,0.4012972,1.0383441,0,0.01117449,0.3240602
29,92,10,0.4061217,1.0463393,0,0.009337976,0.2708013
