fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.1987857,0.53685594,0,0,0.0
29,1,10,1.1971546,0.5368442,0,0.0016310638,0.04730085
29,2,10,1.1978711,0.5362836,0,0.0009096974,0.026381224
29,3,10,1.199935,0.53128827,0,0.005404909,0.15674236
29,4,10,1.1987613,0.535595,0,0.0044637797,0.1294496
29,5,10,1.2000028,0.5296815,0,0.006042402,0.17522965
29,6,10,1.199096,0.53595096,0,0.006334698,0.18370624
29,7,10,1.1987401,0.5366558,0,0.0007895569,0.02289715
29,8,10,1.1984468,0.5362578,0,0.00049442553,0.014338341
29,9,10,1.1990786,0.5366092,0,0.0007229408,0.020965282
29,10,10,1.1998122,0.53177124,0,0.004893236,0.14190385
29,11,10,1.1982903,0.5357595,0,0.004268749,0.12379373
29,12,10,1.199199,0.5322954,0,0.0035812827,0.1038572
29,13,10,1.1983185,0.5374847,0,0.005263466,0.1526405
29,14,10,1.1972495,0.5370724,0,0.0011457019,0.033225354
29,15,10,1.1999589,0.53467613,0,0.0036170392,0.10489414
29,16,10,1.1984774,0.5365836,0,0.0024152377,0.070041895
29,17,10,1.2008936,0.5294848,0,0.0074987435,0.21746357
29,18,10,1.1988273,0.5382729,0,0.009027777,0.26180553
29,19,10,1.2011203,0.5323574,0,0.0063443845,0.18398716
29,20,10,1.1990055,0.53673524,0,0.0048618685,0.14099419
29,21,10,1.1983413,0.5355515,0,0.001357375,0.039363872
29,22,10,1.2006798,0.53095114,0,0.0051606107,0.14965771
29,23,10,1.1979151,0.5367345,0,0.00641023,0.18589666
29,24,10,1.1977742,0.5377359,0,0.0010112231,0.029325468
29,25,10,1.1986833,0.53537256,0,0.0025321424,0.07343213
29,26,10,1.1988298,0.5369622,0,0.001596393,0.046295397
29,27,10,1.1979101,0.53583115,0,0.0014577856,0.042275783
29,28,10,1.1992301,0.5316282,0,0.004405372,0.12775579
29,29,10,1.1992728,0.53583634,0,0.004208364,0.12204256
29,30,10,1.1989787,0.535692,0,0.0003276111,0.009500722
29,31,10,1.1985486,0.53609234,0,0.00058760855,0.017040648
29,32,10,1.1987745,0.536231,0,0.00026505225,0.0076865153
29,33,10,1.2009878,0.53239614,0,0.0044277515,0.1284048
29,34,10,1.2011034,0.5358515,0,0.0034572752,0.10026098
29,35,10,1.199081,0.5363896,0,0.0020928662,0.060693122
29,36,10,1.200543,0.53606296,0,0.0014981427,0.04344614
29,37,10,1.1966968,0.52894473,0,0.0080909245,0.23463681
29,38,10,1.1991426,0.53267854,0,0.004463562,0.12944329
29,39,10,1.1992682,0.5322937,0,0.00040485777,0.011740875
29,40,10,1.1986452,0.5366764,0,0.0044267857,0.12837678
29,41,10,1.201058,0.53548175,0,0.0026923572,0.07807836
29,42,10,1.1991951,0.5363581,0,0.0020587265,0.059703067
29,43,10,1.1984543,0.5370578,0,0.0010190634,0.02955284
29,44,10,1.1987647,0.53707963,0,0.0003111866,0.009024411
29,45,10,1.1993663,0.5335525,0,0.0035780512,0.10376348
29,46,10,1.1982595,0.5364808,0,0.003130467,0.090783544
29,47,10,1.1992714,0.5372243,0,0.0012557401,0.036416464
29,48,10,1.2008148,0.5333286,0,0.0041902945,0.121518545
29,49,10,1.2005985,0.5318423,0,0.0015019673,0.04355705
29,50,10,1.199557,0.5358526,0,0.0041433624,0.12015751
29,51,10,1.1986232,0.53532284,0,0.001073579,0.03113379
29,52,10,1.1991597,0.5363869,0,0.0011916903,0.03455902
29,53,10,1.1999311,0.53600013,0,0.00086293544,0.025025127
29,54,10,1.1991453,0.53681207,0,0.0011299392,0.03276824
29,55,10,1.1988492,0.53642464,0,0.00048763384,0.014141382
29,56,10,1.1999419,0.53322417,0,0.003381856,0.098073825
29,57,10,1.1997937,0.53619975,0,0.0029792702,0.08639883
29,58,10,1.1988641,0.5372785,0,0.0014240057,0.041296165
29,59,10,1.1990981,0.5330038,0,0.004281067,0.12415094
29,60,10,1.1982042,0.5357709,0,0.0029079053,0.084329255
29,61,10,1.1990938,0.5364645,0,0.001128096,0.032714784
29,62,10,1.1972103,0.5365743,0,0.001886704,0.054714415
29,63,10,1.1996586,0.53531826,0,0.002751714,0.07979971
29,64,10,1.199983,0.5365096,0,0.0012346876,0.03580594
29,65,10,1.1991497,0.53460366,0,0.0020801125,0.06032326
29,66,10,1.2006617,0.53635633,0,0.0023146933,0.0671261
29,67,10,1.1996355,0.5323145,0,0.004170078,0.12093226
29,68,10,1.1999586,0.53725827,0,0.004954332,0.14367563
29,69,10,1.1990889,0.5365614,0,0.0011143798,0.032317016
29,70,10,1.1986988,0.53668815,0,0.0004102341,0.011896789
29,71,10,1.1998374,0.53632724,0,0.0011945132,0.034640882
29,72,10,1.1987401,0.53664654,0,0.0011428334,0.033142168
29,73,10,1.1979383,0.5377972,0,0.00140247,0.04067163
29,74,10,1.1993123,0.536354,0,0.0019926718,0.05778748
29,75,10,1.2002089,0.5362028,0,0.00090923585,0.02636784
29,76,10,1.1998702,0.53636384,0,0.00037501662,0.010875482
29,77,10,1.1998014,0.5368271,0,0.00046832603,0.013581455
29,78,10,1.1997516,0.53701884,0,0.00019811695,0.0057453914
29,79,10,1.199362,0.5324824,0,0.004553147,0.13204126
29,80,10,1.19849,0.53324395,0,0.0011577558,0.03357492
29,81,10,1.1988155,0.5371262,0,0.003895846,0.11297953
29,82,10,1.1990222,0.53522325,0,0.0019141319,0.055509824
29,83,10,1.1985676,0.5364382,0,0.0012972241,0.037619498
29,84,10,1.1987863,0.5353176,0,0.0011417547,0.033110887
29,85,10,1.1996286,0.5369491,0,0.001836113,0.05324728
29,86,10,1.1980537,0.5366638,0,0.0016005123,0.046414856
29,87,10,1.1988537,0.5368927,0,0.0008321273,0.024131691
29,88,10,1.199017,0.53617567,0,0.0007354075,0.021326818
29,89,10,1.1994962,0.5328709,0,0.0033393274,0.09684049
29,90,10,1.1981465,0.5359109,0,0.0033261618,0.09645869
29,91,10,1.1990949,0.5356135,0,0.0009939722,0.028825194
29,92,10,1.1984607,0.5298497,0,0.0057985545,0.16815808
29,93,10,1.1978791,0.5312494,0,0.0015157284,0.043956123
29,94,10,1.1963238,0.5324555,0,0.001968174,0.057077046
29,95,10,1.1949441,0.53300476,0,0.0014849257,0.043062847
29,96,10,1.1952819,0.53142935,0,0.0016112023,0.046724867
29,97,10,1.1936224,0.5294402,0,0.0025904835,0.075124025
29,98,10,1.1924407,0.5286364,0,0.0014290991,0.041443873
29,99,10,1.1913077,0.5269254,0,0.0020521788,0.059513185
29,100,10,1.1921122,0.52313054,0,0.003879197,0.11249671
29,101,10,1.187494,0.52303123,0,0.004619235,0.13395782
29,102,10,1.1854286,0.52126014,0,0.0027207956,0.07890307
29,103,10,1.1840022,0.5192821,0,0.0024387343,0.070723295
29,104,10,1.1839514,0.5154423,0,0.0038401266,0.11136367
29,105,10,1.1785421,0.5131359,0,0.005880423,0.17053227
29,106,10,1.1766326,0.50999504,0,0.0036757602,0.10659704
29,107,10,1.1732554,0.50659984,0,0.004788826,0.13887596
29,108,10,1.1721016,0.49771345,0,0.008960991,0.25986874
29,109,10,1.1654967,0.49899527,0,0.0067281434,0.19511616
29,110,10,1.1651875,0.49963573,0,0.000711197,0.020624712
29,111,10,1.1642412,0.50101095,0,0.0016693426,0.048410937
29,112,10,1.1657535,0.49628773,0,0.004959419,0.14382315
29,113,10,1.1468092,0.47922108,0,0.025498156,0.7394465
29,114,10,1.1461276,0.47577918,0,0.0035087473,0.101753674
29,115,10,1.139615,0.46837893,0,0.009857818,0.28587672
29,116,10,1.1367482,0.45863685,0,0.010155149,0.2944993
29,117,10,1.1286114,0.4577151,0,0.0081887925,0.23747498
29,118,10,1.1293899,0.45800155,0,0.00082947145,0.024054673
29,119,10,1.1167651,0.44895977,0,0.015528617,0.4503299
29,120,10,1.1086284,0.44530606,0,0.008919431,0.2586635
29,121,10,1.1019642,0.43901932,0,0.009161555,0.2656851
29,122,10,1.0956396,0.42864463,0,0.012150534,0.3523655
29,123,10,1.0887316,0.42382994,0,0.0084202625,0.24418761
29,124,10,1.0782537,0.42355025,0,0.010481633,0.30396736
29,125,10,1.0699804,0.41504785,0,0.011863357,0.34403735
29,126,10,1.0608908,0.4104286,0,0.010195981,0.29568344
29,127,10,1.0505508,0.40654242,0,0.011046157,0.32033855
29,128,10,1.043429,0.4012758,0,0.008857607,0.2568706
29,129,10,1.0327852,0.3943985,0,0.012672356,0.36749834
29,130,10,1.0342473,0.39350933,0,0.0017112531,0.04962634
29,131,10,1.0158587,0.38438728,0,0.020526893,0.59527993
29,132,10,1.0026207,0.3831573,0,0.013294971,0.38555413
29,133,10,0.9907034,0.37818068,0,0.012914671,0.37452546
29,134,10,0.97917944,0.37355083,0,0.0124192275,0.3601576
29,135,10,0.96829784,0.37094194,0,0.011189978,0.32450935
29,136,10,0.9559539,0.36307335,0,0.0146385655,0.4245184
29,137,10,0.9430889,0.3558125,0,0.014772559,0.4284042
29,138,10,0.93052286,0.3601658,0,0.01329874,0.38566345
29,139,10,0.91700053,0.35763085,0,0.013757883,0.3989786
29,140,10,0.90454745,0.35013494,0,0.0145350555,0.4215166
29,141,10,0.8872031,0.3509619,0,0.017364059,0.5035577
29,142,10,0.8753277,0.35235423,0,0.011956735,0.3467453
29,143,10,0.85997856,0.3495203,0,0.015608573,0.45264864
29,144,10,0.8460023,0.34960756,0,0.013976549,0.40531993
29,145,10,0.8330574,0.3467323,0,0.013260355,0.3845503
29,146,10,0.8189811,0.3429671,0,0.01457116,0.42256364
29,147,10,0.8029351,0.3378504,0,0.016842041,0.4884192
29,148,10,0.7887583,0.34070352,0,0.014461095,0.41937178
29,149,10,0.7738776,0.3511675,0,0.018191451,0.52755207
29,150,10,0.759205,0.35108757,0,0.014672855,0.4255128
29,151,10,0.74291813,0.3485705,0,0.016480206,0.47792596
29,152,10,0.7273038,0.35055226,0,0.01573959,0.4564481
29,153,10,0.7131373,0.35443094,0,0.0146878585,0.4259479
29,154,10,0.6982057,0.3599033,0,0.01590283,0.4611821
29,155,10,0.6848605,0.36712903,0,0.015175801,0.44009823
29,156,10,0.66902626,0.3697445,0,0.016048828,0.465416
29,157,10,0.6534678,0.37876403,0,0.01798383,0.52153105
29,158,10,0.6395499,0.38244843,0,0.014397282,0.41752118
29,159,10,0.62385535,0.38905448,0,0.01702818,0.49381724
29,160,10,0.6096067,0.39753726,0,0.016582588,0.48089504
29,161,10,0.59275115,0.39789647,0,0.016859364,0.48892155
29,162,10,0.58006394,0.41285124,0,0.019611489,0.56873316
29,163,10,0.56485933,0.42298198,0,0.018270519,0.52984506
29,164,10,0.5496344,0.42952096,0,0.01656976,0.48052302
29,165,10,0.533996,0.4343474,0,0.016366255,0.4746214
29,166,10,0.5223401,0.45044675,0,0.019875834,0.5763992
29,167,10,0.5076111,0.45332965,0,0.0150085045,0.43524665
29,168,10,0.4961065,0.4719804,0,0.021913597,0.63549435
29,169,10,0.4836936,0.48440742,0,0.017564492,0.50937027
29,170,10,0.46953237,0.48747694,0,0.014490078,0.42021227
29,171,10,0.4592716,0.506499,0,0.021612993,0.6267768
29,172,10,0.44542134,0.51485837,0,0.016177427,0.4691454
29,173,10,0.43757546,0.5311491,0,0.018081635,0.52436745
29,174,10,0.4228444,0.5393238,0,0.01684725,0.4885702
29,175,10,0.41252097,0.5557124,0,0.01936903,0.5617019
29,176,10,0.4025922,0.56657666,0,0.014717759,0.426815
29,177,10,0.3911243,0.5850547,0,0.021747429,0.63067544
29,178,10,0.38278374,0.6007971,0,0.017815413,0.516647
29,179,10,0.37456477,0.619727,0,0.020637166,0.5984778
29,180,10,0.37234104,0.6138561,0,0.006277969,0.1820611
29,181,10,0.3751066,0.6198,0,0.006555779,0.19011758
29,182,10,0.35228345,0.6682957,0,0.053597856,1.5543379
29,183,10,0.35202175,0.6681485,0,0.000300235,0.008706815
29,184,10,0.33901188,0.69790417,0,0.032475464,0.94178843
29,185,10,0.3360342,0.72135556,0,0.023639673,0.6855505
29,186,10,0.33074632,0.7391152,0,0.018530134,0.5373739
29,187,10,0.3271813,0.75795406,0,0.019173231,0.5560237
29,188,10,0.32550454,0.7751621,0,0.01728954,0.50139666
29,189,10,0.3232963,0.7931175,0,0.0180907,0.5246303
29,190,10,0.32128298,0.8124133,0,0.019400503,0.5626146
29,191,10,0.3174999,0.83226115,0,0.020205187,0.58595043
29,192,10,0.32053757,0.8491723,0,0.017181803,0.49827227
29,193,10,0.30850655,0.85625106,0,0.013959024,0.4048117
29,194,10,0.32130915,0.8868143,0,0.033136353,0.96095425
29,195,10,0.31258354,0.8957444,0,0.012485302,0.36207375
29,196,10,0.3250664,0.9260581,0,0.032783285,0.95071524
29,197,10,0.3301603,0.9412737,0,0.01604561,0.46532267
29,198,10,0.33364064,0.9589899,0,0.018054849,0.5235906
29,199,10,0.33912256,0.98015004,0,0.021858694,0.63390213
29,200,10,0.34317872,1.0009121,0,0.02115453,0.6134814
29,201,10,0.350847,1.0165302,0,0.017399058,0.5045727
29,202,10,0.35956308,1.0342786,0,0.019773172,0.573422
29,203,10,0.3658144,1.0496093,0,0.016556216,0.48013029
29,204,10,0.37546644,1.0685703,0,0.021276273,0.6170119
29,205,10,0.38199267,1.086875,0,0.019433321,0.5635663
29,206,10,0.39072916,1.1045144,0,0.019684376,0.5708469
29,207,10,0.40244806,1.1196514,0,0.01914324,0.55515397
29,208,10,0.41458791,1.1345143,0,0.019190669,0.5565294
29,209,10,0.42364046,1.1511915,0,0.018975658,0.5502941
29,210,10,0.433738,1.1616194,0,0.01451559,0.4209521
29,211,10,0.44982162,1.1784898,0,0.023308642,0.67595065
29,212,10,0.46185642,1.1923275,0,0.018338984,0.53183055
29,213,10,0.4769349,1.2054985,0,0.02002086,0.5806049
29,214,10,0.4911587,1.2172627,0,0.018458454,0.5352952
29,215,10,0.50401914,1.2288964,0,0.017341642,0.50290763
29,216,10,0.520107,1.2432506,0,0.021560661,0.62525916
29,217,10,0.5338482,1.2570653,0,0.019485062,0.5650668
29,218,10,0.5468696,1.2661719,0,0.01588982,0.46080476
29,219,10,0.5663649,1.2789764,0,0.02332429,0.6764044
29,220,10,0.58223784,1.2889472,0,0.018744793,0.543599
29,221,10,0.60043675,1.2966835,0,0.019775009,0.57347524
29,222,10,0.6173899,1.3045226,0,0.018677827,0.541657
29,223,10,0.63555366,1.3122232,0,0.019728662,0.5721312
29,224,10,0.6550545,1.3163742,0,0.019937752,0.5781948
29,225,10,0.6705224,1.320551,0,0.016021907,0.4646353
29,226,10,0.6922772,1.3286861,0,0.023226082,0.6735564
29,227,10,0.71073616,1.33321,0,0.01900523,0.5511517
29,228,10,0.7281782,1.3358767,0,0.017644726,0.51169705
29,229,10,0.74779934,1.3389972,0,0.01986773,0.5761641
29,230,10,0.7659138,1.3418424,0,0.018336525,0.53175926
29,231,10,0.789424,1.34215,0,0.02351223,0.68185467
29,232,10,0.8076273,1.3399233,0,0.018339003,0.5318311
29,233,10,0.82805395,1.3417654,0,0.020509528,0.59477633
29,234,10,0.84918976,1.3408654,0,0.02115496,0.61349386
29,235,10,0.8685534,1.3384101,0,0.019518679,0.5660417
29,236,10,0.890288,1.3327501,0,0.022459494,0.65132535
29,237,10,0.90805554,1.3317677,0,0.017794687,0.5160459
29,238,10,0.92811656,1.326388,0,0.020769818,0.6023247
29,239,10,0.9475625,1.3214163,0,0.020071458,0.58207226
