fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,187,10,1.2350105,1.5623059,0,0,0.0
29,188,10,1.2335119,1.5631802,0,0.0017349666,0.05031403
29,189,10,1.2337362,1.5637919,0,0.0006514689,0.018892597
29,190,10,1.235969,1.5636096,0,0.0022402173,0.0649663
29,191,10,1.2341665,1.5624939,0,0.002119799,0.061474167
29,192,10,1.2339981,1.5619088,0,0.00060884363,0.017656466
29,193,10,1.2335272,1.5617399,0,0.0005002586,0.014507499
29,194,10,1.2342595,1.5628192,0,0.0013043009,0.037824724
29,195,10,1.2341313,1.5621104,0,0.0007203096,0.020888979
29,196,10,1.2378416,1.5632924,0,0.0038939866,0.11292561
29,197,10,1.2344024,1.5629368,0,0.0034575232,0.10026817
29,198,10,1.2349632,1.5637894,0,0.0010204671,0.029593548
29,199,10,1.2340271,1.5617055,0,0.0022844658,0.06624951
29,200,10,1.2349017,1.5624427,0,0.0011437804,0.03316963
29,201,10,1.2353694,1.5624985,0,0.00047109244,0.013661681
29,202,10,1.2334894,1.562632,0,0.0018847847,0.054658756
29,203,10,1.2345998,1.5626848,0,0.0011116896,0.032238998
29,204,10,1.2337563,1.5627894,0,0.00084999367,0.024649816
29,205,10,1.2354692,1.5627565,0,0.0017132342,0.049683794
29,206,10,1.2337652,1.5627434,0,0.001704028,0.04941681
29,207,10,1.2370001,1.5623747,0,0.0032558087,0.09441845
29,208,10,1.2335378,1.5629152,0,0.0035042486,0.10162321
29,209,10,1.2340562,1.5629964,0,0.00052475877,0.015218005
29,210,10,1.2356573,1.562491,0,0.0016789513,0.04868959
29,211,10,1.2330177,1.5627968,0,0.0026573022,0.077061765
29,212,10,1.2349275,1.562361,0,0.0019589493,0.05680953
29,213,10,1.235445,1.5624431,0,0.00052396517,0.01519499
29,214,10,1.2358679,1.5632026,0,0.0008692544,0.025208378
29,215,10,1.2344365,1.5621805,0,0.0017588179,0.05100572
29,216,10,1.2360945,1.5623316,0,0.0016648283,0.04828002
29,217,10,1.2361593,1.5625738,0,0.00025076375,0.007272149
29,218,10,1.2346106,1.5620325,0,0.0016406453,0.047578715
29,219,10,1.234251,1.5629166,0,0.00095447974,0.027679913
29,220,10,1.2348897,1.5637627,0,0.001060062,0.030741798
29,221,10,1.2344264,1.5628695,0,0.0010061633,0.029178737
29,222,10,1.2349156,1.5625939,0,0.00056152715,0.016284287
29,223,10,1.2344339,1.5622846,0,0.0005724989,0.016602468
29,224,10,1.2354628,1.5624402,0,0.0010405898,0.030177103
29,225,10,1.234563,1.5639595,0,0.0017657762,0.05120751
29,226,10,1.2340406,1.563863,0,0.0005312029,0.015404884
29,227,10,1.2334869,1.5632244,0,0.00084523903,0.024511931
29,228,10,1.2356038,1.5630529,0,0.0021238576,0.06159187
29,229,10,1.236214,1.5627714,0,0.0006720114,0.01948833
29,230,10,1.2349416,1.5635836,0,0.0015095457,0.043776825
29,231,10,1.2341437,1.5632466,0,0.00086612074,0.025117502
29,232,10,1.2355324,1.5629346,0,0.0014232805,0.041275132
29,233,10,1.2341527,1.5632367,0,0.0014124094,0.040959872
29,234,10,1.2343129,1.5638328,0,0.0006172041,0.017898919
29,235,10,1.2337166,1.5634973,0,0.00068416784,0.019840868
29,236,10,1.2335753,1.5650417,0,0.0015508037,0.044973306
