fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,2,10,1.260598,0.5858304,0,0,0.0
29,3,10,1.2580473,0.5881337,0,0.0034366802,0.09966373
29,4,10,1.2592418,0.58794534,0,0.0012092359,0.03506784
29,5,10,1.2613126,0.5859814,0,0.002853963,0.08276493
29,6,10,1.2587057,0.58747923,0,0.0030065235,0.08718918
29,7,10,1.2637808,0.58348125,0,0.006460686,0.1873599
29,8,10,1.2614164,0.5847892,0,0.002702063,0.07835983
29,9,10,1.2600406,0.5863109,0,0.002051439,0.059491728
29,10,10,1.2607118,0.58507156,0,0.0014094154,0.040873047
29,11,10,1.2614957,0.5866067,0,0.0017236929,0.049987093
29,12,10,1.2617178,0.58711654,0,0.00055612763,0.016127702
29,13,10,1.263257,0.5881646,0,0.0018621811,0.054003254
29,14,10,1.2625879,0.5846903,0,0.0035382009,0.102607824
29,15,10,1.2619256,0.5885464,0,0.0039125895,0.11346509
29,16,10,1.2625221,0.58547133,0,0.0031323878,0.090839244
29,17,10,1.2646466,0.58598775,0,0.00218641,0.06340589
29,18,10,1.2621588,0.58754134,0,0.0029331371,0.08506098
29,19,10,1.2618219,0.58795494,0,0.000533436,0.015469644
29,20,10,1.2623498,0.5860075,0,0.002017764,0.058515154
29,21,10,1.2603062,0.58742064,0,0.002484625,0.072054125
29,22,10,1.2629033,0.5847669,0,0.0037131002,0.1076799
29,23,10,1.262236,0.58449054,0,0.0007223045,0.02094683
29,24,10,1.262813,0.58554393,0,0.0012010556,0.03483061
29,25,10,1.2622232,0.5846769,0,0.001048563,0.030408328
29,26,10,1.2620524,0.583847,0,0.0008473335,0.024572672
29,27,10,1.2608005,0.58689344,0,0.0032936635,0.09551624
29,28,10,1.2602035,0.585841,0,0.0012099742,0.03508925
29,29,10,1.2608197,0.58560854,0,0.0006585821,0.01909888
29,30,10,1.2609129,0.5854693,0,0.00016756213,0.0048593017
29,31,10,1.262258,0.58424884,0,0.0018163103,0.052673
29,32,10,1.2612122,0.58561194,0,0.0017180756,0.049824193
29,33,10,1.2611101,0.5836165,0,0.0019980578,0.057943676
29,34,10,1.2605481,0.5865976,0,0.003033629,0.08797524
29,35,10,1.2610995,0.5868789,0,0.0006189461,0.017949438
29,36,10,1.2616122,0.5868586,0,0.0005131219,0.014880535
29,37,10,1.2634124,0.5850291,0,0.0025666158,0.07443186
29,38,10,1.2602923,0.58742183,0,0.0039319033,0.1140252
29,39,10,1.2616229,0.5854299,0,0.002395477,0.06946883
29,40,10,1.2647744,0.5831347,0,0.003898731,0.1130632
29,41,10,1.2633754,0.5840094,0,0.0016499729,0.04784921
29,42,10,1.2618818,0.5858408,0,0.002363225,0.068533525
29,43,10,1.2589315,0.58756286,0,0.0034161012,0.099066935
29,44,10,1.260008,0.586665,0,0.0014017712,0.040651366
29,45,10,1.2618165,0.5847618,0,0.0026254219,0.07613724
29,46,10,1.2612051,0.5845918,0,0.00063461583,0.01840386
29,47,10,1.2618269,0.58713824,0,0.0026212465,0.07601615
29,48,10,1.2604786,0.5848371,0,0.0026670431,0.07734425
29,49,10,1.2611146,0.5844256,0,0.00075747236,0.021966698
29,50,10,1.2614489,0.58496994,0,0.00063875236,0.018523818
29,51,10,1.2603974,0.5855347,0,0.0011935006,0.034611516
29,52,10,1.2628756,0.5847202,0,0.0026085433,0.07564776
29,53,10,1.2594852,0.58662033,0,0.003886481,0.11270795
29,54,10,1.2600298,0.5860143,0,0.0008147646,0.023628173
29,55,10,1.2608588,0.5842769,0,0.0019249978,0.055824935
29,56,10,1.2603705,0.5850575,0,0.0009207212,0.026700916
29,57,10,1.260848,0.58584213,0,0.00091853645,0.026637558
29,58,10,1.2604607,0.5854178,0,0.00057451014,0.016660795
29,59,10,1.2599866,0.5877355,0,0.00236566,0.06860414
29,60,10,1.2612249,0.5875696,0,0.0012492886,0.03622937
29,61,10,1.262464,0.58559394,0,0.00233212,0.06763148
29,62,10,1.260839,0.586053,0,0.0016886602,0.048971146
29,63,10,1.2606633,0.5862571,0,0.00026930802,0.0078099323
29,64,10,1.2599503,0.58738947,0,0.0013381388,0.038806025
29,65,10,1.2601259,0.5871611,0,0.00028805438,0.008353577
29,66,10,1.2604179,0.5856222,0,0.0015664013,0.04542564
29,67,10,1.2613081,0.58525467,0,0.0009630235,0.027927682
29,68,10,1.2622005,0.58447015,0,0.0011882108,0.034458112
29,69,10,1.2611129,0.5848109,0,0.0011396817,0.033050768
29,70,10,1.2595843,0.58692294,0,0.002607174,0.075608045
29,71,10,1.2642496,0.5832086,0,0.0059632882,0.17293537
29,72,10,1.2603801,0.5865321,0,0.005100783,0.14792271
29,73,10,1.2618153,0.5840176,0,0.0028952726,0.0839629
29,74,10,1.2583311,0.5856322,0,0.0038401852,0.11136537
29,75,10,1.2541336,0.58184177,0,0.0056556384,0.16401352
29,76,10,1.2450519,0.5830321,0,0.009159394,0.2656224
29,77,10,1.2346307,0.5797921,0,0.010913205,0.31648296
29,78,10,1.2247651,0.5726019,0,0.01220776,0.35402504
29,79,10,1.2035553,0.571038,0,0.021267297,0.6167516
29,80,10,1.1816525,0.5699464,0,0.021929985,0.6359696
29,81,10,1.1565858,0.57012933,0,0.0250674,0.7269546
29,82,10,1.1311105,0.57205683,0,0.025548078,0.74089426
29,83,10,1.1044923,0.5693796,0,0.026752537,0.7758236
29,84,10,1.0786438,0.5774007,0,0.027064418,0.7848681
29,85,10,1.054077,0.57526624,0,0.024659319,0.71512026
29,86,10,1.0290723,0.5837969,0,0.026419872,0.7661763
29,87,10,1.005949,0.585329,0,0.023173964,0.67204493
29,88,10,1.005677,0.5853412,0,0.00027230987,0.007896987
29,89,10,0.9638289,0.598369,0,0.043829028,1.2710418
29,90,10,0.937642,0.6101159,0,0.028700963,0.8323279
29,91,10,0.908302,0.6242684,0,0.032574955,0.9446737
29,92,10,0.8890917,0.6357132,0,0.022361144,0.6484732
29,93,10,0.86521894,0.6476206,0,0.026677584,0.77364993
29,94,10,0.84499556,0.66116166,0,0.024338137,0.70580596
29,95,10,0.82490236,0.67691386,0,0.025531715,0.74041975
29,96,10,0.80560017,0.68929344,0,0.022930956,0.6649977
29,97,10,0.78533214,0.70482194,0,0.025532862,0.740453
29,98,10,0.7684458,0.7263344,0,0.02734839,0.79310334
29,99,10,0.7460145,0.73923516,0,0.025876509,0.7504188
29,100,10,0.72802025,0.75966614,0,0.027225304,0.78953385
29,101,10,0.7274881,0.76009613,0,0.000684159,0.019840611
29,102,10,0.6966427,0.80045784,0,0.05079868,1.4731617
29,103,10,0.68387336,0.82391095,0,0.02670402,0.7744166
29,104,10,0.6703115,0.84591305,0,0.025846006,0.7495342
29,105,10,0.65994275,0.86301136,0,0.019996583,0.5799009
29,106,10,0.64959395,0.8920805,0,0.030856308,0.8948329
29,107,10,0.6397598,0.914955,0,0.0248989,0.7220681
29,108,10,0.63454676,0.93820596,0,0.02382817,0.6910169
29,109,10,0.6275136,0.96255386,0,0.025343357,0.73495734
29,110,10,0.619332,0.98832214,0,0.027035946,0.7840424
29,111,10,0.6137101,1.0149224,0,0.027187841,0.7884474
29,112,10,0.61064637,1.0399452,0,0.025209725,0.731082
29,113,10,0.6086277,1.0680131,0,0.028140327,0.8160695
29,114,10,0.6078055,1.0967883,0,0.02878696,0.8348218
29,115,10,0.60691696,1.1221902,0,0.025417484,0.73710704
29,116,10,0.6081419,1.147563,0,0.025402294,0.73666656
29,117,10,0.61225885,1.1754714,0,0.028210469,0.8181036
29,118,10,0.6169078,1.2007321,0,0.025684914,0.7448625
29,119,10,0.6219287,1.2290083,0,0.02871852,0.8328371
29,120,10,0.6285374,1.2516044,0,0.023542726,0.6827391
29,121,10,0.63724685,1.2796127,0,0.029331122,0.8506025
29,122,10,0.6450625,1.3023821,0,0.02407348,0.6981309
29,123,10,0.65581656,1.3262864,0,0.026211949,0.7601465
29,124,10,0.6560203,1.3241378,0,0.002158265,0.06258969
29,125,10,0.65504485,1.3230609,0,0.0014530163,0.042137474
29,126,10,0.6555927,1.3212698,0,0.0018730251,0.054317728
29,127,10,0.6544501,1.3220819,0,0.0014018101,0.04065249
29,128,10,0.6576512,1.3199939,0,0.0038218934,0.11083491
29,129,10,0.74590033,1.4624643,0,0.16758804,4.860053
29,130,10,0.76793736,1.481802,0,0.029318519,0.8502371
29,131,10,0.78234285,1.5031613,0,0.02576313,0.74713075
29,132,10,0.79906905,1.5174996,0,0.022030687,0.6388899
29,133,10,0.82188267,1.539115,0,0.031427473,0.91139674
29,134,10,0.8445123,1.5547233,0,0.027490344,0.79722
29,135,10,0.8662531,1.5701154,0,0.026637971,0.7725012
29,136,10,0.890772,1.5831364,0,0.027761899,0.8050951
29,137,10,0.9151211,1.5959657,0,0.027522163,0.79814273
29,138,10,0.938437,1.607108,0,0.025841465,0.7494025
29,139,10,0.9646063,1.6173706,0,0.028109668,0.81518036
29,140,10,0.9903709,1.6250591,0,0.026887363,0.77973354
29,141,10,1.0170909,1.6337411,0,0.028095108,0.8147581
29,142,10,1.045378,1.639133,0,0.028796341,0.8350939
29,143,10,1.0717089,1.6417601,0,0.026461683,0.7673888
29,144,10,1.0988082,1.6434462,0,0.027151655,0.787398
29,145,10,1.1264693,1.6464738,0,0.027826278,0.8069621
29,146,10,1.151127,1.6492603,0,0.024814676,0.7196256
29,147,10,1.1800023,1.6479561,0,0.028904788,0.83823884
29,148,10,1.2077041,1.6455348,0,0.02780736,0.8064135
29,149,10,1.2344614,1.640791,0,0.027174601,0.78806347
29,150,10,1.2623615,1.635372,0,0.028421493,0.8242233
29,151,10,1.2890602,1.6299646,0,0.027240807,0.7899834
29,152,10,1.3178391,1.6209744,0,0.030150436,0.87436265
29,153,10,1.316765,1.6219937,0,0.0014807916,0.042942956
29,154,10,1.3709444,1.6035298,0,0.057239186,1.6599364
29,155,10,1.3716534,1.6010487,0,0.002580433,0.07483256
29,156,10,1.3731874,1.6017454,0,0.0016847684,0.04885828
29,157,10,1.4406269,1.564781,0,0.07690543,2.2302575
29,158,10,1.4415119,1.56702,0,0.0024076642,0.06982226
29,159,10,1.4399669,1.5664172,0,0.0016584016,0.048093647
29,160,10,1.43643,1.5629517,0,0.0049517537,0.14360085
29,161,10,1.4371578,1.5633484,0,0.00082888274,0.0240376
29,162,10,1.440526,1.5697157,0,0.0072033326,0.20889665
29,163,10,1.4416457,1.5685184,0,0.0016393353,0.047540724
29,164,10,1.4360751,1.5632762,0,0.0076493854,0.22183217
29,165,10,1.436885,1.5628383,0,0.00092068914,0.026699984
29,166,10,1.4380617,1.5634593,0,0.0013305077,0.038584724
29,167,10,1.6214528,1.3726823,0,0.26462832,7.6742215
29,168,10,1.6394619,1.3505268,0,0.028551597,0.8279963
29,169,10,1.6389909,1.3500216,0,0.00069070485,0.02003044
29,170,10,1.6384379,1.3501132,0,0.0005605391,0.016255634
29,171,10,1.6390172,1.3492367,0,0.0010506086,0.030467648
29,172,10,1.6747091,1.2468668,0,0.108413585,3.1439939
29,173,10,1.6808785,1.2208077,0,0.026779495,0.77660537
29,174,10,1.6854799,1.1984987,0,0.022778533,0.6605775
29,175,10,1.6873801,1.1722376,0,0.026329748,0.7635627
29,176,10,1.6902599,1.1446118,0,0.0277755,0.8054895
29,177,10,1.6901594,1.1171852,0,0.027426785,0.7953768
29,178,10,1.6866485,1.0872062,0,0.030183882,0.8753326
29,179,10,1.6858453,1.0668004,0,0.020421691,0.59222907
29,180,10,1.6821982,1.0410539,0,0.026003493,0.7541013
29,181,10,1.6829754,1.0400002,0,0.0013093409,0.037970886
29,182,10,1.6719824,0.98740566,0,0.05373111,1.5582021
29,183,10,1.6641145,0.9628374,0,0.02579736,0.7481234
29,184,10,1.6553173,0.9370303,0,0.027265284,0.7906932
29,185,10,1.6431402,0.9079385,0,0.031537548,0.91458887
29,186,10,1.6325208,0.88458204,0,0.025657257,0.74406046
29,187,10,1.6218511,0.8637063,0,0.023444396,0.6798875
29,188,10,1.6077894,0.8374419,0,0.029791746,0.8639606
29,189,10,1.5910354,0.8166776,0,0.026680626,0.77373815
29,190,10,1.5760922,0.7952106,0,0.026155835,0.75851923
29,191,10,1.5647383,0.77054054,0,0.027157405,0.78756475
