fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.7616455,1.7381667,0,0,0.0
29,1,10,0.7602371,1.7393574,0,0.0018442512,0.053483285
29,2,10,0.7589976,1.736568,0,0.003052366,0.08851861
29,3,10,0.7597868,1.7413011,0,0.004798425,0.13915433
29,4,10,0.7600655,1.7403694,0,0.00097241806,0.028200123
29,5,10,0.7597705,1.740589,0,0.00036773918,0.010664436
29,6,10,0.7605471,1.7380908,0,0.0026161878,0.07586945
29,7,10,0.7593326,1.7361767,0,0.002266828,0.065738015
29,8,10,0.75973994,1.7367374,0,0.0006929957,0.020096874
29,9,10,0.7608358,1.736744,0,0.0010959114,0.03178143
29,10,10,0.75998145,1.7364876,0,0.0008920224,0.025868649
29,11,10,0.7606255,1.7382103,0,0.0018391425,0.053335134
29,12,10,0.75999224,1.7387573,0,0.0008367362,0.024265349
29,13,10,0.7608405,1.7380362,0,0.0011133199,0.032286275
29,14,10,0.76091784,1.7382835,0,0.00025917607,0.007516106
29,15,10,0.76116574,1.7380736,0,0.0003248413,0.009420398
29,16,10,0.7613536,1.7374339,0,0.0006666958,0.019334178
29,17,10,0.759713,1.7359396,0,0.002219127,0.06435468
29,18,10,0.76358,1.7380639,0,0.0044120983,0.12795085
29,19,10,0.7598586,1.7362703,0,0.004131104,0.11980201
29,20,10,0.76025665,1.7371856,0,0.0009980929,0.028944695
29,21,10,0.75986856,1.7365036,0,0.0007846844,0.022755846
29,22,10,0.75977993,1.7387987,0,0.0022968473,0.06660857
29,23,10,0.7586751,1.7401091,0,0.0017139622,0.049704902
29,24,10,0.76053184,1.738465,0,0.0024800561,0.07192163
29,25,10,0.7602669,1.7398962,0,0.0014555426,0.042210735
29,26,10,0.7602709,1.7389767,0,0.0009194699,0.026664628
29,27,10,0.7604024,1.7343827,0,0.0045958497,0.13327964
29,28,10,0.7613178,1.7359759,0,0.0018373843,0.053284146
29,29,10,0.7604356,1.7392814,0,0.0034212545,0.09921638
29,30,10,0.760386,1.737145,0,0.0021370444,0.06197429
29,31,10,0.76150775,1.7382425,0,0.001569389,0.04551228
29,32,10,0.76022416,1.7394059,0,0.0017323416,0.050237905
29,33,10,0.7600229,1.7382991,0,0.0011248941,0.03262193
29,34,10,0.759692,1.7372295,0,0.0011196673,0.032470353
29,35,10,0.75776017,1.7369399,0,0.0019534263,0.05664936
29,36,10,0.759932,1.7361696,0,0.0023043843,0.06682714
29,37,10,0.75950724,1.7392693,0,0.0031286455,0.09073072
29,38,10,0.7603746,1.7372012,0,0.0022425712,0.06503457
29,39,10,0.75901324,1.7347217,0,0.0028286944,0.08203214
29,40,10,0.7602443,1.7361602,0,0.0018933626,0.054907516
29,41,10,0.7602506,1.7377042,0,0.0015440116,0.04477634
29,42,10,0.7593632,1.7381899,0,0.0010117084,0.029339544
29,43,10,0.7600065,1.7394896,0,0.001450125,0.042053625
29,44,10,0.75947493,1.7401044,0,0.00081279094,0.023570938
29,45,10,0.7604431,1.737637,0,0.00265054,0.076865666
29,46,10,0.7605575,1.737331,0,0.00032668846,0.0094739655
29,47,10,0.7576747,1.7387469,0,0.0032117036,0.0931394
29,48,10,0.7575893,1.7376118,0,0.00113832,0.03301128
29,49,10,0.7560922,1.7374134,0,0.0015101742,0.043795053
29,50,10,0.7562955,1.7390367,0,0.0016359555,0.047442712
29,51,10,0.76350266,1.7386248,0,0.007218914,0.20934851
29,52,10,0.76057345,1.7386123,0,0.0029292374,0.084947884
29,53,10,0.7614408,1.7381451,0,0.0009851819,0.028570276
29,54,10,0.7601194,1.7371354,0,0.0016630364,0.048228055
29,55,10,0.760397,1.7355357,0,0.0016235842,0.04708394
29,56,10,0.76047474,1.7377445,0,0.002210077,0.064092234
29,57,10,0.7603525,1.739915,0,0.0021740026,0.063046075
29,58,10,0.7602243,1.7394574,0,0.0004752643,0.013782665
29,59,10,0.7597751,1.7405174,0,0.0011512525,0.033386324
29,60,10,0.7599299,1.7384069,0,0.0021161502,0.061368357
29,61,10,0.7606776,1.7397468,0,0.0015344027,0.04449768
29,62,10,0.7613006,1.7388351,0,0.0011042681,0.032023776
29,63,10,0.76176035,1.7381507,0,0.00082445674,0.023909247
29,64,10,0.76733404,1.7383105,0,0.005575978,0.16170336
29,65,10,0.7660981,1.7393167,0,0.0015937792,0.0462196
29,66,10,0.7674776,1.7404847,0,0.0018075525,0.05241902
29,67,10,0.77193195,1.7392054,0,0.0046344576,0.13439927
29,68,10,0.77453333,1.7369795,0,0.0034237008,0.09928732
29,69,10,0.7742693,1.7362983,0,0.0007305499,0.021185948
