fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.6451317,1.2751635,0,0,0.0
29,1,10,1.6446121,1.2761362,0,0.0011027353,0.031979322
29,2,10,1.6423887,1.2691479,0,0.0073334533,0.21267015
29,3,10,1.6460271,1.2741702,0,0.006201712,0.17984965
29,4,10,1.6448631,1.27399,0,0.0011778144,0.03415662
29,5,10,1.645476,1.272396,0,0.0017078172,0.0495267
29,6,10,1.6447065,1.2715538,0,0.0011408102,0.033083495
29,7,10,1.6454945,1.27344,0,0.00204422,0.05928238
29,8,10,1.6449527,1.273935,0,0.00073385035,0.02128166
29,9,10,1.6448209,1.2728798,0,0.0010633123,0.030836057
29,10,10,1.6447775,1.2728235,0,7.1149574e-05,0.0020633377
29,11,10,1.64486,1.2700199,0,0.0028047774,0.08133855
29,12,10,1.6478564,1.2733471,0,0.0044775624,0.12984931
29,13,10,1.6442556,1.2729783,0,0.0036195577,0.10496718
29,14,10,1.6450716,1.2720597,0,0.001228703,0.035632387
29,15,10,1.6437616,1.2699808,0,0.0024572064,0.071258985
29,16,10,1.6466639,1.2735959,0,0.004635991,0.13444375
29,17,10,1.6463958,1.2717339,0,0.001881251,0.05455628
29,18,10,1.6444616,1.2692187,0,0.00317289,0.09201381
29,19,10,1.644886,1.2710568,0,0.0018864438,0.05470687
29,20,10,1.6443038,1.2736883,0,0.0026951823,0.078160286
29,21,10,1.6459956,1.2737359,0,0.0016924867,0.049082115
29,22,10,1.6457317,1.274068,0,0.00042421746,0.0123023065
29,23,10,1.6448476,1.2728635,0,0.001494106,0.043329075
29,24,10,1.646162,1.272347,0,0.0014122531,0.040955342
29,25,10,1.6442099,1.2746817,0,0.0030433307,0.08825659
29,26,10,1.6449294,1.2751958,0,0.00088436314,0.025646532
29,27,10,1.6433156,1.2706506,0,0.0048232228,0.13987346
29,28,10,1.6443142,1.2684659,0,0.0024021575,0.06966257
29,29,10,1.642274,1.2721443,0,0.0042063203,0.12198329
29,30,10,1.6454115,1.2745099,0,0.0039293417,0.11395091
29,31,10,1.6452073,1.2739431,0,0.00060250115,0.017472534
29,32,10,1.6473757,1.2778193,0,0.0044415123,0.12880386
29,33,10,1.6474137,1.2754711,0,0.0023484924,0.06810628
29,34,10,1.6465352,1.2753557,0,0.0008861182,0.025697429
29,35,10,1.6424953,1.2719367,0,0.0052924952,0.15348236
29,36,10,1.645424,1.2724421,0,0.0029720294,0.08618885
29,37,10,1.6462214,1.2735925,0,0.001399708,0.04059153
29,38,10,1.6465839,1.2726411,0,0.0010181342,0.029525891
29,39,10,1.642941,1.2719601,0,0.0037060084,0.107474245
29,40,10,1.6433257,1.2755673,0,0.0036276085,0.10520065
29,41,10,1.6497438,1.2728604,0,0.006965583,0.20200191
29,42,10,1.6430057,1.2761995,0,0.0075200275,0.2180808
29,43,10,1.6439027,1.2751744,0,0.0013620849,0.03950046
29,44,10,1.6436864,1.2727985,0,0.002385662,0.0691842
29,45,10,1.6432915,1.2701839,0,0.0026442772,0.076684035
29,46,10,1.6432322,1.2748247,0,0.0046411958,0.13459468
29,47,10,1.6446242,1.2733718,0,0.00201213,0.058351774
29,48,10,1.6434524,1.2703103,0,0.0032781342,0.09506589
29,49,10,1.6438463,1.2734236,0,0.0031380854,0.091004476
29,50,10,1.644288,1.2732532,0,0.00047338346,0.01372812
29,51,10,1.6438651,1.2735212,0,0.000500604,0.014517516
29,52,10,1.6452024,1.2735697,0,0.0013381697,0.03880692
29,53,10,1.6444887,1.2747527,0,0.0013816452,0.04006771
29,54,10,1.6442249,1.2713871,0,0.0033759591,0.09790281
29,55,10,1.643044,1.2756888,0,0.004460811,0.12936352
29,56,10,1.642102,1.2709855,0,0.004796689,0.13910398
29,57,10,1.6421247,1.2728913,0,0.0019059335,0.055272073
29,58,10,1.6445107,1.2761402,0,0.004031003,0.11689909
29,59,10,1.6506891,1.2744403,0,0.006407973,0.18583122
29,60,10,1.6456382,1.2728814,0,0.005285994,0.15329383
29,61,10,1.6462137,1.2736522,0,0.00096190214,0.027895162
29,62,10,1.6455226,1.2751733,0,0.0016707293,0.048451148
29,63,10,1.6456802,1.2739335,0,0.0012497528,0.03624283
29,64,10,1.6451669,1.2724534,0,0.0015665874,0.045431033
29,65,10,1.6428077,1.2728684,0,0.0023953696,0.06946572
29,66,10,1.6447469,1.2705928,0,0.0029897662,0.08670322
29,67,10,1.6416895,1.2706754,0,0.0030584766,0.088695824
29,68,10,1.6448219,1.2724376,0,0.0035939885,0.104225665
29,69,10,1.6439066,1.2736458,0,0.00151574,0.04395646
29,70,10,1.6455617,1.2766836,0,0.0034594296,0.10032346
29,71,10,1.6453975,1.2732449,0,0.003442627,0.09983618
29,72,10,1.6467746,1.2765156,0,0.00354883,0.10291607
29,73,10,1.6446582,1.2744365,0,0.002966834,0.08603819
29,74,10,1.6449101,1.2739536,0,0.0005446621,0.015795201
29,75,10,1.6431392,1.2708191,0,0.0036001315,0.104403816
29,76,10,1.6440593,1.2722807,0,0.001727094,0.050085723
29,77,10,1.6447046,1.269918,0,0.0024492592,0.071028516
