fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.79050046,0.5590542,0,0,0.0
29,1,10,0.7908402,0.55583894,0,0.0032331536,0.09376145
29,2,10,0.7894493,0.5556805,0,0.0013999275,0.040597897
29,3,10,0.79063845,0.5551003,0,0.0013231602,0.03837165
29,4,10,0.78586036,0.5550322,0,0.004778573,0.13857861
29,5,10,0.7881734,0.55589515,0,0.0024687538,0.07159386
29,6,10,0.7901012,0.55686474,0,0.0021578898,0.062578805
29,7,10,0.7906128,0.5539523,0,0.0029570619,0.0857548
29,8,10,0.78929555,0.5575679,0,0.0038480998,0.11159489
29,9,10,0.7912035,0.55754507,0,0.0019080812,0.055334356
29,10,10,0.7911082,0.5575411,0,9.539146e-05,0.0027663521
29,11,10,0.7921454,0.5556535,0,0.002153747,0.062458664
29,12,10,0.7885856,0.5562688,0,0.0036125535,0.10476405
29,13,10,0.790272,0.5570094,0,0.0018418457,0.053413525
29,14,10,0.79073375,0.5574639,0,0.00064790173,0.01878915
29,15,10,0.7891643,0.5575444,0,0.0015715144,0.045573916
29,16,10,0.7915446,0.55551,0,0.0031312571,0.090806454
29,17,10,0.791317,0.5562993,0,0.0008215108,0.023823813
29,18,10,0.7924753,0.5561904,0,0.0011634105,0.033738904
29,19,10,0.79214317,0.55666643,0,0.0005804628,0.01683342
29,20,10,0.7913261,0.5567459,0,0.0008209145,0.023806522
29,21,10,0.7913917,0.55776095,0,0.0010171824,0.029498288
29,22,10,0.7909424,0.5527976,0,0.004983633,0.14452535
29,23,10,0.7910174,0.5568596,0,0.00406269,0.117818005
29,24,10,0.79077905,0.55574286,0,0.001141907,0.0331153
29,25,10,0.7902034,0.5579967,0,0.0023261853,0.067459375
29,26,10,0.79108906,0.5554267,0,0.0027183022,0.07883076
29,27,10,0.7901793,0.55787027,0,0.0026074094,0.07561487
29,28,10,0.7901793,0.55787027,0,0.0,0.0
29,29,10,0.7913548,0.5563527,0,0.0019195846,0.05566795
29,30,10,0.79156446,0.5554443,0,0.000932263,0.027035626
29,31,10,0.7902587,0.556507,0,0.0016835436,0.048822764
29,32,10,0.79137415,0.5575443,0,0.0015232202,0.044173386
29,33,10,0.7906418,0.5587018,0,0.001369749,0.03972272
29,34,10,0.7915215,0.55680865,0,0.0020875693,0.06053951
29,35,10,0.7912262,0.55717033,0,0.00046690926,0.0135403685
29,36,10,0.79006964,0.5573909,0,0.0011774183,0.03414513
29,37,10,0.78910387,0.55632955,0,0.0014350077,0.04161522
29,38,10,0.7902537,0.556866,0,0.0012688129,0.036795575
29,39,10,0.79147667,0.55812216,0,0.0017531711,0.05084196
29,40,10,0.7917181,0.5550839,0,0.0030478667,0.08838814
29,41,10,0.79028344,0.55697376,0,0.002372758,0.06880998
29,42,10,0.7910792,0.55674046,0,0.000829273,0.024048917
29,43,10,0.7901981,0.5570681,0,0.0009400809,0.027262347
29,44,10,0.7918292,0.55714667,0,0.0016330314,0.04735791
29,45,10,0.7913377,0.55633837,0,0.00094600144,0.027434042
