fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.7201471,1.4831407,0,0,0.0
29,1,10,0.7186719,1.4866154,0,0.0037748788,0.109471485
29,2,10,0.72153217,1.4860041,0,0.0029248442,0.08482048
29,3,10,0.7179163,1.4861358,0,0.0036182548,0.10492939
29,4,10,0.71965253,1.4840543,0,0.0027105666,0.078606434
29,5,10,0.71854246,1.4867342,0,0.0029006433,0.08411866
29,6,10,0.719787,1.4847187,0,0.0023687587,0.068694
29,7,10,0.7194574,1.4859997,0,0.0013227491,0.038359724
29,8,10,0.71930486,1.4850895,0,0.00092285505,0.026762797
29,9,10,0.72075504,1.4864249,0,0.0019713629,0.057169523
29,10,10,0.7201542,1.4861364,0,0.00066648546,0.019328078
29,11,10,0.7172282,1.4875863,0,0.0032655422,0.094700724
29,12,10,0.71626985,1.4882212,0,0.0011495621,0.0333373
29,13,10,0.71877533,1.4854431,0,0.0037409912,0.108488746
29,14,10,0.7198041,1.4854224,0,0.0010289853,0.029840572
29,15,10,0.7170607,1.4869442,0,0.0031372476,0.09098018
29,16,10,0.71835166,1.4856553,0,0.0018242426,0.052903038
29,17,10,0.7180823,1.4861041,0,0.00052344374,0.015179869
29,18,10,0.7213013,1.4855328,0,0.0032693238,0.09481039
29,19,10,0.7199955,1.4858136,0,0.0013356806,0.038734738
29,20,10,0.7174707,1.4863379,0,0.0025786532,0.07478094
29,21,10,0.71958536,1.484579,0,0.0027505646,0.07976637
29,22,10,0.7168488,1.4847006,0,0.0027392684,0.07943878
29,23,10,0.7215276,1.4852403,0,0.0047098193,0.13658476
29,24,10,0.71713275,1.4861126,0,0.0044805524,0.12993602
29,25,10,0.7203837,1.4846206,0,0.0035769893,0.10373269
29,26,10,0.72043073,1.4857225,0,0.0011029737,0.031986237
29,27,10,0.72020483,1.486548,0,0.00085575995,0.024817038
29,28,10,0.7190957,1.4858102,0,0.0013320972,0.03863082
29,29,10,0.7194559,1.4840384,0,0.0018080486,0.05243341
29,30,10,0.71981674,1.4852586,0,0.0012724631,0.03690143
29,31,10,0.7211359,1.4857177,0,0.0013967674,0.040506255
29,32,10,0.7201165,1.4848037,0,0.0013691488,0.039705317
29,33,10,0.7205756,1.485597,0,0.00091658864,0.026581071
29,34,10,0.718258,1.4861939,0,0.0023931768,0.06940213
29,35,10,0.72141254,1.4861717,0,0.0031545942,0.091483235
29,36,10,0.7173778,1.4869564,0,0.0041103433,0.119199954
29,37,10,0.7217262,1.485865,0,0.0044832607,0.13001455
29,38,10,0.72049034,1.4862716,0,0.0013010185,0.03772954
29,39,10,0.7205813,1.4837164,0,0.0025568695,0.074149214
29,40,10,0.71904457,1.483992,0,0.0015612468,0.045276158
29,41,10,0.7197668,1.4865811,0,0.0026879525,0.07795062
29,42,10,0.7219121,1.4833013,0,0.0039191064,0.113654085
29,43,10,0.72158635,1.4854921,0,0.0022149119,0.064232446
29,44,10,0.7199513,1.4835587,0,0.0025321373,0.07343198
29,45,10,0.71952385,1.4837711,0,0.00047730384,0.013841812
29,46,10,0.71790695,1.4843959,0,0.0017334056,0.05026876
29,47,10,0.719838,1.4851866,0,0.002086688,0.060513955
29,48,10,0.7205126,1.4850607,0,0.0006862503,0.019901259
29,49,10,0.72195494,1.4852796,0,0.0014588251,0.042305928
29,50,10,0.7194011,1.4859798,0,0.0026480802,0.07679433
29,51,10,0.7203833,1.4857306,0,0.0010132735,0.029384932
29,52,10,0.72068864,1.4855089,0,0.00037736626,0.010943621
29,53,10,0.7174859,1.4860029,0,0.003240611,0.09397772
29,54,10,0.71983135,1.4839488,0,0.0031177572,0.090414956
29,55,10,0.7178653,1.4843056,0,0.0019981717,0.05794698
29,56,10,0.72010887,1.4851422,0,0.0023944858,0.06944009
29,57,10,0.7176891,1.4863683,0,0.0027126605,0.07866716
29,58,10,0.7173215,1.4877719,0,0.0014509051,0.04207625
