fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.3049426,1.6198475,0,0,0.0
29,1,10,1.306968,1.6189753,0,0.0022052063,0.063950986
29,2,10,1.3052481,1.6197912,0,0.0019035401,0.055202663
29,3,10,1.305429,1.6201932,0,0.00044088776,0.012785745
29,4,10,1.3066566,1.6204858,0,0.0012619919,0.036597766
29,5,10,1.3053185,1.6198846,0,0.0014669645,0.04254197
29,6,10,1.3069649,1.6193116,0,0.0017432743,0.050554954
29,7,10,1.3055292,1.6202878,0,0.0017360965,0.0503468
29,8,10,1.304973,1.6192902,0,0.0011421406,0.033122078
29,9,10,1.3062351,1.6198491,0,0.001380266,0.040027715
29,10,10,1.3044995,1.6204046,0,0.0018223044,0.05284683
29,11,10,1.3054401,1.6191163,0,0.0015951047,0.046258036
29,12,10,1.3072673,1.6201048,0,0.0020774757,0.060246795
29,13,10,1.3074471,1.6188552,0,0.0012624167,0.036610086
29,14,10,1.3076068,1.61943,0,0.000596495,0.017298356
29,15,10,1.305687,1.6187491,0,0.0020370022,0.059073064
29,16,10,1.3070219,1.6184018,0,0.0013793632,0.040001534
29,17,10,1.3078265,1.6180894,0,0.0008631518,0.025031403
29,18,10,1.3065524,1.6194174,0,0.0018403572,0.05337036
29,19,10,1.3069832,1.6187718,0,0.0007761802,0.022509225
29,20,10,1.3069838,1.6196271,0,0.0008553268,0.024804479
29,21,10,1.3061236,1.6178079,0,0.002012374,0.058358848
29,22,10,1.3057414,1.6193395,0,0.0015785648,0.04577838
29,23,10,1.307415,1.6187241,0,0.0017831245,0.051710613
29,24,10,1.3054338,1.6181346,0,0.0020670954,0.059945766
29,25,10,1.3070271,1.619816,0,0.0023163834,0.06717512
29,26,10,1.3060769,1.6192756,0,0.0010931233,0.031700578
29,27,10,1.3074557,1.619571,0,0.0014100642,0.04089186
29,28,10,1.3065876,1.6203061,0,0.0011375552,0.032989103
29,29,10,1.3062677,1.6195403,0,0.00082990783,0.024067327
29,30,10,1.3058562,1.6201258,0,0.00071559567,0.020752275
29,31,10,1.3071918,1.6209332,0,0.0015607001,0.045260303
29,32,10,1.3068281,1.6199206,0,0.0010759035,0.031201202
29,33,10,1.3073009,1.618995,0,0.0010394092,0.030142866
29,34,10,1.3069327,1.6183305,0,0.0007596859,0.02203089
29,35,10,1.3063567,1.6195359,0,0.0013359993,0.03874398
29,36,10,1.3072257,1.6191293,0,0.0009594609,0.027824366
29,37,10,1.30444,1.6197928,0,0.0028636141,0.08304481
29,38,10,1.3077474,1.6208255,0,0.0034648238,0.10047989
29,39,10,1.3052255,1.6207904,0,0.0025221177,0.07314141
29,40,10,1.3069469,1.6207817,0,0.0017214041,0.04992072
29,41,10,1.3062472,1.6197218,0,0.0012699849,0.03682956
29,42,10,1.3051727,1.6199863,0,0.0011066331,0.03209236
29,43,10,1.3058755,1.6202495,0,0.00075052714,0.021765286
29,44,10,1.3052844,1.6198323,0,0.0007235688,0.020983495
29,45,10,1.3069394,1.620451,0,0.0017668481,0.051238596
29,46,10,1.3054961,1.6199088,0,0.0015417396,0.044710446
29,47,10,1.3061885,1.6205122,0,0.0009184278,0.026634406
29,48,10,1.3067123,1.6202124,0,0.0006035389,0.017502628
29,49,10,1.3061537,1.6210142,0,0.0009772085,0.028339047
29,50,10,1.3063085,1.6211705,0,0.00022000888,0.0063802577
29,51,10,1.305981,1.6207408,0,0.0005402961,0.015668586
29,52,10,1.3051606,1.620966,0,0.0008507422,0.024671525
29,53,10,1.3043431,1.6205839,0,0.00090240873,0.026169853
29,54,10,1.3051996,1.6192921,0,0.0015499184,0.044947635
29,55,10,1.3065151,1.6206254,0,0.0018729637,0.054315947
29,56,10,1.3047696,1.620305,0,0.0017746316,0.051464316
29,57,10,1.3071812,1.6192759,0,0.0026219657,0.076037005
29,58,10,1.3046771,1.6194557,0,0.0025105546,0.07280608
29,59,10,1.3062907,1.6191059,0,0.001651088,0.04788155
29,60,10,1.307685,1.6185908,0,0.00148638,0.04310502
29,61,10,1.3086623,1.6187491,0,0.0009900171,0.028710496
29,62,10,1.3055526,1.6188337,0,0.0031108418,0.09021442
29,63,10,1.3058912,1.6186224,0,0.00039905004,0.011572451
29,64,10,1.3056524,1.6182094,0,0.00047710878,0.013836155
29,65,10,1.3072321,1.6197432,0,0.0022019062,0.06385528
29,66,10,1.3072757,1.6202233,0,0.00048202366,0.013978686
29,67,10,1.3067312,1.6189431,0,0.0013911454,0.040343218
29,68,10,1.307249,1.6195681,0,0.0008115929,0.023536194
29,69,10,1.306503,1.6198757,0,0.00080681394,0.023397604
29,70,10,1.3058805,1.619876,0,0.000622511,0.01805282
29,71,10,1.3058499,1.6189994,0,0.0008772003,0.025438808
29,72,10,1.3071239,1.6197984,0,0.0015038438,0.04361147
29,73,10,1.3082216,1.6189678,0,0.0013765462,0.039919842
29,74,10,1.3062927,1.6189165,0,0.0019296065,0.05595859
29,75,10,1.3066239,1.6194172,0,0.00060035626,0.017410332
29,76,10,1.3062209,1.619186,0,0.00046462394,0.013474095
29,77,10,1.3059177,1.6191777,0,0.00030326404,0.008794657
29,78,10,1.3066463,1.6192448,0,0.0007316917,0.02121906
29,79,10,1.3090756,1.6194901,0,0.0024416037,0.07080651
29,80,10,1.30737,1.6185124,0,0.0019660199,0.057014577
29,81,10,1.3067844,1.6199043,0,0.0015100421,0.043791223
29,82,10,1.3070275,1.6190479,0,0.00089022587,0.02581655
29,83,10,1.3066354,1.6187757,0,0.00047727817,0.0138410665
29,84,10,1.3101442,1.6191452,0,0.0035282006,0.10231782
29,85,10,1.3085204,1.6188633,0,0.0016480233,0.047792673
29,86,10,1.3065429,1.6185058,0,0.0020096188,0.058278944
29,87,10,1.3097992,1.6195097,0,0.0034075452,0.09881881
29,88,10,1.3079457,1.6186126,0,0.0020591344,0.0597149
29,89,10,1.3071918,1.618754,0,0.0007670224,0.022243649
29,90,10,1.3066727,1.6185658,0,0.00055222685,0.016014578
29,91,10,1.3064535,1.6183697,0,0.00029413417,0.008529891
29,92,10,1.3098923,1.6178521,0,0.0034775669,0.10084944
29,93,10,1.3086962,1.6192023,0,0.0018038041,0.052310318
29,94,10,1.3054852,1.6174109,0,0.0036767998,0.106627196
29,95,10,1.3064519,1.6183467,0,0.0013454203,0.03901719
29,96,10,1.3062822,1.6184877,0,0.00022069065,0.0064000287
29,97,10,1.3061507,1.6180624,0,0.00044519894,0.012910769
29,98,10,1.3081546,1.6182104,0,0.0020093704,0.05827174
29,99,10,1.3059149,1.6182374,0,0.0022398662,0.06495612
29,100,10,1.3068664,1.6182016,0,0.0009522004,0.027613811
29,101,10,1.3066399,1.6190395,0,0.0008679946,0.025171844
29,102,10,1.3060577,1.617607,0,0.0015463321,0.044843633
29,103,10,1.3054905,1.6174858,0,0.0005800099,0.016820287
29,104,10,1.3065425,1.6181401,0,0.0012389151,0.03592854
29,105,10,1.306056,1.6170031,0,0.0012367239,0.03586499
29,106,10,1.3062454,1.6188594,0,0.0018659666,0.05411303
29,107,10,1.306427,1.6189839,0,0.00022011681,0.0063833874
29,108,10,1.306959,1.6202707,0,0.0013925073,0.040382713
29,109,10,1.3046103,1.619746,0,0.0024066872,0.06979393
29,110,10,1.3056399,1.6196318,0,0.0010359249,0.030041821
29,111,10,1.3060133,1.6199632,0,0.000499316,0.014480165
29,112,10,1.3072964,1.620617,0,0.0014400531,0.04176154
29,113,10,1.3053062,1.618851,0,0.0026608177,0.07716371
29,114,10,1.3070549,1.6198397,0,0.0020088444,0.05825649
29,115,10,1.3066047,1.6188427,0,0.0010938577,0.03172187
29,116,10,1.3060253,1.6190301,0,0.0006090242,0.017661702
29,117,10,1.3068745,1.6201305,0,0.0013900168,0.040310487
29,118,10,1.3054287,1.6199126,0,0.0014621007,0.04240092
29,119,10,1.3068174,1.6189615,0,0.0016831898,0.048812505
29,120,10,1.3086878,1.6202867,0,0.0022923043,0.06647682
29,121,10,1.3050418,1.618607,0,0.0040143104,0.116415
29,122,10,1.3051511,1.6189597,0,0.00036917662,0.010706122
29,123,10,1.305522,1.61928,0,0.00049003994,0.014211158
29,124,10,1.305394,1.6192315,0,0.00013680418,0.0039673215
29,125,10,1.30492,1.6182604,0,0.0010806298,0.031338263
29,126,10,1.3055754,1.6200843,0,0.0019380879,0.05620455
29,127,10,1.307743,1.619739,0,0.0021949026,0.06365218
29,128,10,1.3073107,1.6185309,0,0.0012831821,0.03721228
29,129,10,1.310646,1.6191146,0,0.0033860581,0.09819569
29,130,10,1.3139625,1.6177957,0,0.0035690484,0.1035024
29,131,10,1.32142,1.6161429,0,0.007638462,0.2215154
29,132,10,1.32934,1.6119927,0,0.008941509,0.25930375
29,133,10,1.3411047,1.6058842,0,0.013256083,0.38442641
29,134,10,1.3585535,1.599426,0,0.018605588,0.53956205
29,135,10,1.3585181,1.59931,0,0.00012127388,0.0035169425
29,136,10,1.3971632,1.5786407,0,0.043825336,1.2709347
29,137,10,1.3939006,1.5776825,0,0.0034003223,0.09860934
29,138,10,1.3940284,1.5777156,0,0.00013201954,0.0038285668
