fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.8221036,1.6862669,0,0,0.0
29,1,10,0.8223835,1.6841067,0,0.00217825,0.063169256
29,2,10,0.8213097,1.6850424,0,0.0014242934,0.04130451
29,3,10,0.82083863,1.6862653,0,0.0013105511,0.03800598
29,4,10,0.82129663,1.6856068,0,0.00080212473,0.023261618
29,5,10,0.82463527,1.6850029,0,0.0033928154,0.098391645
29,6,10,0.82181716,1.6849889,0,0.0028181428,0.08172614
29,7,10,0.8208861,1.6846623,0,0.0009866758,0.028613599
29,8,10,0.8222817,1.6848177,0,0.0014042599,0.04072354
29,9,10,0.82214016,1.6846315,0,0.00023390552,0.00678326
29,10,10,0.8244056,1.6847548,0,0.0022688108,0.06579551
29,11,10,0.8223967,1.6849743,0,0.002020867,0.058605146
29,12,10,0.8214474,1.6862159,0,0.0015629132,0.045324482
29,13,10,0.8225311,1.6854641,0,0.0013189306,0.03824899
29,14,10,0.82301086,1.6833466,0,0.002171183,0.062964305
29,15,10,0.8229331,1.6851965,0,0.0018515243,0.053694207
29,16,10,0.82179284,1.6850501,0,0.0011495955,0.033338267
29,17,10,0.8216513,1.6846659,0,0.00040946066,0.011874359
29,18,10,0.82428455,1.6835427,0,0.0028628109,0.083021514
29,19,10,0.82195455,1.6846995,0,0.00260137,0.07543973
29,20,10,0.8223189,1.6853513,0,0.00074665644,0.021653038
29,21,10,0.8216599,1.6855131,0,0.00067858206,0.01967888
29,22,10,0.8242495,1.6845473,0,0.0027638336,0.08015118
29,23,10,0.82168704,1.6852746,0,0.0026636773,0.07724664
29,24,10,0.82226425,1.6836163,0,0.0017559042,0.05092122
29,25,10,0.822377,1.6845806,0,0.0009708558,0.028154818
29,26,10,0.82315946,1.6833999,0,0.0014163787,0.04107498
29,27,10,0.8223006,1.6857694,0,0.0025203673,0.07309065
29,28,10,0.8235536,1.6847191,0,0.0016350147,0.047415424
29,29,10,0.8223696,1.6841826,0,0.0012998983,0.03769705
29,30,10,0.8223909,1.6847919,0,0.00060965226,0.017679915
29,31,10,0.8237993,1.6844254,0,0.0014553206,0.042204298
29,32,10,0.821692,1.6834902,0,0.002305515,0.06685994
29,33,10,0.8218119,1.6856799,0,0.002193037,0.063598074
29,34,10,0.8238192,1.6838992,0,0.002683345,0.07781701
29,35,10,0.8243495,1.6853498,0,0.0015445481,0.044791896
29,36,10,0.82148,1.6857893,0,0.002903012,0.08418735
29,37,10,0.8220308,1.6842494,0,0.0016354878,0.047429144
29,38,10,0.82263476,1.6846789,0,0.00074112363,0.021492586
29,39,10,0.82221013,1.6837916,0,0.0009836471,0.028525766
29,40,10,0.8209189,1.6857874,0,0.00237707,0.06893503
29,41,10,0.8214882,1.6861608,0,0.000680797,0.019743113
29,42,10,0.82118255,1.6857272,0,0.00053047284,0.015383712
29,43,10,0.8211474,1.6843982,0,0.0013295296,0.038556356
29,44,10,0.82217556,1.6839724,0,0.0011128671,0.032273147
29,45,10,0.8220629,1.6842277,0,0.00027909206,0.00809367
29,46,10,0.82270825,1.6855384,0,0.0014609633,0.042367935
29,47,10,0.822055,1.6846216,0,0.0011257668,0.032647237
29,48,10,0.8221514,1.6844481,0,0.00019845772,0.005755274
29,49,10,0.82221204,1.6841595,0,0.000294903,0.008552187
29,50,10,0.8222931,1.6851413,0,0.0009851485,0.028569305
29,51,10,0.8209827,1.6849484,0,0.0013245272,0.03841129
29,52,10,0.8218652,1.684572,0,0.0009594487,0.027824013
29,53,10,0.8216846,1.6839519,0,0.00064589025,0.018730817
29,54,10,0.8221609,1.6847103,0,0.00089557096,0.025971558
29,55,10,0.8218746,1.684045,0,0.0007242861,0.021004297
29,56,10,0.8209909,1.6854105,0,0.001626539,0.047169633
29,57,10,0.8233543,1.6836742,0,0.0029326205,0.08504599
29,58,10,0.82264477,1.6824816,0,0.0013876817,0.04024277
29,59,10,0.8216928,1.6849755,0,0.0026693689,0.0774117
29,60,10,0.8222435,1.6838967,0,0.0012112642,0.03512666
29,61,10,0.8218767,1.6839862,0,0.00037757424,0.010949653
29,62,10,0.8218618,1.6839496,0,3.9514598e-05,0.0011459234
29,63,10,0.8222027,1.684674,0,0.00080062746,0.023218196
29,64,10,0.82159585,1.6845328,0,0.00062306004,0.018068742
29,65,10,0.8232017,1.683797,0,0.0017663962,0.05122549
29,66,10,0.82203937,1.6842806,0,0.0012589511,0.036509585
29,67,10,0.8222262,1.6846476,0,0.00041176655,0.01194123
