fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.1456239,0.703647,0,0,0.0
29,1,10,1.1453644,0.70668113,0,0.0030451934,0.08831061
29,2,10,1.1460037,0.7052579,0,0.0015602374,0.045246884
29,3,10,1.1453552,0.7046424,0,0.000894071,0.02592806
29,4,10,1.1445205,0.7040203,0,0.0010410238,0.03018969
29,5,10,1.1450039,0.70495963,0,0.0010563957,0.030635476
29,6,10,1.1456538,0.70314807,0,0.0019246226,0.055814054
29,7,10,1.1463857,0.7056858,0,0.0026411416,0.07659311
29,8,10,1.1453727,0.7024846,0,0.003357619,0.09737095
29,9,10,1.1397945,0.71011806,0,0.009454455,0.2741792
29,10,10,1.1448767,0.7011928,0,0.010270809,0.29785347
29,11,10,1.1452696,0.7042373,0,0.0030697356,0.08902233
29,12,10,1.1431504,0.70479333,0,0.0021909205,0.063536696
29,13,10,1.1455038,0.7059033,0,0.0026019372,0.07545618
29,14,10,1.145098,0.70376045,0,0.00218093,0.06324697
29,15,10,1.145586,0.7025841,0,0.0012735785,0.036933776
29,16,10,1.1458288,0.7055888,0,0.003014526,0.08742126
29,17,10,1.1445832,0.70354974,0,0.002389433,0.06929356
29,18,10,1.1453218,0.7037866,0,0.00077567226,0.022494495
29,19,10,1.1459172,0.7038272,0,0.00059671333,0.017304687
29,20,10,1.145591,0.70450526,0,0.00075242727,0.02182039
29,21,10,1.1449064,0.7031842,0,0.0014879343,0.043150093
29,22,10,1.1471242,0.70254797,0,0.002307223,0.06690946
29,23,10,1.1465695,0.7031777,0,0.0008391793,0.0243362
29,24,10,1.1449751,0.7028807,0,0.0016218519,0.047033705
29,25,10,1.1447062,0.70394903,0,0.0011016543,0.031947974
29,26,10,1.1451797,0.70353585,0,0.0006284256,0.018224344
29,27,10,1.1455402,0.7009697,0,0.0025913555,0.07514931
29,28,10,1.1450639,0.70143783,0,0.0006678843,0.019368645
29,29,10,1.1442292,0.7044994,0,0.0031733387,0.09202682
29,30,10,1.1448351,0.70393586,0,0.00082750607,0.023997676
29,31,10,1.1445134,0.70449084,0,0.00064149976,0.018603493
29,32,10,1.1455286,0.7033921,0,0.0014959476,0.04338248
29,33,10,1.1462095,0.70139515,0,0.0021098352,0.06118522
29,34,10,1.1449981,0.7026765,0,0.0017633166,0.05113618
29,35,10,1.1457639,0.70249736,0,0.00078646775,0.022807565
29,36,10,1.1462942,0.70321274,0,0.0008905309,0.025825396
29,37,10,1.1444579,0.7049086,0,0.0024995953,0.07248826
29,38,10,1.1456279,0.702658,0,0.0025365264,0.07355927
29,39,10,1.144808,0.7038574,0,0.0014528229,0.042131864
29,40,10,1.1455528,0.70672476,0,0.0029624691,0.0859116
29,41,10,1.1453464,0.70323825,0,0.0034926152,0.10128584
29,42,10,1.1466796,0.7050631,0,0.0022600042,0.06554012
29,43,10,1.1440314,0.7073139,0,0.003475515,0.100789934
29,44,10,1.1456279,0.702658,0,0.004921995,0.14273787
29,45,10,1.1437078,0.70417786,0,0.0024488305,0.07101609
29,46,10,1.1468687,0.7024383,0,0.0036080051,0.10463215
29,47,10,1.1463734,0.70328104,0,0.0009775297,0.02834836
29,48,10,1.1454755,0.7040094,0,0.0011561649,0.033528782
29,49,10,1.146666,0.702276,0,0.0021028898,0.060983803
29,50,10,1.146804,0.7029845,0,0.0007218203,0.020932788
29,51,10,1.1462234,0.7034449,0,0.00074094057,0.021487277
29,52,10,1.1455829,0.70437384,0,0.0011283534,0.03272225
29,53,10,1.1454866,0.70333874,0,0.0010395662,0.03014742
29,54,10,1.1444703,0.702901,0,0.0011065243,0.032089204
29,55,10,1.1438394,0.70154357,0,0.0014969176,0.04341061
29,56,10,1.140693,0.7015364,0,0.0031464181,0.09124613
29,57,10,1.1391765,0.69917333,0,0.0028078158,0.08142666
