fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.6953915,1.1915517,0,0,0.0
29,1,10,0.696041,1.1908528,0,0.0009541281,0.027669715
29,2,10,0.6956936,1.1917741,0,0.0009846776,0.02855565
29,3,10,0.69776225,1.1936378,0,0.002784369,0.0807467
29,4,10,0.6962028,1.1906835,0,0.0033406748,0.09687957
29,5,10,0.696604,1.1898258,0,0.00094690465,0.027460234
29,6,10,0.69555295,1.1898445,0,0.0010512349,0.030485813
29,7,10,0.6959729,1.1906104,0,0.0008735052,0.02533165
29,8,10,0.6955831,1.1910181,0,0.0005640666,0.01635793
29,9,10,0.69674546,1.1891173,0,0.002228019,0.06461255
29,10,10,0.6957528,1.1913208,0,0.0024167378,0.0700854
29,11,10,0.69457626,1.1912445,0,0.0011790072,0.03419121
29,12,10,0.69651455,1.1911262,0,0.0019418875,0.05631474
29,13,10,0.69822043,1.1896048,0,0.002285806,0.066288374
29,14,10,0.69525456,1.1906369,0,0.003140323,0.09106937
29,15,10,0.69556457,1.1909698,0,0.00045492753,0.013192899
29,16,10,0.6974737,1.1897801,0,0.0022494912,0.06523524
29,17,10,0.69520503,1.190837,0,0.0025027846,0.072580755
29,18,10,0.69561005,1.1919849,0,0.0012172235,0.03529948
29,19,10,0.69813293,1.1892222,0,0.0037413002,0.10849771
29,20,10,0.6978606,1.1904476,0,0.0012552505,0.036402266
29,21,10,0.6950108,1.191363,0,0.0029932307,0.08680369
29,22,10,0.6967259,1.1910137,0,0.001750328,0.050759513
29,23,10,0.6972292,1.189334,0,0.0017534442,0.05084988
29,24,10,0.69606465,1.1915396,0,0.0024941745,0.07233106
29,25,10,0.697528,1.1906836,0,0.0016953499,0.04916515
29,26,10,0.6969522,1.1907802,0,0.0005838213,0.016930819
29,27,10,0.6954298,1.1915566,0,0.0017089708,0.049560152
29,28,10,0.6954203,1.1911569,0,0.0003998211,0.011594811
29,29,10,0.69719696,1.1909163,0,0.0017928485,0.051992606
29,30,10,0.69510573,1.1881905,0,0.0034356136,0.09963279
29,31,10,0.6961356,1.1908127,0,0.0028172268,0.08169958
29,32,10,0.697536,1.1905713,0,0.0014210646,0.041210875
29,33,10,0.69686157,1.1892931,0,0.0014451814,0.04191026
29,34,10,0.6973897,1.1906366,0,0.0014435758,0.0418637
29,35,10,0.6959996,1.1908385,0,0.0014046739,0.040735543
29,36,10,0.6958599,1.1909289,0,0.00016645242,0.0048271203
29,37,10,0.6966574,1.1907501,0,0.00081731076,0.023702012
29,38,10,0.6958633,1.1909791,0,0.0008264723,0.023967696
29,39,10,0.69810635,1.1899123,0,0.0024838091,0.07203046
29,40,10,0.69637895,1.1905342,0,0.0018359456,0.053242423
29,41,10,0.69507086,1.190568,0,0.0013085185,0.037947036
29,42,10,0.69503546,1.190218,0,0.00035178466,0.010201755
29,43,10,0.6958912,1.1896626,0,0.0010201776,0.029585151
29,44,10,0.6976163,1.1898086,0,0.0017312475,0.050206177
29,45,10,0.69504344,1.1899666,0,0.0025776785,0.07475268
29,46,10,0.6951878,1.1907771,0,0.00082326005,0.023874542
29,47,10,0.6965234,1.1895001,0,0.0018478461,0.053587537
29,48,10,0.6950608,1.1904986,0,0.0017709623,0.051357906
29,49,10,0.6955327,1.1905634,0,0.00047632513,0.013813429
29,50,10,0.6955849,1.1905288,0,6.268697e-05,0.0018179222
29,51,10,0.697189,1.1912167,0,0.0017453819,0.050616074
29,52,10,0.69763666,1.1907732,0,0.0006301446,0.018274194
29,53,10,0.6960652,1.190297,0,0.0016420548,0.04761959
29,54,10,0.6971407,1.1898162,0,0.0011780723,0.034164097
29,55,10,0.69658595,1.1898317,0,0.00055495685,0.016093748
29,56,10,0.69517,1.1907482,0,0.0016866839,0.048913833
