fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
120,71,10,0.7618756,1.7675097,0.44946918,0,0.0
120,72,10,0.75893885,1.7698824,0.4533365,0.0037755242,0.4530629
120,73,10,0.7558413,1.7699608,0.45164415,0.0030985242,0.3718229
120,74,10,0.75021374,1.7710555,0.4560867,0.0057330565,0.68796676
120,75,10,0.7467394,1.7718611,0.4589659,0.0035665333,0.42798397
120,76,10,0.74343944,1.7736224,0.45934224,0.0037405773,0.44886926
120,77,10,0.73810977,1.7757351,0.46401787,0.0057331547,0.6879785
120,78,10,0.73518175,1.7724947,0.4640376,0.004367369,0.52408427
120,79,10,0.7347546,1.7736304,0.4636635,0.0012133704,0.14560443
120,80,10,0.72840893,1.7794348,0.47316492,0.008599945,1.0319934
120,81,10,0.7219049,1.7887272,0.48425916,0.011342434,1.3610921
120,82,10,0.7127776,1.7894058,0.48507833,0.009152455,1.0982946
120,83,10,0.71707124,1.7837453,0.48217595,0.007104704,0.85256445
120,84,10,0.7144874,1.7843599,0.48358378,0.0026559604,0.31871524
120,85,10,0.7095284,1.786919,0.48397,0.005580356,0.6696427
120,86,10,0.70084316,1.7946188,0.49565488,0.011606933,1.3928318
120,87,10,0.7045656,1.7874529,0.488624,0.008075069,0.9690082
120,88,10,0.6997233,1.7891275,0.49422723,0.005123646,0.61483747
120,89,10,0.69659483,1.7906859,0.49700236,0.0034951395,0.41941673
120,90,10,0.6952163,1.7845876,0.48874196,0.006252141,0.7502569
120,91,10,0.6924467,1.788798,0.49503723,0.0050396128,0.6047535
120,92,10,0.6839708,1.7837287,0.4935983,0.009876144,1.1851373
120,93,10,0.68232626,1.7830935,0.49586394,0.0017629843,0.2115581
120,94,10,0.6795184,1.7852298,0.49341723,0.0035281784,0.4233814
120,95,10,0.67994046,1.784489,0.4936333,0.0008525668,0.10230801
120,96,10,0.67744625,1.7909884,0.50279105,0.0069615687,0.8353882
120,97,10,0.67684644,1.7988333,0.5116003,0.007867702,0.9441242
120,98,10,0.6749103,1.8017862,0.51586115,0.0035310683,0.42372817
120,99,10,0.6716836,1.7994503,0.516459,0.00398347,0.4780164
120,100,10,0.66704446,1.8025354,0.5184209,0.005571334,0.6685601
120,101,10,0.6648356,1.7985888,0.51707464,0.0045227567,0.54273075
120,102,10,0.66014135,1.799449,0.5182717,0.00477239,0.57268673
120,103,10,0.65821534,1.8003188,0.52152205,0.0021133313,0.25359973
120,104,10,0.6634598,1.8119359,0.5305163,0.012745991,1.5295188
