fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.35907036,0.46434253999999997,0.0,0.0,0.0
29,1,10,0.36349893,0.4678555,0.0,0.0056527173,0.1639288
29,2,10,0.3737784,0.46026493,0.0,0.0127782915,
29,3,10,0.36076662,0.46761275,0.0,0.014943126,
29,4,10,0.3745703,0.45874439999999994,0.0,0.016406989,0.47580266
29,5,10,0.37538448,0.45563979999999993,0.0,0.0032096077,
29,6,10,0.36357972,0.4738945,0.0,0.02173905,
29,7,10,0.36628836,0.46465875,0.0,0.009624741,0.2791175
29,8,10,0.37337023,0.45898384999999997,0.0,0.009075093,0.2631777
29,9,10,0.36548647,0.46581114,0.0,0.010429074,0.30244315
29,10,10,0.37189823,0.45948869999999997,0.0,0.009004664,0.26113525
29,11,10,0.3717255,0.46272857,0.0,0.0032444715,
29,12,10,0.36817905,0.46446944,0.0,0.003950686,
29,13,10,0.37420273,0.45934359999999996,0.0,0.007909406,0.22937277
29,14,10,0.3734771,0.45939345,0.0,0.00072733586,
29,15,10,0.37321392,0.45787829999999996,0.0,0.001537838,
29,16,10,0.36686438,0.46830079999999996,0.0,0.0122043295,
29,17,10,0.37351772,0.45952899999999997,0.0,0.011009634,
29,18,10,0.37419155,0.4595443,0.0,0.0006740046,0.019546134
29,19,10,0.37262264,0.45922787,0.0,0.0016005075,0.046414718
29,20,10,0.37190464,0.46009433999999994,0.0,0.0011252979,0.03263364
29,21,10,0.3736773,0.45703879999999997,0.0,0.0035324956,0.10244237
29,22,10,0.37308395,0.4583847,0.0,0.0014708687,0.042655192
29,23,10,0.3680509,0.4654302699999999,0.0,0.008658612,
29,24,10,0.36201265,0.47026826,0.0,0.00773735,
29,25,10,0.36815882,0.46561266,0.0,0.0077103777,
29,26,10,0.37413102,0.4608445,0.0,0.0076421425,
29,27,10,0.36806375,0.46633179999999996,0.0,0.00818058,0.23723683
29,28,10,0.37350574,0.45978195,0.0,0.008515611,0.24695273
29,29,10,0.37352586,0.4512754,0.0,0.008506561,0.24669026
29,30,10,0.36696848,0.47046029999999994,0.0,0.020274593,
29,31,10,0.3733756,0.45162119999999994,0.0,0.019898834,
29,32,10,0.37502393,0.45068489999999994,0.0,0.0018956832,
29,33,10,0.3664765,0.46779896,0.0,0.019129792,
29,34,10,0.36685303,0.4685735,0.0,0.00086122943,
29,35,10,0.37455714,0.45060089999999997,0.0,0.019554269,
29,36,10,0.37200427,0.46303123999999996,0.0,0.012689808,0.36800444
29,37,10,0.3735932,0.4591923499999999,0.0,0.0041547394,
29,38,10,0.37309217,0.4594391,0.0,0.00055850676,
29,39,10,0.37323284,0.45911336999999997,0.0,0.00035481452,
29,40,10,0.36652213,0.46270645999999993,0.0,0.0076120878,0.22075054
29,41,10,0.37316254,0.4588386,0.0,0.0076847477,0.22285768
29,42,10,0.36623165,0.46643899999999994,0.0,0.010286092,0.29829666
29,43,10,0.37417328,0.4547987,0.0,0.014091358,
29,44,10,0.37547046,0.4603615999999999,0.0,0.0057121394,0.16565204
29,45,10,0.37247002,0.45852644,0.0,0.0035171676,0.10199786
29,46,10,0.37251544,0.4581815,0.0,0.00034790946,
29,47,10,0.3663223,0.4653845999999999,0.0,0.00949945,
29,48,10,0.36743045,0.46299183999999993,0.0,0.0026369141,0.07647051
29,49,10,0.3682053,0.46476304999999996,0.0,0.0019332871,
29,50,10,0.373815,0.4542039,0.0,0.01195676,
29,51,10,0.3749306,0.45937209999999995,0.0,0.0052872323,0.15332974
29,52,10,0.37267953,0.46120954999999997,0.0,0.002905757,0.08426695
29,53,10,0.36691594,0.46345749999999997,0.0,0.00618645,0.17940705
29,54,10,0.36832526,0.46385175999999995,0.0,0.0014634375,0.042439688
29,55,10,0.37463668,0.4500778999999999,0.0,0.015151012,
29,56,10,0.37628475,0.45099957,0.0,0.0018882793,0.054760102
29,57,10,0.37405944,0.45765,0.0,0.007012878,0.20337346
29,58,10,0.36667234,0.4677479,0.0,0.012511438,
29,59,10,0.36824727,0.465183,0.0,0.0030097938,0.08728402
29,60,10,0.37250116,0.45890529999999996,0.0,0.007583247,0.21991417
29,61,10,0.36514843,0.46853159999999994,0.0,0.012113174,
29,62,10,0.37340787,0.45047609999999993,0.0,0.019854961,
29,63,10,0.37491843,0.45853234,0.0,0.008196617,0.23770188
29,64,10,0.37289092,0.45739779999999997,0.0,0.002323344,
29,65,10,0.37309054,0.45597029999999994,0.0,0.0014414202,
29,66,10,0.37453172,0.45639706999999996,0.0,0.0015030416,
29,67,10,0.3743178,0.45388439999999997,0.0,0.002521783,
29,68,10,0.37476665,0.44479764,0.0,0.009097807,0.2638364
29,69,10,0.37136763,0.4541978,0.0,0.009995786,0.28987777
29,70,10,0.37277412,0.44709975,0.0,0.007236027,0.20984478
29,71,10,0.37373164,0.4444806699999999,0.0,0.002788631,
29,72,10,0.36518815,0.4468356,0.0,0.008862104,0.257001
29,73,10,0.36735559,0.44548226,0.0,0.0025552402,
29,74,10,0.36944258,0.4382473,0.0,0.007529983,0.2183695
29,75,10,0.37123904,0.4252287,0.0,0.013141912,
29,76,10,0.36680794,0.4326100399999999,0.0,0.008609211,0.24966712
29,77,10,0.37770054,0.41497494,0.0,0.020727897,
29,78,10,0.37031254,0.42091139999999994,0.0,0.009477545,0.2748488
29,79,10,0.3794725,0.41506685,0.0,0.010865694,0.3151051
29,80,10,0.3804195,0.41361229999999993,0.0,0.0017356469,
29,81,10,0.38161868,0.39410749999999994,0.0,0.019541675,
29,82,10,0.3815366,0.3968134,0.0,0.0027071761,
29,83,10,0.38640508,0.3825617,0.0,0.015060321,
29,84,10,0.38754293,0.37410122999999995,0.0,0.008536634,0.2475624
29,85,10,0.3882772,0.36676454999999997,0.0,0.0073733283,0.21382652
29,86,10,0.38983792,0.3665466399999999,0.0,0.0015758575,
29,87,10,0.39155513,0.3563513999999999,0.0,0.010338861,0.29982695
29,88,10,0.39356032,0.3498321,0.0,0.006820725,0.19780102
29,89,10,0.3945274,0.34118209999999993,0.0,0.008703838,0.2524113
29,90,10,0.39747915,0.3324176999999999,0.0,0.009248094,0.2681947
29,91,10,0.4012972,0.3219158,0.0,0.01117449,0.3240602
29,92,10,0.4061217,0.3139205999999999,0.0,0.009337976,0.2708013
29,93,10,0.40765962,0.3058388999999999,0.0,0.008226704,0.23857442
29,94,10,0.41074163,0.29312589999999994,0.0,0.013081324,
29,95,10,0.41657612,0.28398900000000005,0.0,0.010840871,0.31438527
29,96,10,0.4215187,0.2733694,0.0,0.011713389,0.3396883
29,97,10,0.4264348,0.26698639999999996,0.0,0.0080567505,0.23364577
29,98,10,0.43053383,0.25534290000000004,0.0,0.012343982,0.35797548
29,99,10,0.43698558,0.24492559999999997,0.0,0.012253313,0.35534608
29,100,10,0.44408223,0.23469720000000005,0.0,0.012449196,0.36102667
29,101,10,0.44998658,0.22384990000000005,0.0,0.012350136,0.35815397
29,102,10,0.45697606,0.21357199999999987,0.0,0.012429295,0.36044955
29,103,10,0.46285132,0.20344600000000002,0.0,0.011707026,0.33950374
29,104,10,0.47088003,0.19239760000000006,0.0,0.013657534,0.39606848
29,105,10,0.47904795,0.1831859,0.0,0.012311362,0.3570295
29,106,10,0.4880981,0.17149440000000005,0.0,0.014785068,0.42876697
29,107,10,0.49673572,0.16145229999999988,0.0,0.013245809,0.38412845
29,108,10,0.5062014,0.1527814999999999,0.0,0.012836732,0.37226522
29,109,10,0.5153041,0.14089059999999987,0.0,0.01497506,0.43427673
29,110,10,0.5249134,0.1321007999999999,0.0,0.013022998,0.37766695
29,111,10,0.5359898,0.12385010000000007,0.0,0.013811663,0.40053824
29,112,10,0.54712194,0.11296059999999986,0.0,0.015572604,0.4516055
29,113,10,0.5581489,0.10294139999999996,0.0,0.014898936,0.43206915
29,114,10,0.5704724,0.09343529999999989,0.0,0.01556389,0.45135283
29,115,10,0.5793074,0.08077960000000006,0.0,0.015434511,0.4476008
29,116,10,0.5914914,0.07325380000000004,0.0,0.014320898,0.41530603
29,117,10,0.6062361,0.06478699999999993,0.0,0.017002692,0.49307808
29,118,10,0.6185388,0.05738439999999989,0.0,0.014358123,0.41638556
29,119,10,0.63359505,0.05061209999999994,0.0,0.016509226,0.47876754
29,120,10,0.64763904,0.04341309999999998,0.0,0.015781632,0.45766732
29,121,10,0.6625379,0.03752409999999995,0.0,0.016020453,0.4645931
29,122,10,0.67833805,0.03132380000000001,0.0,0.0169732,0.4922228
29,123,10,0.6927566,0.024884499999999976,0.0,0.015791114,0.4579423
29,124,10,0.70817804,0.0188569999999999,0.0,0.016557518,0.48016804
29,125,10,0.7227849,0.019788200000000034,0.0,0.014636482,0.424458
