fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.2192826,0.9289445,0.0,0.0,0.0
29,1,10,1.2210037,0.93182112,0.0,0.0033521606,0.09721266
29,2,10,1.2152792,0.9335704300000001,0.0,0.0059857476,0.17358668
29,3,10,1.2177463,0.9268004,0.0,0.0072055375,
29,4,10,1.2200285,0.9279259,0.0,0.0025447009,0.073796324
29,5,10,1.218587,0.929443,0.0,0.0020927268,0.060689077
29,6,10,1.2235068,0.9335974,0.0,0.0064391783,
29,7,10,1.219185,0.93003423,0.0,0.0056012697,0.16243683
29,8,10,1.2183589,0.9291873,0.0,0.0011831113,0.03431023
29,9,10,1.2189606,0.93173306,0.0,0.0026159012,0.07586113
29,10,10,1.2143764,0.93486287,0.0,0.005550724,0.160971
29,11,10,1.2196467,0.9306701,0.0,0.0067345956,
29,12,10,1.2185308,0.9311434,0.0,0.0012121492,0.035152327
29,13,10,1.2199743,0.9309181,0.0,0.0014609826,0.042368494
29,14,10,1.219494,0.93168856,0.0,0.000907896,0.026328985
29,15,10,1.2195134,0.9302535,0.0,0.001435173,0.041620016
29,16,10,1.2201616,0.93049283,0.0,0.0006909104,0.020036401
29,17,10,1.221287,0.93091525,0.0,0.0012021172,0.034861397
29,18,10,1.220831,0.93134083,0.0,0.0006237224,0.01808795
29,19,10,1.2202848,0.92867984,0.0,0.002716472,0.078777686
29,20,10,1.2194912,0.9278476,0.0,0.001149965,0.033348985
29,21,10,1.2172037,0.93290774,0.0,0.0055531943,
29,22,10,1.2190263,0.9310748,0.0,0.0025848555,0.07496081
29,23,10,1.2193115,0.9296785,0.0,0.0014251171,0.041328397
29,24,10,1.2181934,0.92999704,0.0,0.0011625517,0.033714
29,25,10,1.2191556,0.9283136,0.0,0.0019389669,0.056230042
29,26,10,1.2197315,0.93181012,0.0,0.0035436081,0.10276464
29,27,10,1.218684,0.930982,0.0,0.0013352968,0.038723607
29,28,10,1.2182441,0.93095757,0.0,0.00044056057,0.012776257
29,29,10,1.2198286,0.9291251,0.0,0.0024225477,0.07025389
29,30,10,1.2196951,0.93075473,0.0,0.0016351108,0.047418214
29,31,10,1.2177876,0.9303647,0.0,0.0019469399,0.056461256
29,32,10,1.2190195,0.9304561,0.0,0.0012352973,0.03582362
29,33,10,1.2197858,0.93076636,0.0,0.00082669896,0.02397427
29,34,10,1.219669,0.9296843,0.0,0.001088351,0.03156218
29,35,10,1.219252,0.9302013,0.0,0.00066421693,0.019262291
29,36,10,1.2189986,0.930578,0.0,0.00045402115,0.013166614
29,37,10,1.2194893,0.9290984,0.0,0.0015588977,0.045208033
29,38,10,1.2200146,0.928117,0.0,0.0011131039,0.032280013
29,39,10,1.2204014,0.93153266,0.0,0.0034375093,0.09968777
29,40,10,1.2183695,0.9289349,0.0,0.0032980547,0.09564359
29,41,10,1.2195035,0.93133877,0.0,0.0026579513,0.077080585
29,42,10,1.2202476,0.9321219000000001,0.0,0.0010802599,0.03132754
29,43,10,1.219669,0.9296843,0.0,0.0025053301,0.072654575
29,44,10,1.2199303,0.9312666199999999,0.0,0.0016037556,0.046508912
29,45,10,1.2176272,0.92899264,0.0,0.0032365643,0.093860365
29,46,10,1.2188395,0.92823936,0.0,0.0014273223,0.041392345
29,47,10,1.220983,0.92827107,0.0,0.0021437367,0.062168363
29,48,10,1.2217063,0.9302143,0.0,0.0020734575,0.06013027
29,49,10,1.2185831,0.9287607999999999,0.0,0.0034448325,0.09990014
29,50,10,1.2196568,0.9322783,0.0,0.003677735,0.106654316
29,51,10,1.2188283,0.93150692,0.0,0.0011320057,0.032828167
29,52,10,1.2162534,0.9306103,0.0,0.002726557,0.07907015
29,53,10,1.2175795,0.92868663,0.0,0.00233646,0.06775734
29,54,10,1.2182022,0.93555547,0.0,0.006897012,
29,55,10,1.215796,0.9326504,0.0,0.003772191,0.10939354
29,56,10,1.2168233,0.93453108,0.0,0.002142984,0.062146533
29,57,10,1.2126772,0.9316493,0.0,0.0050492287,0.14642763
29,58,10,1.2131535,0.9361145,0.0,0.004490518,0.13022502
29,59,10,1.2102772,0.93738337,0.0,0.0031437257,0.091168046
29,60,10,1.2085475,0.9393669,0.0,0.0026317902,0.076321915
29,61,10,1.2071319,0.9423746,0.0,0.0033241948,0.09640165
29,62,10,1.2029563,0.93923344,0.0,0.005225139,0.15152904
29,63,10,1.2010853,0.94304047,0.0,0.0042419503,0.12301656
29,64,10,1.2000811,0.94455667,0.0,0.0018185977,0.052739333
29,65,10,1.1932341,0.9473582,0.0,0.0073979963,
29,66,10,1.1912413,0.9480776,0.0,0.0021186958,0.061442178
29,67,10,1.1865144,0.9488866,0.0,0.004795614,0.1390728
29,68,10,1.1835322,0.9495908799999999,0.0,0.0030641768,0.08886113
29,69,10,1.1788714,0.9541510799999999,0.0,0.0065206536,0.18909895
29,70,10,1.1701736,0.95985924,0.0,0.010403552,
29,71,10,1.1656963,0.9633191999999999,0.0,0.005658469,0.16409561
29,72,10,1.1643144,0.9616962,0.0,0.0021316004,0.061816413
29,73,10,1.1601508,0.96335427,0.0,0.004481628,0.12996721
29,74,10,1.1530678,0.96644305,0.0,0.00772713,0.22408676
29,75,10,1.1514076,0.97019358,0.0,0.004101567,0.11894544
29,76,10,1.1406325,0.97255044,0.0,0.011029839,
29,77,10,1.1357195,0.9755412800000001,0.0,0.005751733,0.16680026
29,78,10,1.1290429,0.97596867,0.0,0.006690339,0.19401984
29,79,10,1.1220301,0.97643567,0.0,0.007028257,0.20381945
29,80,10,1.1168416,0.9827180600000001,0.0,0.008147995,0.23629186
29,81,10,1.1094235,0.98209663,0.0,0.007444021,0.21587661
29,82,10,1.1032963,0.9848364000000001,0.0,0.0067118914,0.19464485
29,83,10,1.0933907,0.98892428,0.0,0.010715927,
29,84,10,1.0867864,0.99113266,0.0,0.006963757,0.20194896
29,85,10,1.0784794,0.9922723,0.0,0.008384789,0.24315889
29,86,10,1.0700707,0.99352,0.0,0.008500731,0.24652119
29,87,10,1.0596244,0.9927619999999999,0.0,0.010473774,
29,88,10,1.0524716,0.9962361,0.0,0.007951841,0.23060338
29,89,10,1.0432837,0.99822174,0.0,0.00940005,0.27260146
29,90,10,1.0340581,1.0006566000000001,0.0,0.009541505,0.27670366
29,91,10,1.0241406,1.00078957,0.0,0.009918389,0.28763327
29,92,10,1.0157458,1.00386016,0.0,0.008938783,0.2592247
29,93,10,1.0048898,1.00302692,0.0,0.010887844,0.31574747
29,94,10,0.99612033,1.00584842,0.0,0.009212233,0.26715475
29,95,10,0.9836014,1.0038383,0.0,0.012679292,
29,96,10,0.9730124,1.0049221,0.0,0.010644322,0.30868533
29,97,10,0.9622306,1.00522078,0.0,0.010785901,0.31279114
29,98,10,0.9526928,1.0103244,0.0,0.010817433,0.31370556
29,99,10,0.94180065,1.01012795,0.0,0.010893924,0.3159238
29,100,10,0.9280175,1.0048015000000001,0.0,0.014776552,
29,101,10,0.91684115,1.0084542,0.0,0.011758099,0.34098488
29,102,10,0.9074714,1.00529344,0.0,0.009888486,0.28676608
29,103,10,0.89449865,1.0010364,0.0,0.013653399,0.3959486
29,104,10,0.8815761,0.9971652,0.0,0.013489917,0.3912076
29,105,10,0.8696664,0.9960825,0.0,0.011958835,0.3468062
29,106,10,0.85696805,0.99435995,0.0,0.012814652,0.37162492
29,107,10,0.8452812,0.9908761500000001,0.0,0.012195065,0.3536569
29,108,10,0.8320855,0.98374887,0.0,0.014997483,0.43492702
29,109,10,0.82025963,0.98309247,0.0,0.011844062,0.34347782
29,110,10,0.8081461,0.98078887,0.0,0.012330602,0.35758746
29,111,10,0.7944206,0.98138104,0.0,0.013738288,0.39841035
29,112,10,0.780423,0.97474386,0.0,0.015491463,0.44925243
29,113,10,0.7693237,0.9658031,0.0,0.0142524075,0.41331983
29,114,10,0.7588755,0.9655756,0.0,0.010450694,0.30307013
29,115,10,0.7463406,0.9566186,0.0,0.015406231,0.4467807
29,116,10,0.7350089,0.9500278,0.0,0.01310898,0.38016042
29,117,10,0.72234803,0.94150926,0.0,0.015259851,0.44253567
29,118,10,0.7083025,0.9380588400000001,0.0,0.014463143,0.41943115
29,119,10,0.7045053,0.93667574,0.0,0.004041223,
29,120,10,0.68621475,0.91885026,0.0,0.025540031,
29,121,10,0.67217404,0.91668655,0.0,0.014206447,0.41198695
29,122,10,0.66303796,0.90206505,0.0,0.017241118,0.49999243
29,123,10,0.65076995,0.89286645,0.0,0.01533357,0.4446735
29,124,10,0.6409447,0.88348104,0.0,0.013587531,0.39403838
29,125,10,0.6299881,0.8729427,0.0,0.015202127,0.4408617
29,126,10,0.61766243,0.86299313,0.0,0.015840309,0.45936894
29,127,10,0.60721433,0.85212816,0.0,0.0150735,0.4371315
29,128,10,0.59692276,0.83917905,0.0,0.016540736,0.47968134
29,129,10,0.5851871,0.8305132,0.0,0.014588463,0.42306542
29,130,10,0.5759752,0.81660266,0.0,0.016684182,0.48384127
29,131,10,0.56665045,0.80544706,0.0,0.014539536,0.42164654
29,132,10,0.5573487,0.79073866,0.0,0.017402846,0.50468254
29,133,10,0.5479823,0.77859635,0.0,0.01533512,0.44471848
29,134,10,0.5316247,0.7714808,0.0,0.01783822,0.51730835
29,135,10,0.52826846,0.75793727,0.0,0.013953202,0.40464288
29,136,10,0.5192607,0.74113966,0.0,0.019060405,
29,137,10,0.51213944,0.7279928,0.0,0.014951683,0.4335988
29,138,10,0.50488365,0.7131432,0.0,0.016527468,0.4792966
29,139,10,0.49848226,0.6985359,0.0,0.015948394,0.46250343
29,140,10,0.49234128,0.6842215,0.0,0.015576018,0.45170453
29,141,10,0.48672226,0.6681515,0.0,0.017024057,0.49369764
29,142,10,0.48112136,0.6505868,0.0,0.018436085,0.53464645
29,143,10,0.4773936,0.63840915,0.0,0.012735434,
29,144,10,0.47324288,0.6209175,0.0,0.017977372,0.52134377
29,145,10,0.4702267,0.6064396,0.0,0.014788751,0.42887378
29,146,10,0.4669715,0.5925971,0.0,0.014220122,0.41238356
29,147,10,0.4640521,0.5725665,0.0,0.020242184,
29,148,10,0.45791924,0.56878073,0.0,0.00720724,
29,149,10,0.460395,0.5400032,0.0,0.02888384,
29,150,10,0.46027896,0.52250214,0.0,0.017501442,0.50754184
29,151,10,0.45292982,0.517887,0.0,0.008678086,
29,152,10,0.45072463,0.49735273,0.0,0.020652346,
29,153,10,0.4598108,0.47668005,0.0,0.022581363,
29,154,10,0.46200764,0.4579592,0.0,0.018849323,0.5466304
29,155,10,0.46380243,0.44494743000000003,0.0,0.013134953,
29,156,10,0.46984726,0.4251011,0.0,0.02074648,0.6016479
29,157,10,0.4708166,0.40695210000000004,0.0,0.018174887,0.5270717
29,158,10,0.47638193,0.3935021000000001,0.0,0.014555959,
29,159,10,0.48014244,0.3744841000000001,0.0,0.019386163,0.56219876
29,160,10,0.48383778,0.35958270000000003,0.0,0.0153527595,
29,161,10,0.49020618,0.3455165,0.0,0.015440694,0.44778013
29,162,10,0.49463236,0.3290138,0.0,0.017086001,0.49549404
29,163,10,0.50261176,0.3135867000000001,0.0,0.01736855,0.5036879
29,164,10,0.50880736,0.2962012999999999,0.0,0.018456338,0.5352338
29,165,10,0.51635903,0.282894,0.0,0.015300746,0.44372165
29,166,10,0.52314794,0.2684375000000001,0.0,0.015971225,0.46316552
29,167,10,0.532767,0.2538254,0.0,0.017493974,0.50732523
29,168,10,0.5431567,0.2388612000000001,0.0,0.018217396,0.52830446
29,169,10,0.55169916,0.22563149999999998,0.0,0.015747903,0.45668918
29,170,10,0.56158686,0.21150650000000004,0.0,0.017241864,0.50001407
29,171,10,0.5728452,0.1992389000000001,0.0,0.01665075,0.48287174
29,172,10,0.5819898,0.18605739999999993,0.0,0.016042892,0.46524388
29,173,10,0.59479713,0.17312090000000002,0.0,0.018203832,0.5279111
29,174,10,0.60628814,0.16067509999999996,0.0,0.016939338,0.4912408
29,175,10,0.6185889,0.14980989999999994,0.0,0.016412258,0.4759555
29,176,10,0.6323358,0.13904139999999998,0.0,0.017462457,0.50641125
29,177,10,0.64543664,0.12719729999999996,0.0,0.017661083,0.51217145
29,178,10,0.6614234,0.11868410000000007,0.0,0.018112168,0.5252529
29,179,10,0.67029566,0.10333820000000005,0.0,0.017726105,0.51405704
29,180,10,0.68437594,0.0960198000000001,0.0,0.01586862,0.46018997
29,181,10,0.70099795,0.08749110000000004,0.0,0.018682344,0.541788
29,182,10,0.71361846,0.07656700000000005,0.0,0.01669171,0.4840596
29,183,10,0.7318484,0.07115190000000005,0.0,0.01901722,0.55149937
29,184,10,0.74641097,0.06298390000000009,0.0,0.016696818,0.48420772
29,185,10,0.76225793,0.05624370000000001,0.0,0.017220827,0.49940398
29,186,10,0.77746624,0.04939450000000001,0.0,0.016679486,0.4837051
29,187,10,0.7962487,0.04522399999999993,0.0,0.019239863,0.55795604
29,188,10,0.8107348,0.041619300000000026,0.0,0.014927908,0.43290934
29,189,10,0.8272639,0.0359297999999999,0.0,0.017480876,0.50694543
29,190,10,0.84586686,0.03254800000000002,0.0,0.018907841,0.5483274
29,191,10,0.8616615,0.027865999999999946,0.0,0.016473986,0.4777456
29,192,10,0.8797841,0.025627599999999973,0.0,0.018260326,0.5295495
29,193,10,0.8977852,0.023522700000000007,0.0,0.018123724,0.525588
29,194,10,0.9147471,0.021094600000000074,0.0,0.017134836,0.49691024
29,195,10,0.93446964,0.02389770000000002,0.0,0.019920722,0.5777009
29,196,10,0.9519179,0.02198750000000005,0.0,0.017552499,0.5090225
29,197,10,0.970712,0.023427899999999946,0.0,0.018849237,0.5466279
29,198,10,0.98882014,0.023740400000000106,0.0,0.018110825,0.5252139
29,199,10,1.007429,0.026279799999999964,0.0,0.018781334,0.5446587
29,200,10,1.0262868,0.02842279999999997,0.0,0.018979214,0.5503972
29,201,10,1.0423169,0.03096359999999998,0.0,0.01623019,0.47067553
29,202,10,1.0603384,0.03427669999999994,0.0,0.01832347,0.53138065
29,203,10,1.0772811,0.038444799999999946,0.0,0.01744792,0.5059897
29,204,10,1.0946581,0.043456699999999904,0.0,0.018085357,0.52447534
29,205,10,1.1119058,0.05211889999999997,0.0,0.019300632,0.5597183
29,206,10,1.1299237,0.05695059999999996,0.0,0.018654503,0.5409806
29,207,10,1.1466687,0.0645327,0.0,0.018381562,0.5330653
29,208,10,1.1654329,0.07067559999999995,0.0,0.019744163,0.57258075
29,209,10,1.1815566,0.07923790000000008,0.0,0.018256111,0.52942723
29,210,10,1.1968458,0.08921420000000002,0.0,0.0182561,0.5294269
29,211,10,1.2133307,0.09694669999999994,0.0,0.018208409,0.52804387
29,212,10,1.2298471,0.10673759999999999,0.0,0.01920028,0.5568081
29,213,10,1.2440951,0.11869590000000008,0.0,0.018601298,0.53943765
29,214,10,1.2581313,0.12860680000000002,0.0,0.01718251,0.4982928
29,215,10,1.2711658,0.1424144999999999,0.0,0.018988285,0.55066025
29,216,10,1.2853448,0.15462449999999994,0.0,0.018711712,0.5426397
29,217,10,1.3005745,0.16705290000000006,0.0,0.01965729,0.5700614
29,218,10,1.3153363,0.17939400000000005,0.0,0.019240886,0.5579857
29,219,10,1.3306835,0.18850060000000002,0.0,0.017845588,0.51752204
29,220,10,1.3445483,0.20236429999999994,0.0,0.01960705,0.56860447
29,221,10,1.3563699,0.21678039999999998,0.0,0.018643282,0.5406552
29,222,10,1.3663143,0.23237219999999992,0.0,0.018493187,0.5363024
29,223,10,1.3728269,0.24904400000000004,0.0,0.017898677,0.5190616
29,224,10,1.3872358,0.2629964,0.0,0.020056995,0.5816528
29,225,10,1.3953073,0.27914189999999994,0.0,0.01805065,0.52346885
29,226,10,1.4049834,0.2980704999999999,0.0,0.021258423,0.6164943
29,227,10,1.4121203,0.3123741,0.0,0.015985241,0.463572
29,228,10,1.4212155,0.3298447,0.0,0.019696303,0.5711928
29,229,10,1.4260433,0.34740590000000005,0.0,0.018212708,0.5281685
29,230,10,1.4325846,0.36361979999999994,0.0,0.017483704,0.5070274
29,231,10,1.4370809,0.38234999999999997,0.0,0.019262385,0.5586091
29,232,10,1.4419924,0.3998615000000001,0.0,0.018187232,0.52742976
29,233,10,1.4449897,0.4175118,0.0,0.01790293,0.51918495
29,234,10,1.4502662,0.4355411,0.0,0.018785603,0.5447825
29,235,10,1.451971,0.45226723999999996,0.0,0.016812794,0.48757103
29,236,10,1.4541487,0.47082603999999995,0.0,0.018686118,0.5418974
29,237,10,1.4552783,0.48928740000000004,0.0,0.018495874,0.53638035
29,238,10,1.4563228,0.50710244,0.0,0.017845647,0.51752377
29,239,10,1.4562062,0.5268324,0.0,0.019730316,0.5721792
29,240,10,1.4556456,0.54403396,0.0,0.017210677,0.49910966
29,241,10,1.4527516,0.561242,0.0,0.017449683,0.5060408
29,242,10,1.4513363,0.580062,0.0,0.018873135,0.5473209
29,243,10,1.4464871,0.59788103,0.0,0.018467082,0.53554535
29,244,10,1.4430704,0.61728485,0.0,0.019702325,0.57136744
29,245,10,1.439145,0.6348493,0.0,0.017997775,0.52193546
29,246,10,1.4332371,0.6527465,0.0,0.018847084,0.5465654
29,247,10,1.4278929,0.66980804,0.0,0.017878922,0.5184887
29,248,10,1.4218765,0.6888336,0.0,0.01995417,0.5786709
29,249,10,1.4147379,0.70628555,0.0,0.018855505,0.5468096
29,250,10,1.4071759,0.7233352,0.0,0.018651426,0.54089135
29,251,10,1.401943,0.7415368,0.0,0.018938886,0.5492277
29,252,10,1.3873013,0.7541922,0.0,0.019352939,0.56123525
29,253,10,1.377751,0.77160163,0.0,0.019856928,0.5758509
29,254,10,1.3704995,0.7860283,0.0,0.016146593,0.4682512
29,255,10,1.3584287,0.80123176,0.0,0.019412607,0.56296563
29,256,10,1.3587406,0.80157603,0.0,0.0004645187,
29,257,10,1.3303201,0.8361886,0.0,0.04478564,
29,258,10,1.322952,0.84094037,0.0,0.008767427,
29,259,10,1.3097373,0.85570307,0.0,0.019813273,0.5745849
29,260,10,1.2984391,0.8704106,0.0,0.018546147,0.5378383
29,261,10,1.2877886,0.88553645,0.0,0.018499337,0.5364808
29,262,10,1.2746956,0.8976615,0.0,0.017844997,0.51750493
29,263,10,1.2581811,0.90760113,0.0,0.019275006,0.55897516
29,264,10,1.2430022,0.9187982,0.0,0.018861983,0.5469975
29,265,10,1.229724,0.9292971,0.0,0.016927348,0.4908931
29,266,10,1.2120922,0.93503292,0.0,0.018541388,0.53770024
29,267,10,1.1978997,0.9468802000000001,0.0,0.018487407,0.5361348
29,268,10,1.1799991,0.95386772,0.0,0.019216042,0.5572652
29,269,10,1.1630148,0.96171014,0.0,0.018707525,0.5425182
29,270,10,1.148879,0.9702151999999999,0.0,0.016497117,0.47841638
29,271,10,1.1309085,0.97544502,0.0,0.018716088,0.5427666
29,272,10,1.1114826,0.97820277,0.0,0.019620644,0.5689987
29,273,10,1.0925802,0.9847972199999999,0.0,0.020019697,0.58057123
29,274,10,1.0783285,0.9889891,0.0,0.014855403,
29,275,10,1.0568646,0.99229286,0.0,0.021716643,0.6297827
29,276,10,1.0377151,0.99395083,0.0,0.019221181,0.55741423
29,277,10,1.021607,0.9967579,0.0,0.016350796,0.4741731
29,278,10,1.0024905,0.99790563,0.0,0.019150944,0.55537736
29,279,10,0.98444664,0.99989526,0.0,0.018153239,0.52644396
29,280,10,0.98477274,1.00057573,0.0,0.0007545777,
29,281,10,0.95332897,1.00380145,0.0,0.0316088,
29,282,10,0.9288479,0.99832757,0.0,0.025085565,
29,283,10,0.91259915,0.99538834,0.0,0.01651246,0.4788613
29,284,10,0.8921101,0.99247603,0.0,0.02069498,0.60015446
29,285,10,0.8723828,0.9882118799999999,0.0,0.020182885,0.58530366
29,286,10,0.85437244,0.98446826,0.0,0.018395336,0.5334647
29,287,10,0.8318356,0.9813620599999999,0.0,0.022749867,
29,288,10,0.8175609,0.9727677,0.0,0.016662251,0.4832053
29,289,10,0.7999991,0.97024025,0.0,0.017742733,0.51453924
29,290,10,0.7823777,0.96053414,0.0,0.02011771,0.5834136
29,291,10,0.7665433,0.95765148,0.0,0.016094647,
29,292,10,0.74971074,0.94590284,0.0,0.020527218,0.5952893
29,293,10,0.73150617,0.936126,0.0,0.020663803,0.5992503
29,294,10,0.71427613,0.9273152,0.0,0.019352121,0.5612115
29,295,10,0.6981837,0.9165712,0.0,0.019349393,0.5611324
29,296,10,0.6814092,0.91102536,0.0,0.017667526,0.51235825
29,297,10,0.6671177,0.8951513,0.0,0.021359602,0.61942846
29,298,10,0.6519465,0.8823648,0.0,0.019840853,0.57538474
29,299,10,0.6380597,0.87120665,0.0,0.01781427,0.51661384
29,300,10,0.6231297,0.85649206,0.0,0.020962415,0.60791004
29,301,10,0.60782886,0.8476655,0.0,0.01766422,0.5122624
29,302,10,0.5963723,0.8280462,0.0,0.02271935,
29,303,10,0.58468765,0.8114915,0.0,0.020263012,0.58762735
29,304,10,0.57201016,0.8000846,0.0,0.017053917,0.4945636
29,305,10,0.5596027,0.78367485,0.0,0.020572448,0.596601
29,306,10,0.5510142,0.76580544,0.0,0.019826198,0.57495975
29,307,10,0.53518057,0.7536015,0.0,0.019990982,0.5797385
29,308,10,0.5262281,0.737654,0.0,0.018288538,0.5303676
29,309,10,0.51485455,0.72412975,0.0,0.017670933,0.5124571
29,310,10,0.5056927,0.70693566,0.0,0.01948271,0.56499857
29,311,10,0.5006232,0.6856576,0.0,0.021873651,0.6343359
29,312,10,0.49421212,0.6687128999999999,0.0,0.018116934,0.5253911
29,313,10,0.48667744,0.64907296,0.0,0.02103568,0.61003476
29,314,10,0.48064968,0.63029606,0.0,0.01972069,0.5719
29,315,10,0.4765354,0.61233516,0.0,0.018426105,0.5343571
29,316,10,0.4718289,0.5935317,0.0,0.019383548,0.5621229
29,317,10,0.46888003,0.57668795,0.0,0.017099923,0.49589774
29,318,10,0.46648532,0.55488343,0.0,0.021935618,0.6361329
29,319,10,0.46601993,0.53667886,0.0,0.018210517,0.528105
29,320,10,0.46426395,0.51900746,0.0,0.017758437,0.5149947
29,321,10,0.46316504,0.498769,0.0,0.02026827,0.5877799
29,322,10,0.45569718,0.48906626,0.0,0.012243865,
29,323,10,0.45598117,0.46695,0.0,0.022118067,
29,324,10,0.46472386,0.44393594000000003,0.0,0.024618732,
29,325,10,0.4711749,0.4239911999999999,0.0,0.02096212,0.60790145
29,326,10,0.475336,0.4056204000000001,0.0,0.018836109,0.5462472
29,327,10,0.4784375,0.3855390999999999,0.0,0.020319384,0.5892621
29,328,10,0.4815855,0.3683814999999999,0.0,0.01744407,0.50587803
29,329,10,0.48644182,0.3516923999999999,0.0,0.017381271,0.5040569
29,330,10,0.49316877,0.3336477,0.0,0.019257814,0.5584766
29,331,10,0.5003339,0.3149006000000001,0.0,0.020069694,0.5820211
29,332,10,0.5055233,0.29804450000000005,0.0,0.017636817,0.5114677
29,333,10,0.5149542,0.28101240000000005,0.0,0.019468836,0.56459624
29,334,10,0.52350277,0.2651954999999999,0.0,0.01797924,0.52139795
29,335,10,0.5328151,0.248313,0.0,0.019280447,0.55913293
29,336,10,0.54220957,0.2315239,0.0,0.01923874,0.5579235
29,337,10,0.5520184,0.21588999999999992,0.0,0.018456256,0.5352314
29,338,10,0.5634283,0.20338699999999998,0.0,0.016926637,0.49087247
