fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,10,10,0.6938298,0.9219259,0.0,0.0,0.0
29,11,10,0.69291735,0.9218302,0.0,0.0009174355,0.02660563
29,12,10,0.69324076,0.9228755,0.0,0.001094233,0.031732757
29,13,10,0.6923902,0.9216347,0.0,0.0015043792,0.043626998
29,14,10,0.6941075,0.9213714000000001,0.0,0.0017373334,0.050382666
29,15,10,0.6955562,0.91985476,0.0,0.0020973973,0.060824525
29,16,10,0.6945847,0.92502725,0.0,0.005262933,0.15262507
29,17,10,0.6932429,0.92196417,0.0,0.0033440928,0.09697869
29,18,10,0.6974719,0.91924304,0.0,0.005028824,0.14583589
29,19,10,0.695466,0.9225688,0.0,0.0038838712,0.11263227
29,20,10,0.69696486,0.9198435,0.0,0.0031102914,0.09019845
29,21,10,0.6942123,0.92249477,0.0,0.0038217462,0.11083064
29,22,10,0.6952914,0.92570174,0.0,0.0033836467,0.098125756
29,23,10,0.6950205,0.9227469,0.0,0.002967233,0.08604976
29,24,10,0.6954903,0.9238805,0.0,0.0012271152,0.03558634
29,25,10,0.6940555,0.92607695,0.0,0.0026235415,0.07608271
29,26,10,0.69547445,0.9239587,0.0,0.002549571,0.07393756
29,27,10,0.6934136,0.9226653,0.0,0.0024330968,0.07055981
29,28,10,0.69469774,0.92361,0.0,0.0015941705,0.046230942
29,29,10,0.6950231,0.92393213,0.0,0.00045788902,0.013278781
29,30,10,0.70152414,0.9200121,0.0,0.007591429,0.22015144
29,31,10,0.6958451,0.9247944300000001,0.0,0.007424402,0.21530765
29,32,10,0.69522524,0.92435825,0.0,0.00075797125,0.021981167
29,33,10,0.6949615,0.9233801,0.0,0.0010131064,0.029380087
29,34,10,0.6955027,0.9228216,0.0,0.0007777054,0.022553457
29,35,10,0.6958821,0.9224921,0.0,0.0005024923,0.014572277
29,36,10,0.6955062,0.9268772,0.0,0.004401193,0.1276346
29,37,10,0.6959783,0.92347145,0.0,0.0034383107,0.09971101
29,38,10,0.6958008,0.92460173,0.0,0.0011441357,0.033179935
29,39,10,0.694577,0.9268141,0.0,0.0025282733,0.07331993
29,40,10,0.69605124,0.92502224,0.0,0.0023203704,0.067290746
29,41,10,0.6957866,0.9232342,0.0,0.001807499,0.052417472
29,42,10,0.694612,0.9233004,0.0,0.001176431,0.0341165
29,43,10,0.6955433,0.9231357,0.0,0.00094571285,0.027425673
29,44,10,0.6950063,0.92331463,0.0,0.0005660059,0.016414171
29,45,10,0.6953555,0.92217266,0.0,0.0011941526,0.034630425
29,46,10,0.6958319,0.92418736,0.0,0.0020702605,0.060037553
29,47,10,0.69634277,0.92394185,0.0,0.00056680286,0.016437283
29,48,10,0.6967105,0.92321724,0.0,0.0008125964,0.023565296
29,49,10,0.69667506,0.9237153,0.0,0.0004993175,0.014480207
29,50,10,0.6953816,0.9252251,0.0,0.0019881006,0.057654917
29,51,10,0.69811034,0.9204263,0.0,0.0055203554,0.16009031
29,52,10,0.6967672,0.91916865,0.0,0.0018400284,0.053360824
29,53,10,0.69740635,0.9210261,0.0,0.0019643465,0.056966048
29,54,10,0.69614595,0.9268163,0.0,0.0059257676,0.17184725
29,55,10,0.6977906,0.9250641000000001,0.0,0.002403152,0.069691405
29,56,10,0.6968443,0.9252476000000001,0.0,0.0009639739,0.027955242
29,57,10,0.6957889,0.9243757,0.0,0.001368937,0.03969917
29,58,10,0.6965408,0.92463875,0.0,0.0007965365,0.023099558
29,59,10,0.6956662,0.91974026,0.0,0.00497595,0.14430255
29,60,10,0.6937828,0.92191225,0.0,0.0028748396,0.08337035
29,61,10,0.6930714,0.92301583,0.0,0.0013129937,0.038076818
29,62,10,0.6931284,0.9226145,0.0,0.00040534325,0.011754954
29,63,10,0.6928655,0.9218233,0.0,0.0008337324,0.02417824
29,64,10,0.69091433,0.92430943,0.0,0.0031603416,0.091649905
29,65,10,0.6933234,0.9223864,0.0,0.0030824507,0.08939107
