fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.5566733,0.5989739000000001,0.0,0.0,0.0
29,1,10,1.5576389,0.5978488,0.0,0.0014826389,0.04299653
29,2,10,1.5570122,0.5982734000000001,0.0,0.0007569921,0.02195277
29,3,10,1.5570304,0.5980437999999999,0.0,0.0002303204,0.0066792914
29,4,10,1.5571115,0.5985023999999999,0.0,0.00046570736,0.013505514
29,5,10,1.5569009,0.599011,0.0,0.0005504455,0.01596292
29,6,10,1.5578889,0.5988739999999999,0.0,0.0009974559,0.028926222
29,7,10,1.5591291,0.5988967000000001,0.0,0.0012404602,0.035973348
29,8,10,1.5588324,0.6010773999999999,0.0,0.0022007888,0.06382287
29,9,10,1.558083,0.5995086000000001,0.0,0.0017385741,0.05041865
29,10,10,1.557389,0.6001585,0.0,0.0009508388,0.027574325
29,11,10,1.5569825,0.5991473999999999,0.0,0.0010897869,0.03160382
29,12,10,1.5586147,0.5997688999999999,0.0,0.0017465551,0.050650097
29,13,10,1.5599127,0.6003018,0.0,0.0014030758,0.040689196
29,14,10,1.5591334,0.6005528,0.0,0.0008187136,0.023742694
29,15,10,1.558773,0.6002923,0.0,0.00044471817,0.012896827
29,16,10,1.5585067,0.6001924000000001,0.0,0.00028443345,0.00824857
29,17,10,1.5581968,0.5999878000000001,0.0,0.00037136432,0.010769566
29,18,10,1.5581522,0.6006189,0.0,0.00063266687,0.01834734
29,19,10,1.5578578,0.5982612999999999,0.0,0.002375918,0.06890162
29,20,10,1.5574603,0.5996283,0.0,0.0014235788,0.041283786
29,21,10,1.5584872,0.5991815999999999,0.0,0.0011198125,0.032474563
29,22,10,1.5583636,0.6000424,0.0,0.00086964143,0.0252196
29,23,10,1.5578716,0.5990589,0.0,0.0010996669,0.03189034
29,24,10,1.5578027,0.599464,0.0,0.00041089157,0.011915856
29,25,10,1.5573426,0.5999226,0.0,0.00064956804,0.018837472
29,26,10,1.558915,0.6005335999999999,0.0,0.0016869355,0.04892113
29,27,10,1.5582187,0.6051324,0.0,0.004651152,0.1348834
29,28,10,1.5570419,0.6107419000000001,0.0,0.0057316287,0.16621724
29,29,10,1.5568827,0.6223449999999999,0.0,0.0116042085,0.33652204
29,30,10,1.5559511,0.6373408,0.0,0.015024724,0.43571702
29,31,10,1.5537628,0.6551157999999999,0.0,0.01790914,0.5193651
29,32,10,1.5479511,0.6752235,0.0,0.02093077,0.60699236
29,33,10,1.5422832,0.6990509999999999,0.0,0.024492284,0.71027625
29,34,10,1.5345036,0.7191512,0.0,0.021553228,0.62504363
29,35,10,1.5274595,0.7412761999999999,0.0,0.023219278,0.6733591
29,36,10,1.5153104,0.7658729,0.0,0.027433515,0.7955719
29,37,10,1.5059876,0.7864964,0.0,0.022632783,0.65635073
29,38,10,1.492923,0.80820023,0.0,0.025332607,0.7346456
29,39,10,1.4818523,0.8276891599999999,0.0,0.022413824,0.6500009
29,40,10,1.46935,0.8497639,0.0,0.025369328,0.7357105
29,41,10,1.4552037,0.8657916,0.0,0.021377685,0.61995286
29,42,10,1.4427037,0.8855071,0.0,0.023344135,0.6769799
29,43,10,1.4313128,0.9037035999999999,0.0,0.021467803,0.6225663
29,44,10,1.4144115,0.9225892,0.0,0.025343964,0.734975
29,45,10,1.3988812,0.94045185,0.0,0.023669958,0.6864288
29,46,10,1.3798153,0.9563163,0.0,0.024802966,0.719286
29,47,10,1.360802,0.9728136,0.0,0.02517273,0.7300092
29,48,10,1.3412383,0.98646676,0.0,0.023856882,0.6918496
29,49,10,1.3208641,0.9994915999999999,0.0,0.024181694,0.70126915
29,50,10,1.3015687,1.01148175,0.0,0.022717243,0.65880007
29,51,10,1.2817138,1.0208798,0.0,0.021966802,0.6370373
29,52,10,1.2608039,1.02954846,0.0,0.022635587,0.65643203
29,53,10,1.2411652,1.04136424,0.0,0.022919301,0.66465974
29,54,10,1.2179171,1.0482658599999999,0.0,0.024250885,0.7032757
29,55,10,1.1953428,1.0573337,0.0,0.024327451,0.7054961
29,56,10,1.1733593,1.06600564,0.0,0.023632118,0.68533146
29,57,10,1.1486871,1.07057195,0.0,0.025091158,0.7276436
29,58,10,1.1245952,1.0731026,0.0,0.024224503,0.7025106
29,59,10,1.1014318,1.07543605,0.0,0.02328056,0.6751362
29,60,10,1.0806243,1.0800695299999998,0.0,0.021317163,0.61819774
29,61,10,1.0570966,1.0816562699999999,0.0,0.023581186,0.6838544
29,62,10,1.0335363,1.08177196,0.0,0.02356057,0.68325657
29,63,10,1.0088899,1.08095126,0.0,0.02466006,0.7151418
29,64,10,0.9844737,1.0795042,0.0,0.024459053,0.70931256
29,65,10,0.9613959,1.0779386999999998,0.0,0.023130821,0.67079383
29,66,10,0.9374277,1.0746487999999998,0.0,0.02419296,0.70159584
29,67,10,0.91555786,1.0689737,0.0,0.022594165,0.65523076
29,68,10,0.89376223,1.0647777,0.0,0.022195851,0.6436797
29,69,10,0.87163115,1.0566362599999999,0.0,0.023581099,0.68385184
29,70,10,0.8486595,1.0511132399999998,0.0,0.02362625,0.68516123
29,71,10,0.8247383,1.0420490999999998,0.0,0.02558089,0.74184585
29,72,10,0.8030921,1.0312829,0.0,0.0241758,0.7010982
29,73,10,0.78116596,1.02149754,0.0,0.02401062,0.69630796
29,74,10,0.76019865,1.0102397,0.0,0.023798456,0.69015527
29,75,10,0.74124736,0.9992765,0.0,0.021893913,0.63492346
29,76,10,0.7242495,0.9858587999999999,0.0,0.021655552,0.628011
29,77,10,0.7062386,0.973707,0.0,0.021726863,0.63007903
29,78,10,0.6877275,0.9588859599999999,0.0,0.023713393,0.6876884
29,79,10,0.670096,0.94373505,0.0,0.023246951,0.6741616
29,80,10,0.6531105,0.92485147,0.0,0.025398744,0.73656356
29,81,10,0.6352558,0.90789174,0.0,0.024625644,0.7141437
29,82,10,0.61403674,0.898296,0.0,0.023287928,0.6753499
29,83,10,0.6004939,0.8779485,0.0,0.024442341,0.7088279
29,84,10,0.5871171,0.85972773,0.0,0.022603905,0.6555132
29,85,10,0.5744141,0.84128003,0.0,0.022398299,0.6495507
29,86,10,0.5632344,0.8214123,0.0,0.022797184,0.6611183
29,87,10,0.55248326,0.80355214,0.0,0.020846404,0.6045457
29,88,10,0.5404265,0.7791919,0.0,0.027180636,0.78823847
29,89,10,0.5311625,0.7576228,0.0,0.023474433,0.68075854
29,90,10,0.5228232,0.7353845999999999,0.0,0.023750333,0.6887597
29,91,10,0.51656187,0.7138241000000001,0.0,0.02245132,0.6510883
29,92,10,0.50970775,0.6918709999999999,0.0,0.022998212,0.66694814
29,93,10,0.5051846,0.6717059999999999,0.0,0.020666031,0.5993149
29,94,10,0.49950647,0.648919,0.0,0.023483764,0.68102914
29,95,10,0.49681753,0.6266635999999999,0.0,0.022417275,0.650101
29,96,10,0.49456558,0.6019620999999999,0.0,0.024803914,0.7193135
29,97,10,0.49201232,0.5753139,0.0,0.02677032,0.7763393
29,98,10,0.49052396,0.5520177,0.0,0.023343613,0.6769648
29,99,10,0.49213433,0.5244423999999999,0.0,0.027622355,0.8010483
29,100,10,0.4938996,0.502554,0.0,0.021959445,0.6368239
29,101,10,0.4966675,0.47999459999999994,0.0,0.022728572,0.6591286
29,102,10,0.49803063,0.4665789,0.0,0.013484769,0.3910583
29,103,10,0.5043501,0.4359595999999999,0.0,0.031264603,0.9066735
29,104,10,0.50930846,0.4139203,0.0,0.022590164,0.65511477
29,105,10,0.5169972,0.3891608,0.0,0.025925882,0.7518506
29,106,10,0.5263549,0.36607999999999996,0.0,0.02490564,0.7222636
29,107,10,0.534163,0.3427613999999999,0.0,0.024591057,0.71314067
29,108,10,0.54237455,0.32142779999999993,0.0,0.022859486,0.66292506
29,109,10,0.553894,0.30179029999999996,0.0,0.022766804,0.6602373
29,110,10,0.5639406,0.28173589999999993,0.0,0.022430131,0.65047383
29,111,10,0.57655513,0.2641456,0.0,0.021645995,0.6277338
29,112,10,0.5880986,0.24553979999999997,0.0,0.021895746,0.6349766
29,113,10,0.60257506,0.22632649999999988,0.0,0.0240566,0.69764143
29,114,10,0.61650217,0.20531949999999988,0.0,0.025204381,0.73092705
29,115,10,0.6355999,0.18254559999999986,0.0,0.029721584,0.86192596
29,116,10,0.6482831,0.16880159999999989,0.0,0.018701907,0.5423553
29,117,10,0.6654312,0.15258590000000005,0.0,0.023600953,0.6844276
29,118,10,0.68173724,0.13267879999999987,0.0,0.025732866,0.74625313
29,119,10,0.70058185,0.11893799999999999,0.0,0.023322267,0.67634577
29,120,10,0.7195494,0.10598989999999997,0.0,0.022965701,0.6660053
29,121,10,0.734412,0.09658630000000001,0.0,0.017587617,0.5100409
29,122,10,0.7591987,0.08254539999999988,0.0,0.028487293,0.8261315
29,123,10,0.77927154,0.07087259999999995,0.0,0.02322011,0.67338324
29,124,10,0.8005749,0.06013310000000005,0.0,0.023857256,0.69186044
29,125,10,0.82310694,0.049848399999999904,0.0,0.024768323,0.7182814
29,126,10,0.8450961,0.04181469999999998,0.0,0.02341074,0.67891145
29,127,10,0.86671156,0.032966800000000074,0.0,0.023356237,0.67733085
29,128,10,0.88856316,0.02640280000000006,0.0,0.022816194,0.6616696
29,129,10,0.911912,0.02242820000000001,0.0,0.023684736,0.68685734
29,130,10,0.93479896,0.01907459999999994,0.0,0.023131326,0.67080843
29,131,10,0.9574478,0.014126399999999872,0.0,0.023183111,0.67231023
29,132,10,0.97995895,0.013584999999999958,0.0,0.02251763,0.6530113
29,133,10,1.0065916,0.011578700000000053,0.0,0.02670807,0.77453405
29,134,10,1.0326458,0.010876200000000003,0.0,0.026063731,0.7558482
29,135,10,1.0571545,0.011442599999999858,0.0,0.024515258,0.7109425
29,136,10,1.0781407,0.0140034,0.0,0.021141866,0.6131141
29,137,10,1.1018202,0.016386599999999918,0.0,0.02379911,0.6901742
29,138,10,1.1236095,0.022022100000000044,0.0,0.02250629,0.65268236
29,139,10,1.1484628,0.02779569999999998,0.0,0.025515057,0.73993665
29,140,10,1.1701987,0.03487529999999994,0.0,0.022859799,0.6629342
29,141,10,1.194221,0.03967089999999995,0.0,0.02449633,0.71039355
29,142,10,1.21666,0.04916699999999996,0.0,0.024365645,0.7066037
29,143,10,1.2363669,0.05724130000000005,0.0,0.021296803,0.6176073
29,144,10,1.256638,0.06835229999999992,0.0,0.023116566,0.6703804
29,145,10,1.2757369,0.07843129999999987,0.0,0.021595228,0.62626165
29,146,10,1.29681,0.08931610000000001,0.0,0.023718214,0.6878282
29,147,10,1.2962981,0.08884819999999993,0.0,0.0006935078,0.020111727
29,148,10,1.2962981,0.08884819999999993,0.0,0.0,0.0
29,149,10,1.2966541,0.08906820000000004,0.0,0.00041848933,0.012136191
29,150,10,1.2985628,0.08797879999999991,0.0,0.0021977015,0.06373335
29,151,10,1.2970345,0.08847779999999994,0.0,0.0016076688,0.046622396
29,152,10,1.2964748,0.08916079999999993,0.0,0.000883082,0.025609378
29,153,10,,,0.0,0.16758454,
29,154,10,1.4281218,0.19230689999999995,0.0,0.00034810946,
29,155,10,1.4267094,0.19144260000000002,0.0,0.0016558407,0.04801938
29,156,10,1.4273939,0.19139759999999995,0.0,0.00068598136,0.01989346
29,157,10,1.4279748,0.19149890000000003,0.0,0.000589678,0.017100662
29,158,10,,,0.0,0.11659054,
29,159,10,1.4942769,0.2870577999999999,0.0,0.00028497545,
29,160,10,1.4938943,0.28707970000000005,0.0,0.00038317093,0.011111957
29,161,10,1.4936527,0.28444249999999993,0.0,0.002648314,0.07680111
29,162,10,1.4941072,0.2834588,0.0,0.0010836542,0.03142597
29,163,10,1.5345157,,0.0,0.114337415,
29,164,10,1.5344414,0.3911673,0.0,0.0007533885,
29,165,10,1.5347751,0.3913563,0.0,0.00038355438,0.011123077
29,166,10,1.5572258,0.46154399999999995,0.0,0.07369087,2.1370351
29,167,10,1.5513943,0.48537070000000004,0.0,0.024529954,0.7113687
29,168,10,1.5555189,0.5085374999999999,0.0,0.023531068,0.682401
29,169,10,1.556306,0.5331892,0.0,0.02466433,0.7152656
29,170,10,1.5553148,0.5569748999999999,0.0,0.023806356,0.6903843
29,171,10,1.5535018,0.5802187999999999,0.0,0.023314498,0.67612046
29,172,10,1.5517488,0.6025825,0.0,0.02243227,0.6505358
29,173,10,1.5490149,0.6238093,0.0,0.021402087,0.62066054
29,174,10,1.5437896,0.6472825,0.0,0.024047824,0.69738686
29,175,10,1.538295,0.6707379,0.0,0.02409036,0.69862044
29,176,10,1.5307987,0.6919362,0.0,0.022484709,0.6520566
29,177,10,1.5248106,0.7148669999999999,0.0,0.023699831,0.6872951
29,178,10,1.5165554,0.7371984,0.0,0.02380833,0.6904416
29,179,10,1.5070828,0.7585302999999999,0.0,0.023340534,0.6768755
29,180,10,1.4976264,0.7787899999999999,0.0,0.022358006,0.6483822
29,181,10,1.4873139,0.7994445499999999,0.0,0.023085866,0.6694901
29,182,10,1.4737483,0.81984286,0.0,0.02449725,0.71042025
29,183,10,1.4597217,0.839432,0.0,0.024093164,0.69870174
29,184,10,1.4459537,0.8588720999999999,0.0,0.023821726,0.69083005
29,185,10,1.4307902,0.8774249,0.0,0.02396119,0.6948745
29,186,10,1.422051,0.9027278999999999,0.0,0.02676969,0.776321
29,187,10,1.4032345,0.91945826,0.0,0.025178658,0.7301811
29,188,10,1.3848403,0.935847,0.0,0.024636107,0.7144471
29,189,10,1.3686799,0.9508112999999999,0.0,0.022024738,0.6387174
29,190,10,1.3528541,0.9652540599999999,0.0,0.021425385,0.62133616
29,191,10,1.3335092,0.97806924,0.0,0.023204632,0.67293435
29,192,10,1.3117485,0.989866,0.0,0.024752615,0.71782583
29,193,10,1.292521,1.0038572399999999,0.0,0.023779226,0.68959755
29,194,10,1.2718972,1.0156008,0.0,0.023732934,0.6882551
29,195,10,1.2496965,1.0257041999999998,0.0,0.024391597,0.70735633
29,196,10,1.2279481,1.0360070000000001,0.0,0.024065353,0.6978952
29,197,10,1.2059412,1.0439306400000001,0.0,0.023389885,0.6783067
29,198,10,1.1833767,1.0519621,0.0,0.023951259,0.6945865
29,199,10,1.1609926,1.0587119,0.0,0.02337958,0.6780078
29,200,10,1.1377785,1.06261366,0.0,0.023539718,0.6826518
29,201,10,1.1157206,1.0706764999999998,0.0,0.023485314,0.6810741
29,202,10,1.0915774,1.0708791,0.0,0.024144068,0.70017797
29,203,10,1.0682188,1.0729871,0.0,0.023453511,0.6801518
29,204,10,1.0452183,1.07893603,0.0,0.023757346,0.68896306
29,205,10,1.0221651,1.0747366999999999,0.0,0.023432637,0.6795465
29,206,10,0.9962456,1.0724559,0.0,0.026019597,0.75456834
29,207,10,0.97365737,1.0715113,0.0,0.022607993,0.6556318
29,208,10,0.94800776,1.0687927,0.0,0.025793279,0.7480051
29,209,10,0.9251885,1.0636825,0.0,0.023384476,0.6781498
29,210,10,0.9018205,1.06042557,0.0,0.023593877,0.6842224
29,211,10,0.8793544,1.0498658,0.0,0.024824047,0.7198974
29,212,10,0.8563162,1.0455909,0.0,0.023431461,0.6795124
29,213,10,0.83522254,1.0376921000000001,0.0,0.022524074,0.6531981
29,214,10,0.8153836,1.0288805,0.0,0.02170777,0.6295253
29,215,10,0.7954645,1.0183561,0.0,0.022528527,0.6533273
29,216,10,0.77511907,1.0095316699999999,0.0,0.022176733,0.6431253
29,217,10,0.7538718,0.99851256,0.0,0.023934646,0.69410473
29,218,10,0.7318248,0.9859468,0.0,0.025376506,0.7359187
29,219,10,0.7148157,0.9717154,0.0,0.022177573,0.6431496
29,220,10,0.6939652,0.9546406,0.0,0.026949769,0.7815433
29,221,10,0.6775258,0.9394412999999999,0.0,0.022389105,0.64928406
29,222,10,0.6624372,0.9237639999999999,0.0,0.021758795,0.63100505
29,223,10,0.64620084,0.90713494,0.0,0.02324101,0.6739893
29,224,10,0.6256827,0.8926988,0.0,0.025087748,0.72754467
29,225,10,0.6090598,0.87589567,0.0,0.023636127,0.6854477
29,226,10,0.59445155,0.8602356,0.0,0.021415846,0.62105954
29,227,10,0.5821757,0.8400206,0.0,0.02365047,0.6858636
29,228,10,0.57089484,0.81879424,0.0,0.024037782,0.6970957
29,229,10,0.5584593,0.79743605,0.0,0.02471468,0.7167257
29,230,10,0.5499979,0.7794223,0.0,0.019901972,0.5771572
29,231,10,0.5395449,0.7580180999999999,0.0,0.023820344,0.69079
29,232,10,0.5312517,0.7365807,0.0,0.02298562,0.666583
29,233,10,0.5209836,0.7115792999999999,0.0,0.027027862,0.783808
29,234,10,0.514851,0.6909000000000001,0.0,0.021569414,0.625513
29,235,10,0.50931674,0.6657339,0.0,0.025767481,0.74725693
29,236,10,0.50397176,0.6426209,0.0,0.02372299,0.6879667
29,237,10,0.50051236,0.6182300000000001,0.0,0.02463492,0.7144127
29,238,10,0.49782303,0.5981760999999999,0.0,0.020233504,0.5867716
29,239,10,0.49659216,0.5754815,0.0,0.022727942,0.6591103
29,240,10,0.49562362,0.5500962999999999,0.0,0.025403611,0.7367047
29,241,10,0.49594152,0.5269415,0.0,0.023157036,0.671554
29,242,10,0.49974704,0.5034810999999999,0.0,0.023767032,0.6892439
29,243,10,0.49946988,0.47765579999999996,0.0,0.025826748,0.7489757
29,244,10,0.501728,0.45391329999999996,0.0,0.023849698,0.6916412
29,245,10,0.5078716,0.42900689999999986,0.0,0.025652928,0.7439349
29,246,10,0.5147096,0.4061013,0.0,0.02390447,0.6932297
29,247,10,0.5210781,0.38383049999999996,0.0,0.023163473,0.6717407
29,248,10,0.52806455,0.36316820000000005,0.0,0.021811495,0.6325334
29,249,10,0.53726584,0.34293609999999997,0.0,0.022226129,0.6445577
29,250,10,0.5459712,0.3210610999999999,0.0,0.023543581,0.6827639
29,251,10,0.55710536,0.2994686,0.0,0.02429414,0.70453006
29,252,10,0.5689351,0.27691599999999994,0.0,0.025466897,0.73854
29,253,10,0.5802567,0.2582435999999999,0.0,0.021836558,0.6332602
29,254,10,0.59571964,0.23523919999999987,0.0,0.02771832,0.8038313
29,255,10,0.60610557,0.22124619999999995,0.0,0.017426196,0.5053597
29,256,10,0.60726565,0.22193130000000005,0.0,0.0013472765,0.03907102
29,257,10,0.6426184,0.18084109999999987,0.0,0.054205325,1.5719544
29,258,10,0.6584115,0.16273099999999996,0.0,0.024029134,0.6968449
29,259,10,0.67128205,0.14288529999999988,0.0,0.023653833,0.6859612
29,260,10,0.6923694,0.13212669999999993,0.0,0.023673235,0.6865238
29,261,10,0.70927024,0.11575329999999995,0.0,0.023531392,0.68241036
29,262,10,0.72882855,0.10419390000000006,0.0,0.022718918,0.6588486
29,263,10,0.7452187,0.09127780000000008,0.0,0.020867731,0.60516423
29,264,10,0.76408523,0.08086519999999986,0.0,0.021549199,0.62492675
29,265,10,0.7851555,0.07011069999999986,0.0,0.023656154,0.6860285
29,266,10,0.80647033,0.06148449999999994,0.0,0.022994237,0.66683286
29,267,10,0.8298856,0.05022519999999986,0.0,0.025981665,0.7534683
29,268,10,0.8511202,0.04368179999999988,0.0,0.02221988,0.6443765
29,269,10,0.8751814,0.03659499999999993,0.0,0.025083134,0.7274109
29,270,10,0.89669377,0.03007699999999991,0.0,0.022478152,0.65186644
29,271,10,0.9186508,0.024620599999999992,0.0,0.022624863,0.656121
29,272,10,0.9399441,0.021664899999999987,0.0,0.02149744,0.6234257
29,273,10,0.96364194,0.018834000000000017,0.0,0.023866337,0.6921238
29,274,10,0.98862165,0.01628570000000007,0.0,0.02510936,0.72817147
29,275,10,1.0145454,0.014631099999999897,0.0,0.02597654,0.7533197
29,276,10,1.0387977,0.015541400000000039,0.0,0.024269372,0.7038118
29,277,10,1.061814,0.017067799999999966,0.0,0.023066778,0.66893655
29,278,10,1.0885826,0.01996679999999995,0.0,0.026925197,0.78083074
29,279,10,1.1100571,0.021519899999999925,0.0,0.021530576,0.6243867
29,280,10,1.134318,0.025972499999999954,0.0,0.024666086,0.7153165
29,281,10,1.1543839,0.032139600000000046,0.0,0.020992214,0.6087742
29,282,10,1.1758593,0.03677920000000001,0.0,0.0219709,0.63715607
29,283,10,1.1969324,0.04573819999999995,0.0,0.022898432,0.6640545
29,284,10,1.2205336,0.05385489999999993,0.0,0.024957897,0.723779
29,285,10,1.2411512,0.06516750000000004,0.0,0.023517242,0.68200004
29,286,10,1.2664784,0.0754762,0.0,0.02734479,0.7929989
29,287,10,1.2863375,0.08844309999999989,0.0,0.02371756,0.6878092
29,288,10,1.286959,0.08821149999999989,0.0,0.0006633121,0.01923605
29,289,10,1.3314568,0.11474220000000002,0.0,0.051806644,1.5023926
29,290,10,1.3311266,0.11490040000000001,0.0,0.00036614583,0.010618229
29,291,10,1.3323431,0.11530360000000006,0.0,0.0012815966,0.0371663
29,292,10,1.3310987,0.11358489999999999,0.0,0.0021218671,0.061534148
29,293,10,1.3320509,0.11377539999999997,0.0,0.0009711113,0.028162228
29,294,10,1.3313171,0.11345110000000003,0.0,0.00080234295,0.023267945
29,295,10,,,0.0,0.13663961,
29,296,10,1.4325904,0.2051554,0.0,7.496549e-05,
29,297,10,1.4329758,0.2059727,0.0,0.0009036113,0.026204728
29,298,10,1.433299,0.20602549999999997,0.0,0.00032746274,0.00949642
29,299,10,1.4334863,0.20611880000000005,0.0,0.0002093034,0.0060697985
29,300,10,1.430629,0.20519179999999992,0.0,0.0030039302,0.08711398
29,301,10,1.432469,0.20617909999999995,0.0,0.0020881398,0.060556054
29,302,10,1.4318291,0.20564509999999991,0.0,0.0008334159,0.024169061
29,303,10,1.4328849,0.20739609999999997,0.0,0.0020446524,0.059294917
29,304,10,1.4332525,0.20765180000000005,0.0,0.00044772436,0.012984007
29,305,10,1.4332147,0.2077161999999999,0.0,7.464529e-05,0.0021647136
29,306,10,1.4331813,0.20811409999999997,0.0,0.0003993181,0.011580224
29,307,10,1.432543,0.20724589999999998,0.0,0.0010775584,0.031249193
29,308,10,,,0.0,0.29640684,
29,309,10,1.5523627,0.5012539,0.0,0.022285553,
29,310,10,1.5526166,0.5263547,0.0,0.025102112,0.72796124
29,311,10,1.5520205,0.5495972,0.0,0.023250116,0.67425334
29,312,10,1.5506928,0.5732309,0.0,0.023670986,0.6864586
29,313,10,1.5499061,0.5965038,0.0,0.023286164,0.67529875
29,314,10,1.5474428,0.6193491,0.0,0.022977693,0.6663531
29,315,10,1.5429052,0.6426334,0.0,0.023722332,0.68794763
29,316,10,1.5382776,0.6646656,0.0,0.022512998,0.652877
29,317,10,1.5312881,0.6879038,0.0,0.02426656,0.7037302
29,318,10,1.5241073,0.7094719999999999,0.0,0.022732144,0.6592322
29,319,10,1.5155317,0.7310196,0.0,0.023191364,0.67254955
29,320,10,1.5076905,0.7525587999999999,0.0,0.022922056,0.6647396
29,321,10,1.4987051,0.7724281,0.0,0.021806596,0.6323913
29,322,10,1.4883279,0.7944063,0.0,0.024304925,0.7048428
29,323,10,1.4752356,0.81466376,0.0,0.024119971,0.69947916
29,324,10,1.4653876,0.8333973,0.0,0.021164343,0.61376595
29,325,10,1.4495206,0.852932,0.0,0.02516677,0.72983634
29,326,10,1.4363815,0.8725552,0.0,0.023615781,0.68485767
29,327,10,1.4208149,0.8896845,0.0,0.023145877,0.67123044
29,328,10,1.4089098,0.9109132999999999,0.0,0.02433911,0.7058342
29,329,10,1.3918489,0.92856215,0.0,0.024547022,0.71186364
29,330,10,1.3760434,0.9474216999999999,0.0,0.024606837,0.71359825
29,331,10,1.3547366,0.9625811,0.0,0.026149364,0.75833154
29,332,10,1.3379879,0.9771285599999999,0.0,0.022184378,0.64334697
29,333,10,1.319879,0.9892786,0.0,0.0218072,0.6324088
29,334,10,1.2995827,1.0012021,0.0,0.02353956,0.6826472
29,335,10,1.2801456,1.0136653999999998,0.0,0.023089705,0.66960144
29,336,10,1.259674,1.0254841,0.0,0.023638329,0.6855115
29,337,10,1.2348047,1.03270595,0.0,0.025896579,0.7510008
29,338,10,1.2147359,1.04230534,0.0,0.022246536,0.6451495
29,339,10,1.1927263,1.05163615,0.0,0.023905795,0.69326806
29,340,10,1.1705717,1.0577659,0.0,0.022986924,0.6666208
29,341,10,1.1483445,1.06438415,0.0,0.023191558,0.6725552
29,342,10,1.1262075,1.0682171,0.0,0.022466423,0.6515263
29,343,10,1.1025908,1.0738303,0.0,0.024274582,0.70396286
29,344,10,1.0777699,1.07618706,0.0,0.024932561,0.7230443
29,345,10,1.053491,1.07923536,0.0,0.024469493,0.7096153
29,346,10,1.0288374,1.0796503,0.0,0.024657045,0.7150543
29,347,10,1.0059612,1.0760151,0.0,0.023163285,0.6717353
29,348,10,0.98170143,1.0752226999999999,0.0,0.024272684,0.70390785
29,349,10,0.95904756,1.0730803,0.0,0.02275496,0.6598938
29,350,10,0.93591523,1.0688876999999999,0.0,0.023509195,0.6817667
29,351,10,0.91440296,1.0648341000000001,0.0,0.02189085,0.63483465
29,352,10,0.8916318,1.0597278,0.0,0.023336694,0.67676413
29,353,10,0.8707091,1.0516952,0.0,0.022411598,0.6499363
29,354,10,0.84858733,1.0431943000000001,0.0,0.023698932,0.68726903
29,355,10,0.8263006,1.0340082499999999,0.0,0.024105616,0.6990629
29,356,10,0.8040924,1.02410816,0.0,0.024314946,0.70513344
29,357,10,0.78384066,1.0146377599999998,0.0,0.022356698,0.6483443
29,358,10,0.76537204,1.00390904,0.0,0.021358727,0.61940306
29,359,10,0.7436545,0.99086665,0.0,0.025332902,0.7346541
29,360,10,0.7254296,0.9785208,0.0,0.022012878,0.6383735
29,361,10,0.70722556,0.9637409,0.0,0.02344852,0.68000704
29,362,10,0.6894938,0.9489141,0.0,0.023113837,0.6703013
29,363,10,0.67114174,0.9322794,0.0,0.024769142,0.7183051
29,364,10,0.65240633,0.9138993999999999,0.0,0.026245752,0.7611268
29,365,10,0.6322523,0.90240245,0.0,0.02320272,0.67287886
29,366,10,0.617396,0.8821702,0.0,0.025100864,0.72792506
29,367,10,0.6038631,0.8652936999999999,0.0,0.021632282,0.6273362
29,368,10,0.5903906,0.84592484,0.0,0.023593636,0.6842154
29,369,10,0.5821996,0.8310162999999999,0.0,0.017010532,0.49330544
29,370,10,0.5691078,0.80920326,0.0,0.0254402,0.7377658
29,371,10,0.55930203,0.79045754,0.0,0.021155484,0.61350906
29,372,10,0.5472354,0.7694612999999999,0.0,0.024216603,0.7022815
29,373,10,0.53852034,0.7443040000000001,0.0,0.026624128,0.77209973
29,374,10,0.5292552,0.7209759,0.0,0.025100622,0.727918
