fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.98972255,1.56120052,0.0,0.0,0.0
29,1,10,0.99196345,1.56220561,0.0,0.00245598,0.07122342
29,2,10,0.9886154,1.56123997,0.0,0.0034845253,0.10105123
29,3,10,0.9907539,1.56230563,0.0,0.0023893067,0.06928989
29,4,10,0.991522,1.55974795,0.0,0.0026705323,0.07744544
29,5,10,0.99264985,1.56201598,0.0,0.0025329797,0.073456414
29,6,10,0.99275863,1.5640987,0.0,0.0020855593,0.06048122
29,7,10,0.99238807,1.5612109,0.0,0.0029114785,0.08443288
29,8,10,0.99264693,1.56116706,0.0,0.00026254889,0.007613918
29,9,10,0.9929857,1.56005628,0.0,0.0011612952,0.033677563
29,10,10,0.9934246,1.56250514,0.0,0.0024878718,0.072148286
29,11,10,0.9944719,1.56264748,0.0,0.001056941,0.030651288
29,12,10,0.9958046,1.5649255,0.0,0.0026392124,0.07653716
29,13,10,0.99569255,1.56509893,0.0,0.00020648554,0.0059880805
29,14,10,0.9958046,1.5649255,0.0,0.00020648554,0.0059880805
29,15,10,0.99345744,1.56411009,0.0,0.0024847738,0.07205844
29,16,10,0.9935753,1.5622463,0.0,0.001867514,0.054157905
29,17,10,0.9939567,1.56398432,0.0,0.0017793849,0.051602162
29,18,10,0.9933741,1.56484495,0.0,0.0010392695,0.030138815
29,19,10,0.9923843,1.5666082700000001,0.0,0.0020221202,0.058641486
29,20,10,0.9862946,1.56475689,0.0,0.006364896,0.18458198
29,21,10,0.9748366,1.56378459,0.0,0.011499219,0.33347735
29,22,10,0.9594637,1.5670327,0.0,0.01571227,0.45565584
29,23,10,0.94136524,1.5646099,0.0,0.01825992,0.5295377
29,24,10,0.92506284,1.56484087,0.0,0.016304042,0.4728172
29,25,10,0.90641594,1.5675414,0.0,0.018841434,0.5464016
29,26,10,0.88440603,1.56347516,0.0,0.02238237,0.64908874
29,27,10,0.8627317,1.56438546,0.0,0.021693442,0.6291098
29,28,10,0.84319943,1.5597242,0.0,0.020080755,0.5823419
29,29,10,0.82061106,1.56193274,0.0,0.022696085,0.6581865
29,30,10,0.7976482,1.55960149,0.0,0.023080902,0.66934615
29,31,10,0.7735477,1.5549727,0.0,0.024540965,0.711688
29,32,10,0.7732326,1.55805406,0.0,0.0030974387,0.08982572
29,33,10,0.7732326,1.55805406,0.0,0.0,0.0
29,34,10,0.7732326,1.55805406,0.0,0.0,0.0
29,35,10,0.7736693,1.55818457,0.0,0.00045580542,0.013218357
29,36,10,0.77396005,1.55819552,0.0,0.00029095766,0.008437772
29,37,10,0.77407014,1.55702257,0.0,0.0011781,0.0341649
29,38,10,0.7735334,1.55836295,0.0,0.0014438466,0.04187155
29,39,10,0.7827022,1.56534869,0.0,0.011526817,0.33427772
29,40,10,0.7737745,1.55725944,0.0,0.012047396,0.34937447
29,41,10,,1.47751878,0.0,0.25274825,
29,42,10,0.51034796,1.4658928,0.0,0.026296405,
29,43,10,0.48640805,1.453115,0.0,0.027136534,0.7869595
29,44,10,0.4693574,1.43104594,0.0,0.027888501,0.80876654
29,45,10,0.47494122,1.4373864,0.0,0.008448709,0.24501255
29,46,10,0.43373257,1.41505696,0.0,0.04686958,1.3592178
29,47,10,0.43328616,1.4154569399999999,0.0,0.0005993852,0.017382171
29,48,10,0.43033305,1.41232003,0.0,0.0043082517,0.1249393
29,49,10,0.43154433,1.4129338,0.0,0.0013579165,0.039379578
29,50,10,0.43189055,1.4126139,0.0,0.00047137952,0.013670006
29,51,10,0.43197775,1.41245718,0.0,0.0001793559,0.005201321
29,52,10,0.42885992,1.41197,0.0,0.0031556622,0.09151421
29,53,10,0.43024704,1.4123755,0.0,0.0014451721,0.041909993
29,54,10,0.42170087,1.40398456,0.0,0.011976846,0.3473285
29,55,10,,,0.0,0.23707409,
29,56,10,0.25320095,1.23304375,0.0,0.002960371,
29,57,10,0.25382215,1.2328491000000001,0.0,0.0006509876,0.01887864
29,58,10,0.21131404,1.1688372,0.0,0.07684048,2.228374
29,59,10,0.21177915,1.16846974,0.0,0.00059275294,0.017189836
29,60,10,0.18984884,1.1273143,0.0,0.046633787,1.3523798
29,61,10,0.18932468,1.12719096,0.0,0.0005384751,0.015615778
29,62,10,0.18977535,1.1264251,0.0,0.00088862015,0.025769984
29,63,10,0.18922481,1.1271282,0.0,0.0008929933,0.025896806
29,64,10,0.1902995,1.1265489,0.0,0.0012208755,0.03540539
29,65,10,0.18868427,1.1237894000000002,0.0,0.0031974812,0.09272695
29,66,10,0.13839841,,0.0,0.15314628,4.441242
29,67,10,0.13601376,0.98185666,0.0,0.0036191484,0.1049553
29,68,10,0.12679288,0.9315883,0.0,0.051107064,1.4821049
29,69,10,0.12081112,0.9007296,0.0,0.031433113,0.9115603
29,70,10,0.12204517,0.90364523,0.0,0.0031660255,0.09181474
29,71,10,0.12190107,0.901147,0.0,0.0025023615,0.07256848
29,72,10,0.1217879,0.9009945,0.0,0.00018992973,0.0055079623
29,73,10,0.1220496,0.90018137,0.0,0.00085420284,0.024771882
29,74,10,0.122163005,0.90033384,0.0,0.00019001962,0.005510569
29,75,10,0.122163005,0.90033384,0.0,0.0,0.0
29,76,10,0.12104189,0.8980642,0.0,0.0025314242,0.0734113
29,77,10,0.12104189,0.8980642,0.0,0.0,0.0
29,78,10,0.12173474,0.8976393500000001,0.0,0.0008127431,0.02356955
29,79,10,0.12173474,0.8976393500000001,0.0,0.0,0.0
29,80,10,0.12162183,0.89748676,0.0,0.00018981795,0.0055047204
29,81,10,0.12173474,0.8976393500000001,0.0,0.00018981795,0.0055047204
29,82,10,0.122578345,0.8962468,0.0,0.0016281429,0.047216143
29,83,10,0.12104189,0.8980642,0.0,0.002379846,0.06901553
29,84,10,0.12199844,0.8968241,0.0,0.0015661805,0.045419235
29,85,10,0.12130441,0.89724894,0.0,0.0008137468,0.023598658
29,86,10,0.12130441,0.89724894,0.0,0.0,0.0
29,87,10,0.12219516,0.8982106,0.0,0.0013108149,0.03801363
29,88,10,0.20365274,,0.0,0.47401646,
29,89,10,0.21336761,0.4081739,0.0,0.025033679,
29,90,10,0.22673814,0.38615390000000005,0.0,0.025761418,0.7470811
29,91,10,0.2416627,0.36347550000000006,0.0,0.027148684,0.78731185
29,92,10,0.24101032,0.36382690000000006,0.0,0.00074100785,0.021489227
29,93,10,0.23997654,0.3623874,0.0,0.0017723072,0.05139691
29,94,10,0.2393668,0.36159509999999995,0.0,0.0009997337,0.028992277
29,95,10,0.29781488,0.281107,0.0,0.09947115,2.8846633
29,96,10,0.29675636,0.2814303,0.0,0.0011067892,0.03209689
29,97,10,0.29693162,0.281555,0.0,0.00021509767,0.0062378324
29,98,10,0.2966986,0.28199550000000007,0.0,0.0004983187,0.014451242
29,99,10,0.2959409,0.28118580000000004,0.0,0.0011089027,0.03215818
29,100,10,0.3841473,0.18991939999999996,0.0,0.12692486,3.680821
29,101,10,0.38308147,0.19019910000000007,0.0,0.0011019009,0.031955127
29,102,10,0.38497573,0.19012089999999993,0.0,0.0018958789,0.05498049
29,103,10,0.38573113,0.19108340000000013,0.0,0.0012235303,0.035482377
29,104,10,0.46541476,0.12053810000000009,0.0,0.10642426,3.0863035
29,105,10,0.48522177,0.11114139999999995,0.0,0.021922937,0.6357652
29,106,10,0.5067558,0.10366169999999997,0.0,0.022796074,0.66108614
29,107,10,0.50571984,0.10389369999999998,0.0,0.0010616436,0.030787664
29,108,10,0.5507225,0.07903640000000012,0.0,0.051411305,1.4909278
29,109,10,0.5744825,0.06715629999999995,0.0,0.026564578,0.77037275
29,110,10,0.59890455,0.05746530000000005,0.0,0.02627455,0.761962
29,111,10,0.62207663,0.0480969,0.0,0.02499425,0.72483325
29,112,10,0.6459228,0.041912300000000124,0.0,0.024635093,0.7144177
29,113,10,0.6699904,0.03368109999999991,0.0,0.02543626,0.7376515
29,114,10,0.6933813,0.028198900000000027,0.0,0.02402474,0.69671744
29,115,10,0.7183823,0.02178340000000012,0.0,0.025811004,0.7485191
29,116,10,0.7410312,0.016206500000000013,0.0,0.02332545,0.6764381
29,117,10,0.7647069,0.011455600000000121,0.0,0.024147637,0.7002815
29,118,10,0.7897374,0.007784999999999931,0.0,0.025298195,0.73364764
29,119,10,0.81456757,0.005358100000000032,0.0,0.024948493,0.7235063
29,120,10,0.8398538,0.004694299999999929,0.0,0.025294967,0.73355407
29,121,10,0.8656197,0.001830699999999963,0.0,0.025924541,0.7518117
29,122,10,0.8901455,0.0015144000000000268,0.0,0.0245278,0.71130615
29,123,10,0.91435194,0.003720100000000004,0.0,0.024306746,0.7048956
29,124,10,0.93975765,0.002784600000000026,0.0,0.025422925,0.7372648
29,125,10,0.9661193,0.00556179999999995,0.0,0.026507532,0.7687184
29,126,10,0.99052507,0.006340500000000082,0.0,0.024418196,0.7081277
29,127,10,1.0159508,0.010313500000000086,0.0,0.02573427,0.74629384
29,128,10,1.0397402,0.015117199999999942,0.0,0.024269572,0.7038176
29,129,10,1.0641497,0.02030339999999997,0.0,0.024954397,0.7236775
29,130,10,1.0886172,0.02457189999999998,0.0,0.024836995,0.72027284
29,131,10,1.1118853,0.03290609999999994,0.0,0.02471568,0.71675473
29,132,10,1.1346877,0.04038990000000009,0.0,0.02399903,0.69597185
29,133,10,1.1616163,0.04559409999999997,0.0,0.027426932,0.795381
29,134,10,1.1611067,0.04737839999999993,0.0,0.0018556742,0.053814553
29,135,10,1.1602395,0.04756019999999994,0.0,0.00088609674,0.025696805
29,136,10,1.2290521,0.07561890000000004,0.0,0.07431332,2.1550863
29,137,10,1.2286282,0.07740469999999999,0.0,0.00183538,0.05322602
