fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,1,10,1.2026772,1.0537013499999999,0.0,0.0,0.0
29,2,10,1.2034463,1.0531663999999998,0.0,0.0009367837,0.027166726
29,3,10,1.2003807,1.0512637599999999,0.0,0.0036080265,0.10463277
29,4,10,1.2027638,1.0521625,0.0,0.0025469544,0.07386168
29,5,10,1.2028452,1.05273483,0.0,0.00057808624,0.016764501
29,6,10,1.2029588,1.05301494,0.0,0.00030227334,0.008765927
29,7,10,1.2025537,1.05247406,0.0,0.00067574997,0.01959675
29,8,10,1.2027562,1.0545802,0.0,0.0021158347,0.061359208
29,9,10,1.2038097,1.05349786,0.0,0.0015104482,0.043803
29,10,10,1.2029539,1.0538066,0.0,0.0009097953,0.026384063
29,11,10,1.2024162,1.05188087,0.0,0.00199941,0.05798289
29,12,10,1.2031661,1.0524526,0.0,0.0009430223,0.027347647
29,13,10,1.202944,1.0549871,0.0,0.0025442203,0.07378239
29,14,10,1.2029029,1.05271364,0.0,0.0022738422,0.06594142
29,15,10,1.2041343,1.0524746999999999,0.0,0.0012543962,0.03637749
29,16,10,1.2038242,1.0542338999999998,0.0,0.0017863377,0.051803794
29,17,10,1.2029355,1.0526217999999998,0.0,0.0018408558,0.053384818
29,18,10,1.2033671,1.0522799999999999,0.0,0.0005505783,0.015966771
29,19,10,1.2036883,1.0528076,0.0,0.00061764795,0.01791179
29,20,10,1.2039815,1.05323703,0.0,0.0005200013,0.0150800375
29,21,10,1.2024362,1.0521306,0.0,0.0019005775,0.055116747
29,22,10,1.2017756,1.0533536,0.0,0.0013900596,0.040311728
29,23,10,1.2025064,1.0535108499999999,0.0,0.0007475945,0.021680241
29,24,10,1.2021662,1.05218056,0.0,0.0013731036,0.039820004
29,25,10,1.2031671,1.05446426,0.0,0.002493394,0.07230843
29,26,10,1.2037487,1.05374167,0.0,0.00092758634,0.026900005
29,27,10,1.2037202,1.0524901999999998,0.0,0.0012517833,0.036301717
29,28,10,1.2037846,1.055835,0.0,0.0033454234,0.09701728
29,29,10,1.2024709,1.0540788,0.0,0.0021931904,0.06360252
29,30,10,1.2034643,1.05375,0.0,0.001046366,0.030344613
29,31,10,1.2029579,1.0533398999999999,0.0,0.00065163797,0.018897502
29,32,10,1.2026494,1.05172617,0.0,0.0016429622,0.047645904
29,33,10,1.203031,1.05389187,0.0,0.0021990652,0.06377289
29,34,10,1.2029173,1.05299166,0.0,0.00090734917,0.026313126
29,35,10,1.2034602,1.0529473999999999,0.0,0.00054468005,0.01579572
29,36,10,1.2034192,1.05287985,0.0,7.903329e-05,0.0022919655
29,37,10,1.203633,1.05509312,0.0,0.0022235664,0.06448343
29,38,10,1.2035593,1.0539141399999998,0.0,0.0011812793,0.0342571
29,39,10,1.2037522,1.05188937,0.0,0.002033936,0.058984146
29,40,10,1.2033619,1.05338118,0.0,0.0015420242,0.0447187
29,41,10,1.203837,1.05510718,0.0,0.001790214,0.051916204
29,42,10,1.2036049,1.05501894,0.0,0.0002483098,0.0072009843
29,43,10,1.2036058,1.05251077,0.0,0.0025081637,0.07273675
29,44,10,1.2031037,1.0545587299999999,0.0,0.0021086105,0.061149705
29,45,10,1.2023209,1.05299324,0.0,0.00175026,0.050757542
29,46,10,1.2032075,1.05457107,0.0,0.001809839,0.052485332
29,47,10,1.2032186,1.05383033,0.0,0.00074081967,0.02148377
29,48,10,1.2014948,1.05285454,0.0,0.0019807906,0.05744293
29,49,10,1.2029015,1.053718,0.0,0.0016505416,0.047865704
29,50,10,1.2035909,1.05418003,0.0,0.000829893,0.024066897
29,51,10,1.2018092,1.05240745,0.0,0.0025132669,0.07288474
29,52,10,1.2026305,1.0536140299999999,0.0,0.0014596051,0.042328548
29,53,10,1.2029134,1.0555552,0.0,0.001961678,0.056888662
29,54,10,1.2027378,1.05285684,0.0,0.0027040693,0.07841801
29,55,10,1.2019771,1.05328683,0.0,0.0008737936,0.025340015
29,56,10,1.2004495,1.0525496699999999,0.0,0.0016962229,0.049190465
29,57,10,1.2034276,1.0552968699999998,0.0,0.004051685,0.11749886
29,58,10,1.2037158,1.0536166,0.0,0.0017048295,0.049440056
29,59,10,1.2029256,1.05276445,0.0,0.0011621598,0.033702634
