fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.5648824,0.5242500000000001,0.0,0.0,0.0
29,1,10,1.5643644,0.5242534000000001,0.0,0.00051797595,0.015021303
29,2,10,1.5635748,0.5226649000000001,0.0,0.0017739087,0.051443353
29,3,10,1.5627245,0.5225969000000001,0.0,0.00085303996,0.024738159
29,4,10,1.565172,0.5220989,0.0,0.0024976246,0.07243112
29,5,10,1.5657846,0.5316139000000002,0.0,0.009534629,0.05399006666666667
29,6,10,1.5644767,0.5235163,0.0,0.008202466,0.03554901333333333
29,7,10,1.5650371,0.5233320000000001,0.0,0.00058992964,0.01710796
29,8,10,1.5635114,0.5219312,0.0,0.002071295,0.060067553
29,9,10,1.5632626,0.5233392000000001,0.0,0.0014297925,0.041463982
29,10,10,1.5632778,0.5230085000000002,0.0,0.00033103843,0.009600115
29,11,10,1.5651109,0.5227890000000002,0.0,0.0018461721,0.053538993
29,12,10,1.5610977,0.5251868000000002,0.0,0.0046749273,0.1355729
29,13,10,1.5608153,0.5267568,0.0,0.0015951836,0.046260327
29,14,10,1.5637546,0.5235480000000001,0.0,0.0043514543,0.12619218
29,15,10,1.5634055,0.5286646000000002,0.0,0.0051284735,0.14872573
29,16,10,1.5617876,0.5220019,0.0,0.006856351,0.19883418
29,17,10,1.5660973,0.5299975000000001,0.0,0.009083106,0.182018965
29,18,10,1.5621874,0.5258544,0.0,0.005696681,0.16520375
29,19,10,1.5625577,0.5269727000000002,0.0,0.0011780049,0.03416214
29,20,10,1.5633404,0.5243947000000002,0.0,0.0026942254,0.07813254
29,21,10,1.5611953,0.5267547000000001,0.0,0.0031892469,0.09248816
29,22,10,1.5612077,0.5281762000000001,0.0,0.0014216249,0.04122712
29,23,10,1.5624584,0.5287102000000001,0.0,0.001359945,0.039438408
29,24,10,1.5619078,0.5293274000000001,0.0,0.0008271685,0.023987887
29,25,10,1.5610678,0.5285646000000002,0.0,0.0011346402,0.032904565
29,26,10,1.5634854,0.5231940000000002,0.0,0.005889664,0.17080025
29,27,10,1.5641512,0.5233754000000002,0.0,0.00069006335,0.020011837
29,28,10,1.5630416,0.5238241000000001,0.0,0.0011968907,0.03470983
29,29,10,1.5651706,0.5221533,0.0,0.0027064127,0.078485966
29,30,10,1.5666542,0.5224556,0.0,0.0015140487,0.04390741
29,31,10,1.5647644,0.5252917000000001,0.0,0.0034080711,0.09883406
29,32,10,1.5634854,0.5299806,0.0,0.004860168,0.14094487
29,33,10,1.5644602,0.5214152000000001,0.0,0.008620714,0.13791842999999998
29,34,10,1.5616046,0.5250869,0.0,0.0046514478,0.13489199
29,35,10,1.5632585,0.5269338000000001,0.0,0.002479212,0.07189714
29,36,10,1.5652344,0.5223947000000002,0.0,0.004950543,0.14356574
29,37,10,1.5649887,0.5207284000000001,0.0,0.0016843231,0.04884537
29,38,10,1.5655531,0.5233245000000002,0.0,0.0026567683,0.07704628
29,39,10,1.5647926,0.5211375,0.0,0.0023154463,0.06714794
29,40,10,1.5633645,0.5235737,0.0,0.002823903,0.08189319
29,41,10,1.5637498,0.5235933000000002,0.0,0.00038578617,0.011187799
29,42,10,1.5629293,0.5248496,0.0,0.001500452,0.043513108
29,43,10,1.5650864,0.5322036000000001,0.0,0.007663855,0.22225179
29,44,10,1.5601447,0.5258631,0.0,0.008038807,0.15114358
29,45,10,1.5620254,0.5238433,0.0,0.0027598406,0.08003537
29,46,10,1.5625682,0.5256658000000001,0.0,0.001901576,0.055145703
29,47,10,1.5631512,0.5255874,0.0,0.0005883053,0.017060854
29,48,10,1.5647993,0.5237519000000002,0.0,0.002466792,0.071536966
29,49,10,1.5646349,0.5241411,0.0,0.00042251017,0.0122527955
