fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.6455902,0.6375051,0.0,0.0,0.0
29,1,10,1.6448859,0.6354348999999999,0.0,0.0021867105,0.0634146
29,2,10,1.6448481,0.6375377,0.0,0.0021031913,0.06099255
29,3,10,1.645565,0.6382665999999999,0.0,0.0010223488,0.029648114
29,4,10,1.6450833,0.6383597999999999,0.0,0.00049066177,0.0142291915
29,5,10,1.6456102,0.6391169999999999,0.0,0.0009225005,0.026752515
29,6,10,1.6460161,0.6363417,0.0,0.002804838,0.0813403
29,7,10,1.6449432,0.6377386,0.0,0.0017613613,0.051079478
29,8,10,1.6446542,0.6371456,0.0,0.00065966265,0.019130217
29,9,10,1.6450026,0.6377482999999999,0.0,0.000696094,0.020186726
29,10,10,1.6453375,0.6354183,0.0,0.0023538857,0.06826268
29,11,10,1.645884,0.6381220000000001,0.0,0.0027583614,0.07999248
29,12,10,1.6447425,0.6379608999999999,0.0,0.0011528529,0.033432733
29,13,10,1.645592,0.6370936,0.0,0.0012140636,0.035207845
29,14,10,1.6448035,0.6388046999999999,0.0,0.0018840436,0.054637264
29,15,10,1.6461024,0.6384189,0.0,0.0013549776,0.03929435
29,16,10,1.6445979,0.6377116,0.0,0.0016624895,0.048212197
29,17,10,1.64505,0.6374412,0.0,0.000526889,0.015279781
29,18,10,1.6453859,0.6386993999999999,0.0,0.0013022954,0.037766565
29,19,10,1.6469172,0.6385137999999999,0.0,0.00154257,0.04473453
29,20,10,1.6444602,0.6378607000000001,0.0,0.0025423537,0.073728256
29,21,10,1.6462449,0.6376172,0.0,0.0018012071,0.052235007
29,22,10,1.6439943,0.6376522,0.0,0.0022508232,0.06527387
29,23,10,1.6443521,0.6374418,0.0,0.00041503372,0.012035978
29,24,10,1.6462415,0.6386072,0.0,0.0022199596,0.06437883
29,25,10,1.644184,0.6365076000000001,0.0,0.0029396394,0.08524954
29,26,10,1.6458161,0.6375848,0.0,0.001955515,0.056709934
29,27,10,1.645291,0.6379503,0.0,0.0006397928,0.018553993
29,28,10,1.6460654,0.6388137,0.0,0.0011598216,0.033634827
29,29,10,1.6435486,0.6373203999999999,0.0,0.0029264418,0.084866814
29,30,10,1.6441295,0.6348156,0.0,0.002571304,0.07456782
29,31,10,1.6452757,0.637847,0.0,0.0032408317,0.09398412
29,32,10,1.6451712,0.6362954999999999,0.0,0.0015550273,0.045095794
29,33,10,1.6445808,0.6356447000000001,0.0,0.00087862165,0.025480028
29,34,10,1.6449857,0.6368468999999999,0.0,0.0012685574,0.036788166
29,35,10,1.6443217,0.6363464999999999,0.0,0.00083146326,0.024112435
29,36,10,1.6440893,0.6365411000000001,0.0,0.00030311267,0.008790268
29,37,10,1.6460387,0.6388202000000001,0.0,0.0029989746,0.08697026
29,38,10,1.6470022,0.6391378000000001,0.0,0.0010145529,0.029422034
29,39,10,1.6448671,0.6388251,0.0,0.002157932,0.06258003
29,40,10,1.6435905,0.6367731000000001,0.0,0.002416658,0.07008308
29,41,10,1.6437839,0.6377577000000001,0.0,0.0010033798,0.029098015
