fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,1,10,1.0889374,1.1744686500000001,0.0,0.0,0.0
29,2,10,1.0887989,1.18482725,0.0,0.010359528,0.3004263
29,3,10,1.0891927,1.18591754,0.0,0.0011592497,0.03361824
29,4,10,1.0930223,1.17413597,0.0,0.012388353,0.35926226
29,5,10,1.0902104,1.17362003,0.0,0.0028588497,0.08290664
29,6,10,1.094052,1.1747738,0.0,0.004011041,0.11632019
29,7,10,1.0895716,1.1695545,0.0,0.006878556,0.19947813
29,8,10,1.0934739,1.1731326,0.0,0.0052944166,0.15353808
29,9,10,1.0934149,1.17243416,0.0,0.00070093543,0.020327128
29,10,10,1.0905547,1.17305867,0.0,0.0029275736,0.084899634
29,11,10,1.0901561,1.17241488,0.0,0.00075721584,0.02195926
29,12,10,1.0905112,1.17040942,0.0,0.0020366577,0.059063073
29,13,10,1.0914216,1.17155252,0.0,0.0014613362,0.04237875
29,14,10,1.09072,1.17502548,0.0,0.0035431026,0.10274997
29,15,10,1.0911926,1.1710407,0.0,0.0040127,0.11636831
29,16,10,1.0904495,1.17205117,0.0,0.0012543276,0.0363755
29,17,10,1.0897481,1.1699517,0.0,0.002213519,0.06419206
29,18,10,1.091541,1.1718766999999999,0.0,0.0026306321,0.076288335
29,19,10,1.0911627,1.1717571,0.0,0.00039682168,0.011507829
29,20,10,1.0913042,1.1707159,0.0,0.0010507748,0.03047247
29,21,10,1.0896293,1.17016546,0.0,0.0017630237,0.051127687
29,22,10,1.0903099,1.1703928000000001,0.0,0.0007175303,0.02080838
29,23,10,1.0910134,1.170689,0.0,0.00076338253,0.022138093
29,24,10,1.0905994,1.17024784,0.0,0.0006050066,0.017545192
29,25,10,1.0910603,1.1731539,0.0,0.002942371,0.08532876
29,26,10,1.0911609,1.17223648,0.0,0.0009229055,0.02676426
29,27,10,1.0901539,1.17243524,0.0,0.001026388,0.029765252
29,28,10,1.0903337,1.17230402,0.0,0.00022256456,0.0064543723
29,29,10,1.0900621,1.17123086,0.0,0.0011069775,0.032102346
29,30,10,1.0893182,1.17136828,0.0,0.00075656973,0.021940522
29,31,10,1.0893358,1.17163522,0.0,0.0002675218,0.007758132
29,32,10,1.0895127,1.17170606,0.0,0.00019056302,0.0055263275
29,33,10,1.089678,1.17072002,0.0,0.0009998062,0.02899438
29,34,10,1.0900326,1.17016498,0.0,0.00065860315,0.01909949
29,35,10,1.089272,1.1712741,0.0,0.0013448416,0.039000407
29,36,10,1.0886552,1.17188452,0.0,0.0008677732,0.025165422
29,37,10,1.0891247,1.16881205,0.0,0.0031081273,0.09013569
29,38,10,1.0886896,1.16648157,0.0,0.002370753,0.06875184
29,39,10,1.088837,1.1700583,0.0,0.0035797642,0.103813164
29,40,10,1.090147,1.17179937,0.0,0.0021788622,0.063187
29,41,10,1.0895264,1.17068465,0.0,0.0012758381,0.036999304
29,42,10,1.0886302,1.169785,0.0,0.0012698658,0.036826108
29,43,10,1.0890158,1.1690732000000001,0.0,0.00080955366,0.023477057
29,44,10,1.0892448,1.17001064,0.0,0.00096499757,0.02798493
29,45,10,1.0895354,1.16730655,0.0,0.002719645,0.0788697
29,46,10,1.0888433,1.1698311399999999,0.0,0.0026177098,0.075913586
29,47,10,1.0894569,1.1713241,0.0,0.0016141129,0.046809275
29,48,10,1.0889724,1.1673526,0.0,0.0040009273,0.11602689
29,49,10,1.0891514,1.16886697,0.0,0.0015249096,0.04422238
29,50,10,1.0892084,1.16693853,0.0,0.0019292904,0.05594942
29,51,10,1.0889019,1.1724828,0.0,0.00555274,0.16102946
29,52,10,1.088456,1.16793968,0.0,0.00456495,0.13238354
29,53,10,1.0886724,1.16970996,0.0,0.0017834608,0.051720366
29,54,10,1.0894648,1.17132114,0.0,0.0017954808,0.052068945
29,55,10,1.0887091,1.17015467,0.0,0.0013898452,0.04030551
29,56,10,1.0893601,1.17107023,0.0,0.0011234093,0.032578867
29,57,10,1.0900122,1.17280756,0.0,0.0018556683,0.05381438
29,58,10,1.0873259,1.16693724,0.0,0.0064557395,0.18721645
29,59,10,1.0887976,1.1722474200000002,0.0,0.0055103274,0.1597995
29,60,10,1.0904429,1.1724149000000001,0.0,0.0016538296,0.04796106
29,61,10,1.0888165,1.17247383,0.0,0.0016274393,0.04719574
29,62,10,1.0893093,1.17185862,0.0,0.00078825466,0.022859385
29,63,10,1.0901502,1.17174305,0.0,0.0008488074,0.024615414
29,64,10,1.0896171,1.167776,0.0,0.0040027066,0.11607849
29,65,10,1.0889151,1.17015786,0.0,0.0024831633,0.07201173
29,66,10,1.0894606,1.17164124,0.0,0.0015805033,0.045834597
29,67,10,1.0884238,1.17095335,0.0,0.0012442188,0.036082346
29,68,10,1.08798,1.17003162,0.0,0.0010230113,0.029667327
29,69,10,1.0848391,1.17226805,0.0,0.0038557774,0.111817546
29,70,10,1.0890943,1.1716512,0.0,0.0042996537,0.12468996
29,71,10,1.0879444,1.16638796,0.0,0.0053873872,0.15623423
29,72,10,1.0884408,1.17089157,0.0,0.004530881,0.13139555
29,73,10,1.0878103,1.1716536,0.0,0.0009890606,0.028682757
29,74,10,1.0897448,1.1725808,0.0,0.002145242,0.062212016
29,75,10,1.087847,1.17031108,0.0,0.0029585971,0.085799314
29,76,10,1.0906148,1.17148097,0.0,0.0030048904,0.08714182
29,77,10,1.0889347,1.17028053,0.0,0.0020649228,0.059882764
29,78,10,1.0882299,1.16714506,0.0,0.0032137022,0.09319737
29,79,10,1.0896531,1.17386175,0.0,0.006865832,0.19910912
29,80,10,1.0892323,1.17169358,0.0,0.002208637,0.06405047
29,81,10,1.0894326,1.17283515,0.0,0.0011590121,0.03361135
29,82,10,1.0892533,1.17247648,0.0,0.00040098632,0.011628604
29,83,10,1.0887667,1.17184265,0.0,0.0007990866,0.023173511
29,84,10,1.0878605,1.16858022,0.0,0.0033859569,0.09819275
29,85,10,1.088442,1.17122175,0.0,0.0027047773,0.07843854
29,86,10,1.0879012,1.1658684400000001,0.0,0.005380542,0.15603572
29,87,10,1.0889778,1.16640307,0.0,0.0012020172,0.0348585
29,88,10,1.0876696,1.16643063,0.0,0.0013084932,0.037946302
29,89,10,1.08862,1.16723118,0.0,0.0012425858,0.03603499
29,90,10,1.0890628,1.17062695,0.0,0.0034245225,0.09931115
29,91,10,1.0880659,1.16897164,0.0,0.0019323447,0.056038
29,92,10,1.0881692,1.17020394,0.0,0.0012366228,0.035862062
29,93,10,1.0886421,1.1696084,0.0,0.00076046376,0.022053448
29,94,10,1.0881937,1.1700849,0.0,0.00065435644,0.018976336
29,95,10,1.0877597,1.17264105,0.0,0.002592714,0.075188704
29,96,10,1.0875982,1.17100312,0.0,0.0016458811,0.047730554
29,97,10,1.0861953,1.17235468,0.0,0.0019480067,0.056492195
29,98,10,1.0833675,1.17217342,0.0,0.0028336858,0.08217689
29,99,10,1.0811169,1.1701803,0.0,0.0030062455,0.08718112
