fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,0.79050046,0.9988617000000001,0.0,0.0,0.0
29,1,10,0.7908402,1.0020769600000001,0.0,0.0032331536,0.09376145
29,2,10,0.7894493,1.0022354,0.0,0.0013999275,0.040597897
29,3,10,0.79063845,1.0028156,0.0,0.0013231602,0.03837165
29,4,10,0.78586036,1.0028837,0.0,0.004778573,0.13857861
29,5,10,0.7881734,1.00202075,0.0,0.0024687538,0.07159386
29,6,10,0.7901012,1.00105116,0.0,0.0021578898,0.062578805
29,7,10,0.7906128,1.0039636,0.0,0.0029570619,0.0857548
29,8,10,0.78929555,1.000348,0.0,0.0038480998,0.11159489
29,9,10,0.7912035,1.00037083,0.0,0.0019080812,0.055334356
29,10,10,0.7911082,1.0003748,0.0,9.539146e-05,0.0027663521
29,11,10,0.7921454,1.0022624,0.0,0.002153747,0.062458664
29,12,10,0.7885856,1.0016471,0.0,0.0036125535,0.10476405
29,13,10,0.790272,1.0009065000000001,0.0,0.0018418457,0.053413525
29,14,10,0.79073375,1.0004520000000001,0.0,0.00064790173,0.01878915
29,15,10,0.7891643,1.0003715,0.0,0.0015715144,0.045573916
29,16,10,0.7915446,1.0024059,0.0,0.0031312571,0.090806454
29,17,10,0.791317,1.0016166,0.0,0.0008215108,0.023823813
29,18,10,0.7924753,1.0017255,0.0,0.0011634105,0.033738904
29,19,10,0.79214317,1.0012494699999999,0.0,0.0005804628,0.01683342
29,20,10,0.7913261,1.0011700000000001,0.0,0.0008209145,0.023806522
29,21,10,0.7913917,1.00015495,0.0,0.0010171824,0.029498288
29,22,10,0.7909424,1.0051183,0.0,0.004983633,0.07365814650000001
29,23,10,0.7910174,1.0010563000000001,0.0,0.00406269,0.117818005
29,24,10,0.79077905,1.0021730400000002,0.0,0.001141907,0.0331153
29,25,10,0.7902034,0.9999192,0.0,0.0023261853,0.067459375
29,26,10,0.79108906,1.0024891999999999,0.0,0.0027183022,0.07883076
29,27,10,0.7901793,1.00004563,0.0,0.0026074094,0.07561487
29,28,10,0.7901793,1.00004563,0.0,0.0,0.0
29,29,10,0.7913548,1.0015632,0.0,0.0019195846,0.05566795
29,30,10,0.79156446,1.0024716,0.0,0.000932263,0.027035626
29,31,10,0.7902587,1.0014089,0.0,0.0016835436,0.048822764
29,32,10,0.79137415,1.0003716,0.0,0.0015232202,0.044173386
29,33,10,0.7906418,0.9992141,0.0,0.001369749,0.03972272
29,34,10,0.7915215,1.00110725,0.0,0.0020875693,0.06053951
29,35,10,0.7912262,1.0007455699999999,0.0,0.00046690926,0.0135403685
29,36,10,0.79006964,1.000525,0.0,0.0011774183,0.03414513
29,37,10,0.78910387,1.0015863500000002,0.0,0.0014350077,0.04161522
29,38,10,0.7902537,1.0010499,0.0,0.0012688129,0.036795575
29,39,10,0.79147667,0.99979374,0.0,0.0017531711,0.05084196
29,40,10,0.7917181,1.0028320000000002,0.0,0.0030478667,0.08838814
29,41,10,0.79028344,1.00094214,0.0,0.002372758,0.06880998
29,42,10,0.7910792,1.00117544,0.0,0.000829273,0.024048917
29,43,10,0.7901981,1.0008478,0.0,0.0009400809,0.027262347
29,44,10,0.7918292,1.00076923,0.0,0.0016330314,0.04735791
29,45,10,0.7913377,1.00157753,0.0,0.00094600144,0.027434042
29,46,10,0.79125583,0.9999443,0.0,0.0016352789,0.04742309
29,47,10,0.79125625,0.9990542,0.0,0.0008900763,0.025812212
29,48,10,0.79092944,1.00092563,0.0,0.001899729,0.05509214
29,49,10,0.79034144,0.9999745,0.0,0.0011181934,0.03242761
29,50,10,0.7899003,0.9998441,0.0,0.00046000787,0.013340228
29,51,10,0.79042643,0.9998354700000001,0.0,0.00052620115,0.015259833
29,52,10,0.790403,1.00032464,0.0,0.00048973586,0.01420234
29,53,10,0.79034305,0.9993844000000001,0.0,0.0009421733,0.027323026
29,54,10,0.7901903,0.99982337,0.0,0.00046480997,0.013479489
29,55,10,0.79014885,1.0015051700000002,0.0,0.0016823148,0.04878713
29,56,10,0.78962773,1.00063464,0.0,0.0010145861,0.029422997
29,57,10,0.7898295,1.00016323,0.0,0.0005127749,0.014870472
29,58,10,0.78899705,1.00313506,0.0,0.003086214,0.089500204
29,59,10,0.7876771,0.9994220500000001,0.0,0.0039406484,0.1142788
29,60,10,0.78707606,0.9991171,0.0,0.000673982,0.019545479
29,61,10,0.7863339,0.99835256,0.0,0.0010655059,0.030899672
29,62,10,0.7854353,0.9958747,0.0,0.0026357905,0.07643793
29,63,10,0.7839774,0.9956014,0.0,0.0014833221,0.04301634
