fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.4910727,0.6929395999999999,0.0,0.0,0.0
29,1,10,1.4923631,0.6935289999999998,0.0,0.0014186595,0.041141126
29,2,10,1.4908365,0.6929242999999998,0.0,0.0016419704,0.04761714
29,3,10,1.4926027,0.6917078999999999,0.0,0.0021445598,0.06219223
29,4,10,1.4916922,0.6933338999999998,0.0,0.001863591,0.05404414
29,5,10,1.4920338,0.6924158,0.0,0.0009796564,0.028410034
29,6,10,1.4928029,0.6913726,0.0,0.001296016,0.037584465
29,7,10,1.4936284,0.6911896,0.0,0.00084556156,0.024521286
29,8,10,1.4910705,0.6931896,0.0,0.0032469393,0.09416124
29,9,10,1.4916744,0.6923519,0.0,0.0010326792,0.029947698
29,10,10,1.4920824,0.6942451999999999,0.0,0.0019367309,0.056165196
29,11,10,1.4920279,0.6930513999999999,0.0,0.0011950042,0.034655124
29,12,10,1.4908541,0.6941299999999999,0.0,0.001594065,0.046227884
29,13,10,1.4911808,0.6922036999999999,0.0,0.0019537993,0.05666018
29,14,10,1.4918387,0.6903903999999998,0.0,0.0019289592,0.055939816
29,15,10,1.491569,0.6915000999999998,0.0,0.0011420109,0.033118315
29,16,10,1.491402,0.6917435999999999,0.0,0.00029521008,0.008561092
29,17,10,1.4932029,0.6911394,0.0,0.0018995322,0.055086434
29,18,10,1.491363,0.6943142,0.0,0.0036693846,0.10641216
29,19,10,1.4911354,0.6940035,0.0,0.00038516475,0.011169778
29,20,10,1.4916118,0.6940354,0.0,0.00047754144,0.0138487015
29,21,10,1.4917089,0.6930133999999999,0.0,0.0010265777,0.029770752
29,22,10,1.4892677,0.6928633,0.0,0.0024457772,0.07092754
29,23,10,1.4889089,0.6914572999999999,0.0,0.0014510201,0.042079583
29,24,10,1.4904515,0.6930619999999998,0.0,0.0022258712,0.064550266
29,25,10,1.4898968,0.6924182999999999,0.0,0.00084974075,0.024642482
29,26,10,1.4910686,0.6955171,0.0,0.003313008,0.09607723
29,27,10,1.4910814,0.6920923999999999,0.0,0.0034247874,0.09931883
29,28,10,1.4924047,0.691605,0.0,0.0014102209,0.040896405
29,29,10,1.4918665,0.6931156999999999,0.0,0.0016036411,0.046505593
29,30,10,1.4923586,0.6928003999999999,0.0,0.00058444665,0.016948953
29,31,10,1.4917754,0.6920401999999999,0.0,0.0009581179,0.027785419
29,32,10,1.491499,0.6927345999999999,0.0,0.0007473993,0.021674579
29,33,10,1.4919882,0.6920035999999998,0.0,0.0008796017,0.025508448
29,34,10,1.4912575,0.6909573999999998,0.0,0.0012760563,0.037005633
29,35,10,1.4904927,0.6912003,0.0,0.00080250524,0.023272652
29,36,10,1.4931712,0.6913212,0.0,0.0026812397,0.07775595
29,37,10,1.4912069,0.6916460999999998,0.0,0.0019910096,0.057739276
29,38,10,1.4918175,0.6918381,0.0,0.00064007955,0.018562308
29,39,10,1.4927651,0.6929337999999998,0.0,0.0014485822,0.042008884
29,40,10,1.4921668,0.6916047999999999,0.0,0.0014574195,0.042265166
29,41,10,1.4914746,0.6912813999999998,0.0,0.00076396327,0.022154935
29,42,10,1.4934216,0.6907843,0.0,0.0020093862,0.0582722
29,43,10,1.4908693,0.6935358999999999,0.0,0.0037530425,0.10883824
29,44,10,1.4919171,0.6934629999999999,0.0,0.0010503781,0.030460965
29,45,10,1.4904765,0.6927327999999999,0.0,0.0016151654,0.046839796
29,46,10,1.4901775,0.6923581999999999,0.0,0.00047924844,0.013898205
29,47,10,1.4907651,0.6936893,0.0,0.0014550107,0.042195313
29,48,10,1.4906874,0.6963876,0.0,0.0026994215,0.07828322
29,49,10,1.4908342,0.6967075999999999,0.0,0.00035205472,0.0102095865
29,50,10,1.4893726,0.6982579999999998,0.0,0.0021307745,0.061792463
29,51,10,1.4893024,0.7007391999999999,0.0,0.0024822154,0.07198425
29,52,10,1.4886847,0.7009999999999998,0.0,0.00067055057,0.019445967
29,53,10,1.4876436,0.7050951999999999,0.0,0.0042254506,0.12253807
29,54,10,1.4863584,0.7108744,0.0,0.005920327,0.17168948
29,55,10,1.4837087,0.7148562999999999,0.0,0.0047829524,0.13870563
29,56,10,1.482559,0.7183655,0.0,0.003692724,0.107089
29,57,10,1.4792773,0.7242578,0.0,0.0067445207,0.1955911
29,58,10,1.4781882,0.7267824999999999,0.0,0.00274962,0.07973898
29,59,10,1.4769315,0.7319521,0.0,0.0053201863,0.1542854
29,60,10,1.4755684,0.7392984,0.0,0.0074716527,0.21667793
29,61,10,1.4714895,0.7460856999999999,0.0,0.007918622,0.22964005
