timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
71977, 0, 1.70, 0.50, -0.54, -0.27, -0.34, -0.00, 1.32, 52.80, 0.01, 1.65, 1.00, 0.00, 1.70, 1.00, 0.00, 1.65, 1.00, 0.00, 1.70, 1.00, 0.00, 0.00, 1.70, 19.48, 1.70, 0.00, 0.00
72013, 0, 1.70, 0.50, -0.68, 2.42, 2.61, 0.03, 1.32, 52.80, 0.01, 1.65, 0.56, 1.96, 1.70, 0.68, 2.14, 1.65, 0.54, 1.82, 1.70, 0.52, 2.42, 194.81, 1.67, 19.48, 1.70, 0.00, 0.00
72030, 0, 1.70, 0.50, -0.58, 2.36, 6.92, 0.06, 1.32, 52.80, 0.01, 1.65, 0.94, 1.63, 1.70, 1.11, 2.23, 1.65, 0.85, 1.84, 1.70, 0.90, 2.44, 194.81, 1.64, 19.13, 1.70, -0.01, 0.00
72039, 0, 1.70, 0.50, -0.55, 2.76, 10.99, 0.10, 1.32, 52.80, 0.01, 1.65, 1.35, 1.60, 1.70, 1.30, 1.47, 1.65, 0.97, 1.68, 1.70, 1.11, 1.72, 192.19, 1.60, 18.25, 1.70, -0.05, 0.00
72055, 0, 1.70, 0.50, -0.71, 3.04, 17.12, 0.14, 1.32, 52.80, 0.01, 1.66, 1.18, 0.81, 1.70, 1.27, 0.77, 1.65, 0.97, 1.05, 1.70, 0.99, 1.02, 187.88, 1.56, 16.65, 1.70, -0.10, 0.00
72064, 0, 1.70, 0.50, -0.83, 3.20, 21.55, 0.18, 1.32, 52.80, 0.01, 1.66, 2.21, 0.60, 1.70, 1.48, 0.70, 1.66, 1.17, 0.91, 1.70, 0.97, 0.93, 183.82, 1.52, 13.45, 1.70, -0.20, 0.00
72072, 0, 1.70, 0.50, -0.72, 3.35, 25.79, 0.22, 1.32, 52.80, 0.01, 1.66, 1.17, 0.68, 1.69, 1.23, 0.67, 1.66, 0.96, 0.86, 1.69, 1.00, 0.89, 177.69, 1.48, 9.95, 1.70, -0.29, 0.00
72090, 0, 1.70, 0.50, -0.71, 3.50, 31.43, 0.27, 1.32, 52.80, 0.01, 1.68, 1.14, 0.60, 1.69, 1.14, 0.67, 1.68, 0.89, 0.86, 1.69, 0.86, 0.86, 173.26, 1.43, 4.77, 1.70, -0.39, 0.00
72099, 0, 1.70, 0.50, -0.76, 3.88, 37.00, 0.32, 1.32, 52.80, 0.01, 1.68, 1.97, 0.53, 1.69, 1.07, 0.67, 1.68, 0.94, 0.88, 1.69, 0.92, 0.89, 169.01, 1.38, 3.74, 1.70, -0.54, 0.00
72110, 0, 1.70, 0.50, -0.75, 3.44, 41.97, 0.37, 1.32, 52.80, 0.01, 1.66, 1.08, 0.58, 1.70, 1.34, 0.68, 1.66, 0.89, 0.84, 1.70, 0.92, 0.82, 163.38, 1.33, 14.35, 1.70, -0.72, 0.00
72128, 0, 1.70, 0.50, -0.85, 4.03, 47.06, 0.42, 1.32, 52.80, 0.01, 1.65, 1.04, 0.58, 1.72, 1.04, 0.65, 1.63, 0.76, 0.86, 1.72, 0.76, 0.88, 157.81, 1.28, 26.76, 1.70, -0.89, 0.00
72137, 0, 1.70, 0.50, -0.81, 3.20, 51.32, 0.47, 1.32, 52.80, 0.01, 1.63, 1.01, 0.61, 1.75, 1.08, 0.65, 1.62, 0.99, 0.79, 1.73, 0.83, 0.84, 152.83, 1.23, 36.55, 1.70, -1.00, 0.00
72150, 0, 1.70, 0.50, -1.07, 3.15, 55.22, 0.51, 1.32, 52.80, 0.01, 1.63, 0.96, 0.63, 1.75, 1.00, 0.63, 1.62, 0.86, 0.81, 1.75, 0.75, 0.82, 147.74, 1.19, 40.87, 1.70, -1.00, 0.00
72167, 0, 1.70, 0.50, -1.13, 2.67, 58.16, 0.54, 1.32, 52.80, 0.01, 1.63, 0.90, 0.63, 1.76, 0.94, 0.65, 1.62, 0.92, 0.67, 1.75, 0.80, 0.75, 143.48, 1.16, 44.20, 1.70, -1.00, 0.00
