timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
75501, 0, 0.50, 0.50, -0.54, -0.26, -0.28, -0.00, 1.32, 52.80, 0.01, 0.46, 1.00, 0.00, 0.54, 1.00, 0.00, 0.44, 1.00, 0.00, 0.52, 1.00, 0.00, 0.00, 0.50, 28.65, 0.50, 0.90, 0.90
75535, 0, 0.50, 0.50, -0.57, 2.98, 2.46, 0.04, 1.32, 52.80, 0.01, 0.46, 0.39, 1.49, 0.55, 0.66, 1.30, 0.44, 0.46, 1.68, 0.52, 0.56, 2.14, 57.30, 0.46, 30.86, 0.50, 0.90, 0.90
75552, 0, 0.50, 0.50, -0.43, 3.45, 5.44, 0.08, 1.32, 52.80, 0.01, 0.46, 0.66, 0.56, 0.55, 0.75, 0.23, 0.44, 0.66, 0.39, 0.52, 0.72, 0.74, 57.30, 0.42, 31.77, 0.50, 0.80, 0.90
75561, 0, 0.50, 0.50, -0.40, 2.33, 8.21, 0.11, 1.32, 52.80, 0.01, 0.46, 0.62, 0.47, 0.55, 0.61, 0.39, 0.44, 0.62, 0.09, 0.52, 0.65, 0.84, 54.84, 0.39, 30.98, 0.50, 0.62, 0.90
75569, 0, 0.50, 0.50, -0.39, 3.43, 11.03, 0.16, 1.32, 52.80, 0.01, 0.46, 0.56, 0.51, 0.54, 0.54, 0.82, 0.44, 0.55, 0.07, 0.52, 0.58, 0.98, 51.85, 0.34, 28.82, 0.50, 0.39, 0.90
75587, 0, 0.50, 0.50, -0.49, 2.77, 16.13, 0.20, 1.32, 52.80, 0.01, 0.46, 0.49, 0.82, 0.52, 0.48, 1.32, 0.44, 0.34, 1.05, 0.52, 0.52, 1.42, 49.09, 0.30, 23.87, 0.50, 0.05, 0.90
75595, 0, 0.50, 0.50, -0.53, 3.03, 21.22, 0.24, 1.32, 52.80, 0.01, 0.48, 0.44, 0.86, 0.48, 0.49, 1.26, 0.48, 0.31, 1.35, 0.48, 0.54, 1.35, 46.26, 0.26, 4.35, 0.50, -0.77, 0.90
75613, 0, 0.50, 0.50, -0.57, 3.16, 27.64, 0.28, 1.32, 52.80, 0.01, 0.46, 0.51, 0.88, 0.55, 0.56, 0.53, 0.44, 0.51, 0.93, 0.52, 0.49, 1.07, 41.17, 0.22, 32.27, 0.50, -1.82, 0.90
75622, 0, 0.50, 0.50, -0.60, 3.23, 32.26, 0.32, 1.32, 52.80, 0.01, 0.58, 0.51, 0.63, 0.77, 0.51, 0.93, 0.34, 0.54, 0.60, 0.62, 0.48, 1.32, 36.08, 0.18, 94.04, 0.50, -3.37, 0.90
75635, 0, 0.50, 0.50, -0.66, 3.04, 36.48, 0.36, 1.32, 52.80, 0.01, 0.82, 0.48, 1.37, 1.06, 0.62, 2.04, 0.24, 0.52, 0.16, 0.72, 0.58, 1.53, 29.66, 0.14, 156.76, 0.50, -4.64, 0.90
75651, 0, 0.50, 0.50, -0.57, 3.03, 40.41, 0.40, 1.32, 52.80, 0.01, 1.14, 0.73, 1.86, 1.41, 0.93, 1.33, 0.14, 0.37, 0.14, 0.82, 0.65, 1.23, 25.03, 0.10, 228.77, 0.50, -5.92, 0.90
75661, 0, 0.50, 0.50, -0.57, 2.90, 45.01, 0.44, 1.32, 52.80, 0.01, 1.15, 1.00, 1.37, 1.41, 1.17, 2.04, 0.14, 0.35, 0.14, 0.82, 0.66, 1.91, 20.81, 0.06, 230.00, 0.50, -7.25, 0.90
75675, 0, 0.50, 0.50, -0.58, 2.83, 51.79, 0.48, 1.32, 52.80, 0.01, 1.15, 1.07, 1.91, 1.41, 1.35, 2.07, 0.14, 0.31, 0.14, 0.82, 0.80, 1.23, 16.88, 0.02, 230.00, 0.50, -9.03, 0.90
75691, 0, 0.50, 0.50, -0.56, 2.70, 59.10, 0.52, 1.32, 52.80, 0.01, 1.15, 1.14, 1.11, 1.41, 1.48, 0.93, 0.14, 0.28, 0.14, 0.82, 0.79, 1.74, 12.29, -0.02, 230.00, 0.50, -12.04, 0.90
