timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
103608, 0, 0.50, 0.50, -1.97, -0.47, 99.55, -0.08, 1.32, 52.80, 0.01, 1.15, 0.10, 0.00, 1.41, 0.10, 0.00, 0.14, 0.10, 0.00, 0.82, 0.11, 0.00, -54.36, 0.58, 230.00, 0.50, 10.38, 10.00
103649, 0, 0.50, 0.50, -1.65, -0.44, 65.62, -0.09, 1.32, 52.80, 0.01, 1.15, 0.10, 0.00, 1.41, 0.10, 0.00, 0.14, 0.10, 0.00, 0.82, 0.11, 0.00, -53.86, 0.59, 230.00, 0.50, 16.09, 10.00
103661, 0, 0.50, 0.50, -1.21, -0.46, 25.18, -0.09, 1.32, 52.80, 0.01, 1.15, 0.10, 0.00, 1.41, 0.10, 0.00, 0.14, 0.10, 0.00, 0.82, 0.11, 0.00, -42.25, 0.59, 230.00, 0.50, 22.49, 10.00
103677, 0, 0.50, 0.50, -1.03, -0.41, 8.33, -0.10, 1.32, 52.80, 0.01, 1.15, 0.10, 0.00, 1.41, 0.10, 0.00, 0.14, 0.10, 0.00, 0.82, 0.11, 0.00, -8.33, 0.60, 230.00, 0.50, 25.02, 10.00
103688, 0, 0.50, 0.50, -1.00, -0.36, 3.63, -0.10, 1.32, 52.80, 0.01, 0.75, 0.10, 0.00, 0.99, 0.10, 0.00, 0.27, 0.10, 0.00, 0.69, 0.11, 0.00, 32.11, 0.60, 141.45, 0.50, 25.48, 10.00
103701, 0, 0.50, 0.50, -0.89, -0.34, 1.82, -0.11, 1.32, 52.80, 0.01, 0.59, 0.10, 0.00, 0.80, 0.10, 0.00, 0.32, 0.10, 0.00, 0.63, 0.11, 0.00, 48.96, 0.61, 100.09, 0.50, 25.54, 10.00
103715, 0, 0.50, 0.50, -0.75, -0.35, 1.06, -0.11, 1.32, 52.80, 0.01, 0.55, 0.10, 0.00, 0.73, 0.10, 0.00, 0.35, 0.10, 0.00, 0.61, 0.11, 0.00, 53.67, 0.61, 82.66, 0.50, 25.56, 10.00
103728, 0, 0.50, 0.50, -0.74, -0.33, 0.72, -0.12, 1.32, 52.80, 0.01, 0.52, 0.10, 0.00, 0.69, 0.10, 0.00, 0.37, 0.10, 0.00, 0.59, 0.11, 0.00, 55.48, 0.62, 74.68, 0.50, 25.56, 10.00
103741, 0, 0.50, 0.50, -0.73, -0.30, 0.49, -0.12, 1.32, 52.80, 0.01, 0.51, 0.10, 0.00, 0.68, 0.10, 0.00, 0.38, 0.10, 0.00, 0.58, 0.11, 0.00, 56.23, 0.62, 69.05, 0.50, 25.56, 10.00
103755, 0, 0.50, 0.50, -0.70, -0.29, 0.32, -0.12, 1.32, 52.80, 0.01, 0.49, 0.10, 0.00, 0.66, 0.10, 0.00, 0.38, 0.10, 0.00, 0.58, 0.11, 0.00, 56.57, 0.62, 65.01, 0.50, 25.57, 10.00
