timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
64472, 0, 0.50, 0.50, -1.79, -0.04, 103.06, -0.07, 1.32, 52.80, 0.01, 0.49, 0.10, 0.00, 0.65, 0.10, 0.00, 0.38, 0.10, 0.00, 0.58, 0.10, 0.00, -53.85, 0.57, 62.99, 0.50, 0.87, 0.90
64496, 0, 0.50, 0.50, -1.51, -0.07, 74.79, -0.07, 1.32, 52.80, 0.01, 0.54, 0.10, 0.00, 0.70, 0.10, 0.00, 0.37, 0.10, 0.00, 0.59, 0.10, 0.00, -54.18, 0.57, 77.82, 0.50, 1.35, 0.90
64504, 0, 0.50, 0.50, -1.24, -0.10, 32.59, -0.07, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.10, 0.00, 0.39, 0.10, 0.00, 0.56, 0.10, 0.00, -45.76, 0.57, 57.65, 0.50, 2.04, 0.90
64515, 0, 0.50, 0.50, -1.04, -0.12, 10.41, -0.07, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.56, 0.10, 0.00, 0.42, 0.10, 0.00, 0.54, 0.10, 0.00, -17.49, 0.57, 37.00, 0.50, 2.37, 0.90
64526, 0, 0.50, 0.50, -0.90, -0.14, 4.00, -0.07, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.55, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 24.71, 0.57, 33.19, 0.50, 2.43, 0.90
64539, 0, 0.50, 0.50, -0.80, -0.15, 2.06, -0.08, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.55, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 46.88, 0.58, 31.68, 0.50, 2.44, 0.90
64552, 0, 0.50, 0.50, -0.75, -0.16, 1.23, -0.08, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.55, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 53.29, 0.58, 30.62, 0.50, 2.45, 0.90
64566, 0, 0.50, 0.50, -0.71, -0.17, 0.81, -0.08, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.55, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 55.24, 0.58, 30.02, 0.50, 2.45, 0.90
64579, 0, 0.50, 0.50, -0.68, -0.18, 0.55, -0.08, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.55, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 56.07, 0.58, 29.59, 0.50, 2.45, 0.90
64592, 0, 0.50, 0.50, -0.66, -0.19, 0.39, -0.09, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.55, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 56.48, 0.59, 29.32, 0.50, 2.45, 0.90
64606, 0, 0.50, 0.50, -0.65, -0.20, 0.27, -0.09, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.54, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 56.75, 0.59, 29.11, 0.50, 2.45, 0.90
64619, 0, 0.50, 0.50, -0.63, -0.20, 0.18, -0.09, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.54, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 56.91, 0.59, 28.97, 0.50, 2.45, 0.90
64632, 0, 0.50, 0.50, -0.62, -0.21, 0.11, -0.09, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.54, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 57.03, 0.59, 28.84, 0.50, 2.45, 0.90
64646, 0, 0.50, 0.50, -0.62, -0.21, 0.06, -0.10, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.54, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 57.11, 0.60, 28.74, 0.50, 2.45, 0.90
64673, 0, 0.50, 0.50, -0.61, -0.21, 0.02, -0.10, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.54, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 57.18, 0.60, 28.67, 0.50, 2.45, 0.90
64686, 0, 0.50, 0.50, -0.61, -0.22, -0.02, -0.10, 1.32, 52.80, 0.01, 0.46, 0.10, 0.00, 0.54, 0.10, 0.00, 0.44, 0.10, 0.00, 0.52, 0.10, 0.00, 57.24, 0.60, 28.64, 0.50, 2.45, 0.90
