timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
122103, 0, 1.00, 0.50, -1.81, -0.46, 78.45, -7.34, 1.32, 52.80, 0.01, 0.94, 0.07, 0.00, 1.14, 0.04, 0.00, 0.87, 0.06, 0.00, 1.08, 0.04, 0.00, 27.12, 8.34, 69.77, 1.00, 0.85, 0.50
122135, 0, 1.00, 0.50, -1.39, -0.31, 56.19, -7.34, 1.32, 52.80, 0.01, 0.94, 0.07, 0.00, 1.11, 0.04, 0.00, 0.89, 0.06, 0.00, 1.07, 0.04, 0.00, 27.72, 8.34, 59.80, 1.00, 1.00, 0.50
122146, 0, 1.00, 0.50, -1.23, -0.35, 27.50, -7.35, 1.32, 52.80, 0.01, 0.94, 0.07, 0.00, 1.04, 0.04, 0.00, 0.93, 0.06, 0.00, 1.03, 0.04, 0.00, 36.14, 8.35, 33.34, 1.00, 1.00, 0.50
122157, 0, 1.00, 0.50, -1.04, -0.41, 10.40, -7.35, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.01, 0.04, 0.00, 0.94, 0.06, 0.00, 1.01, 0.04, 0.00, 58.40, 8.35, 19.11, 1.00, 1.00, 0.50
122170, 0, 1.00, 0.50, -0.85, -0.36, 4.52, -7.36, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.00, 0.04, 0.00, 0.96, 0.06, 0.00, 1.00, 0.04, 0.00, 87.09, 8.36, 14.94, 1.00, 1.00, 0.50
122183, 0, 1.00, 0.50, -0.86, -0.31, 2.73, -7.36, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.00, 0.04, 0.00, 0.96, 0.06, 0.00, 1.00, 0.04, 0.00, 104.19, 8.36, 13.74, 1.00, 1.00, 0.50
122197, 0, 1.00, 0.50, -0.83, -0.30, 1.70, -7.36, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.00, 0.04, 0.00, 0.96, 0.06, 0.00, 1.00, 0.04, 0.00, 110.07, 8.36, 12.89, 1.00, 1.00, 0.50
122210, 0, 1.00, 0.50, -0.72, -0.32, 1.15, -7.37, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.00, 0.04, 0.00, 0.96, 0.06, 0.00, 1.00, 0.04, 0.00, 111.86, 8.37, 12.44, 1.00, 1.00, 0.50
122236, 0, 1.00, 0.50, -0.74, -0.30, 0.84, -7.37, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.00, 0.04, 0.00, 0.96, 0.06, 0.00, 1.00, 0.04, 0.00, 112.89, 8.37, 12.18, 1.00, 1.00, 0.50
122245, 0, 1.00, 0.50, -0.72, -0.28, 0.56, -7.38, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.00, 0.04, 0.00, 0.96, 0.06, 0.00, 1.00, 0.04, 0.00, 113.44, 8.38, 11.94, 1.00, 1.00, 0.50
122260, 0, 1.00, 0.50, -0.68, -0.30, 0.46, -7.38, 1.32, 52.80, 0.01, 0.96, 0.07, 0.00, 1.00, 0.04, 0.00, 0.96, 0.06, 0.00, 1.00, 0.04, 0.00, 113.76, 8.38, 11.86, 1.00, 1.00, 0.50
